"ip_addr","load_ms","protocol","image_total","minify_save","score_cookies","score_compress","priority","requestType","type","dns_start","ssl_end","contentType","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","is_base_page","bytesIn","initiator_line","bytesOut","minify_total","cacheControl","contentEncoding","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","expires","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","jpeg_scan_count","score_progressive_jpeg",
"151.101.128.217","1026","http/1.1","","","-1","-1","high","Document","3","8","180","text/html; charset=UTF-8","0","1","","100","67","https://vimeo.com/","28","67","200","113","","1","28479","","316","","no-store, no-cache, must-revalidate, post-check=0, pre-check=0","gzip","181105_1R_A","36","131","41","100","","114224","181","26","GET","27297","27297","Sun, 04 Nov 2018 12:46:21 GMT","","0.2","-1","-1","vimeo.com","100","-1","","1","0","/","-1","","Fastly","1207","181","312","312","1207","895","8","1207","1193","0","1","1","0","","",
"151.101.186.109","265","h2","","","-1","-1","high","Script","3","-1","-1","text/javascript; charset=utf-8","0","1","","100","-1","https://f.vimeocdn.com/js_opt/topnav_cart_button_combined.min.js?a2b7d3ef","-1","-1","200","-1","","","57992","85","52","","max-age=315360000","gzip","181105_1R_A","-1","108","-1","100","314887850","230572","1557","-1","GET","57475","57475","Fri, 27 Oct 2028 13:37:13 GMT","","0.17","-1","-1","f.vimeocdn.com","100","-1","https://vimeo.com/","2","1213","/js_opt/topnav_cart_button_combined.min.js?a2b7d3ef","100","","Fastly","1822","1557","1665","1665","1822","157","1557","1822","265","1","2","1","0","","",
"151.101.186.109","376","h2","","","-1","-1","high","Script","3","-1","-1","text/javascript; charset=utf-8","0","1","","100","-1","https://f.vimeocdn.com/js_opt/creator_lohp_combined.min.js?15170449","-1","-1","200","-1","","","75987","85","48","","max-age=315360000","gzip","181105_1R_A","-1","144","-1","100","313664426","306463","1558","-1","GET","75470","75470","Fri, 13 Oct 2028 09:46:48 GMT","","0.16","-1","-1","f.vimeocdn.com","100","-1","https://vimeo.com/","2","1213","/js_opt/creator_lohp_combined.min.js?15170449","100","","Fastly","1934","1558","1702","1702","1934","232","1558","1934","376","2","3","1","0","","",
"151.101.186.109","264","h2","","","-1","-1","high","Script","3","-1","-1","text/javascript; charset=utf-8","0","1","","100","-1","https://f.vimeocdn.com/js_opt/raven_combined.min.js?9122f54b","-1","-1","200","-1","","","9155","85","43","","max-age=315360000","gzip","181105_1R_A","-1","144","-1","100","299084439","22737","1560","-1","GET","8637","8637","Thu, 27 Apr 2028 15:47:01 GMT","","0.15","-1","-1","f.vimeocdn.com","100","-1","https://vimeo.com/","2","1213","/js_opt/raven_combined.min.js?9122f54b","100","","Fastly","1824","1560","1704","1704","1824","120","1560","1824","264","3","4","1","0","","",
"151.101.186.109","84","h2","","","-1","-1","high","Stylesheet","3","-1","-1","text/css","0","1","","100","-1","https://f.vimeocdn.com/styles/css_opt/topnav_cart_button_combined.min.css?6e409801","-1","-1","200","-1","","","1159","74","57","","max-age=315360000","gzip","181105_1R_A","-1","34","-1","100","313953157","1466","1560","-1","GET","666","666","Mon, 16 Oct 2028 17:59:00 GMT","","0.5","-1","-1","f.vimeocdn.com","100","-1","https://vimeo.com/","2","1204","/styles/css_opt/topnav_cart_button_combined.min.css?6e409801","100","","Fastly","1644","1560","1594","1594","1644","50","1560","1644","84","4","5","1","0","","",
"151.101.186.109","155","h2","","","-1","-1","high","Stylesheet","3","-1","-1","text/css","0","1","","100","-1","https://f.vimeocdn.com/styles/css_opt/global/icon_fonts.min.css?DEV","-1","-1","200","-1","","","28411","71","193","","max-age=315360000","gzip","181105_1R_A","-1","83","-1","100","284252138","37172","1561","-1","GET","27928","27928","Sun, 07 Nov 2027 23:42:01 GMT","","0.3","-1","-1","f.vimeocdn.com","100","-1","https://vimeo.com/","2","1203","/styles/css_opt/global/icon_fonts.min.css?DEV","100","","Fastly","1716","1561","1644","1644","1716","72","1561","1716","155","5","6","1","0","","",
"151.101.186.109","127","h2","","","-1","-1","high","Stylesheet","3","-1","-1","text/css","0","1","","100","-1","https://f.vimeocdn.com/styles/css_opt/creator_lohp_combined.min.css?1ee38e71","-1","-1","200","-1","","","34307","73","53","","max-age=315360000","gzip","181105_1R_A","-1","37","-1","100","311169094","171122","1561","-1","GET","33812","33812","Thu, 14 Sep 2028 12:37:57 GMT","","0.4","-1","-1","f.vimeocdn.com","100","-1","https://vimeo.com/","2","1204","/styles/css_opt/creator_lohp_combined.min.css?1ee38e71","100","","Fastly","1688","1561","1598","1598","1688","90","1561","1688","127","6","7","1","0","","",
"151.101.186.109","125","h2","","","-1","-1","high","Script","3","-1","-1","text/javascript; charset=utf-8","0","1","","100","-1","https://f.vimeocdn.com/js_opt/ablincoln_combined.min.js?3842c438","-1","-1","200","-1","","","5771","85","50","","max-age=315360000","gzip","181105_1R_A","-1","37","-1","100","306446136","17315","1562","-1","GET","5254","5254","Fri, 21 Jul 2028 20:41:58 GMT","","0.6","-1","-1","f.vimeocdn.com","100","-1","https://vimeo.com/","2","1206","/js_opt/ablincoln_combined.min.js?3842c438","100","","Fastly","1687","1562","1599","1599","1687","88","1562","1687","125","7","8","1","0","","",
"151.101.186.109","252","h2","27175","","-1","85","low","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://f.vimeocdn.com/images_v6/marketing/creator_lohp/mobile/SP_Panels_375_2x.jpg?DEV","-1","-1","200","-1","4050","","27628","85","63","","max-age=315360000","","181105_1R_A","-1","111","-1","100","310355308","27175","1565","-1","GET","27175","","Tue, 05 Sep 2028 02:34:49 GMT","","0.8","-1","-1","f.vimeocdn.com","100","-1","https://vimeo.com/","2","1211","/images_v6/marketing/creator_lohp/mobile/SP_Panels_375_2x.jpg?DEV","100","","Fastly","1817","1565","1676","1676","1817","141","1565","1817","252","8","9","1","0","1","0",
"151.101.186.109","261","h2","","","-1","-1","high","Script","3","-1","-1","text/javascript; charset=utf-8","0","1","","100","-1","https://f.vimeocdn.com/js_opt/react_prod_combined.min.js?f57646b3","-1","-1","200","-1","","","63558","85","47","","max-age=315360000","gzip","181105_1R_A","-1","144","-1","100","298588484","201563","1566","-1","GET","63078","63078","Fri, 21 Apr 2028 22:01:07 GMT","","0.14","-1","-1","f.vimeocdn.com","100","-1","https://vimeo.com/","2","1213","/js_opt/react_prod_combined.min.js?f57646b3","100","","Fastly","1827","1566","1710","1710","1827","117","1566","1827","261","9","10","1","0","","",
"151.101.186.109","255","h2","","","-1","-1","high","Script","3","-1","-1","text/javascript; charset=utf-8","0","1","","100","-1","https://f.vimeocdn.com/js_opt/sticky_topnav_combined.min.js?cdd40eb7","-1","-1","200","-1","","","2122","85","49","","max-age=315360000","gzip","181105_1R_A","-1","144","-1","100","298588487","5328","1566","-1","GET","1644","1644","Fri, 21 Apr 2028 22:01:07 GMT","","0.13","-1","-1","f.vimeocdn.com","100","-1","https://vimeo.com/","2","1212","/js_opt/sticky_topnav_combined.min.js?cdd40eb7","100","","Fastly","1821","1566","1710","1710","1821","111","1566","1821","255","10","11","1","0","","",
"151.101.186.109","1347","h2","2163239","","-1","100","low","Image","3","-1","-1","image/png","","1","","-1","-1","https://f.vimeocdn.com/images_v6/marketing/creator_lohp/mobile/player.png?DEV","-1","-1","200","-1","0","","2163694","85","105","","max-age=315360000","","181105_1R_A","-1","113","-1","100","303415546","2163239","1566","-1","GET","2163239","","Fri, 16 Jun 2028 18:52:08 GMT","","0.7","-1","-1","f.vimeocdn.com","100","-1","https://vimeo.com/","2","1211","/images_v6/marketing/creator_lohp/mobile/player.png?DEV","100","","Fastly","2913","1566","1679","1679","2913","1234","1566","2913","1347","11","12","1","0","","",
