timestamp,inter_arrival_time,seq,ack,flag_CWR,flag_ECE,flag_URG,flag_ACK,flag_PSH,flag_RST,flag_SYN,flag_FIN,window_size,urgent_pointer,tcp_header_size,tcp_payload_size,ip_header_size,ip_id,ip_tos,ip_df,ip_mf,ip_offset
1541378785.444833,nan,1202157215,0,0,0,0,0,0,0,1,0,65535,0,44,0,5,0,0,1,0,0
1541378785.495348,0.050514936447143555,1202157216,586475515,0,0,0,1,0,0,0,0,2052,0,32,0,5,0,0,1,0,0
1541378785.497885,0.0025370121002197266,1202157216,586475515,0,0,0,1,1,0,0,0,2052,0,32,244,5,0,0,1,0,0
1541378785.577932,0.0800468921661377,1202157460,586478314,0,0,0,1,0,0,0,0,2026,0,32,0,5,0,0,1,0,0
1541378785.593844,0.01591205596923828,1202157460,586478314,0,0,0,1,1,0,0,0,2048,0,32,93,5,0,0,1,0,0
1541378785.646526,0.05268216133117676,1202157553,586478365,0,0,0,1,0,0,0,0,2047,0,32,0,5,0,0,1,0,0
1541378785.64654,1.3828277587890625e-05,1202157553,586478434,0,0,0,1,0,0,0,0,2046,0,32,0,5,0,0,1,0,0
1541378785.651146,0.004606008529663086,1202157553,586478434,0,0,0,1,1,0,0,0,2048,0,32,53,5,0,0,1,0,0
1541378785.651648,0.0005021095275878906,1202157606,586478434,0,0,0,1,1,0,0,0,2048,0,32,50,5,0,0,1,0,0
1541378785.651746,9.799003601074219e-05,1202157656,586478434,0,0,0,1,1,0,0,0,2048,0,32,42,5,0,0,1,0,0
1541378785.651815,6.890296936035156e-05,1202157698,586478434,0,0,0,1,1,0,0,0,2048,0,32,346,5,0,0,1,0,0
1541378785.651979,0.000164031982421875,1202158044,586478434,0,0,0,1,1,0,0,0,2048,0,32,38,5,0,0,1,0,0
1541378785.71915,0.06717109680175781,1202158082,586478472,0,0,0,1,0,0,0,0,2047,0,32,0,5,0,0,1,0,0
1541378785.719165,1.5020370483398438e-05,1202158082,586478848,0,0,0,1,0,0,0,0,2041,0,32,0,5,0,0,1,0,0
1541378785.719169,3.814697265625e-06,1202158082,586479247,0,0,0,1,0,0,0,0,2035,0,32,0,5,0,0,1,0,0
1541378785.719172,3.0994415283203125e-06,1202158082,586479285,0,0,0,1,0,0,0,0,2034,0,32,0,5,0,0,1,0,0
1541378785.719175,3.0994415283203125e-06,1202158082,586479331,0,0,0,1,0,0,0,0,2033,0,32,0,5,0,0,1,0,0
1541378785.720358,0.0011827945709228516,1202158082,586479331,0,0,0,1,1,0,0,0,2048,0,32,46,5,0,0,1,0,0
