id,start_time,end_time,duration,src_ip,src_port,dst_ip,dst_port,total_bytes,total_message_bytes,avg_inter_arrival_time,median_inter_arrival_time,std_inter_arrival_time,num_packets,src_names,dst_names
0,1541377754.093707,1541377754.562791,0.4690840244293213,172.217.195.136,443,192.168.1.67,58355,5072,4388,0.03909033536911011,0.0013294219970703125,0.06669150872289675,13,{'172.217.195.136'},"{'localhost', '192.168.1.67'}"
1,1541377754.094377,1541377754.476544,0.38216686248779297,192.168.1.67,58355,172.217.195.136,443,1758,822,0.022480403675752526,0.0005481243133544922,0.038415683310046966,18,"{'localhost', '192.168.1.67'}",{'172.217.195.136'}
2,1541377754.379587,1541377757.250037,2.870450019836426,192.168.1.67,58356,108.177.104.101,443,14794,1978,0.011716122529944596,8.487701416015625e-05,0.07944294911838778,246,"{'localhost', '192.168.1.67'}","{'m.youtube.com', '108.177.104.101'}"
3,1541377754.432044,1541377757.348467,2.9164230823516846,108.177.104.101,443,192.168.1.67,58356,495397,476721,0.008146433190926493,0.0003629922866821289,0.06692245529396455,359,"{'m.youtube.com', '108.177.104.101'}","{'localhost', '192.168.1.67'}"
4,1541377755.552889,1541377756.764009,1.2111198902130127,192.168.1.67,58357,74.125.30.119,443,12180,1976,0.0062108712318616035,1.2874603271484375e-05,0.0369871902285173,196,"{'localhost', '192.168.1.67'}","{'ytimg-edge-static.l.google.com', 'i.ytimg.com', '74.125.30.119'}"
5,1541377755.580427,1541377755.932091,0.35166406631469727,192.168.1.67,58358,173.194.78.94,443,2338,870,0.013024595048692491,0.0005159378051757812,0.022737048047910713,28,"{'localhost', '192.168.1.67'}","{'173.194.78.94', 'gstaticadssl.l.google.com', 'fonts.gstatic.com'}"
6,1541377755.60177,1541377756.805396,1.2036261558532715,74.125.30.119,443,192.168.1.67,58357,416398,400946,0.004066304580585376,0.0003409385681152344,0.02754878996633077,297,"{'ytimg-edge-static.l.google.com', 'i.ytimg.com', '74.125.30.119'}","{'localhost', '192.168.1.67'}"
7,1541377755.629777,1541377756.013832,0.38405513763427734,173.194.78.94,443,192.168.1.67,58358,27584,26224,0.015362205505371094,0.0007588863372802734,0.02934503673585325,26,"{'173.194.78.94', 'gstaticadssl.l.google.com', 'fonts.gstatic.com'}","{'localhost', '192.168.1.67'}"
8,1541377755.89213,1541377756.371364,0.4792342185974121,192.168.1.67,58359,64.233.180.155,443,2059,903,0.022820677076067244,0.0012950897216796875,0.036948542096384575,22,"{'localhost', '192.168.1.67'}","{'googleads.g.doubleclick.net', '64.233.180.155', 'pagead46.l.doubleclick.net'}"
9,1541377755.969269,1541377756.459281,0.49001193046569824,64.233.180.155,443,192.168.1.67,58359,5230,4390,0.03266746203104655,0.0020761489868164062,0.04811224694896061,16,"{'googleads.g.doubleclick.net', '64.233.180.155', 'pagead46.l.doubleclick.net'}","{'localhost', '192.168.1.67'}"
10,1541377756.015512,1541377756.469526,0.4540140628814697,192.168.1.67,58360,173.194.78.84,443,2554,1034,0.01621478796005249,0.0011655092239379883,0.030144426630472614,29,"{'localhost', '192.168.1.67'}","{'173.194.78.84', 'accounts.google.com'}"
11,1541377756.016615,1541377756.120494,0.10387897491455078,192.168.1.67,58361,64.233.180.156,443,104,0,0.10387897491455078,0.10387897491455078,0.0,2,"{'localhost', '192.168.1.67'}","{'googleads.g.doubleclick.net', '64.233.180.156', 'pagead46.l.doubleclick.net'}"
12,1541377756.119847,1541377756.119847,0.0,64.233.180.156,443,192.168.1.67,58361,60,0,nan,nan,nan,1,"{'googleads.g.doubleclick.net', '64.233.180.156', 'pagead46.l.doubleclick.net'}","{'localhost', '192.168.1.67'}"
13,1541377756.119851,1541377756.515293,0.39544177055358887,173.194.78.84,443,192.168.1.67,58360,26329,24917,0.015209298867445726,0.00391542911529541,0.028312051212733547,27,"{'173.194.78.84', 'accounts.google.com'}","{'localhost', '192.168.1.67'}"
14,1541377756.537108,1541377757.115778,0.5786700248718262,192.168.1.67,58362,108.177.103.157,443,1843,1051,0.04133357320513044,0.03832852840423584,0.052543510259141536,15,"{'localhost', '192.168.1.67'}","{'partnerad.l.doubleclick.net', 'securepubads.g.doubleclick.net', '108.177.103.157'}"
15,1541377756.537905,1541377757.116141,0.5782361030578613,192.168.1.67,58363,173.194.78.149,443,1846,898,0.034013888415168315,0.013002872467041016,0.04947081367686389,18,"{'localhost', '192.168.1.67'}","{'dart.l.doubleclick.net', '173.194.78.149', 'ad.doubleclick.net'}"
16,1541377756.538918,1541377757.089704,0.550786018371582,192.168.1.67,58364,108.177.103.132,443,3398,1566,0.016199588775634766,0.0003895759582519531,0.03702979740565535,35,"{'localhost', '192.168.1.67'}","{'108.177.103.132', 'photos-ugc.l.googleusercontent.com'}"
17,1541377756.583765,1541377757.213572,0.6298069953918457,108.177.103.157,443,192.168.1.67,58362,3992,3412,0.06298069953918457,0.007057547569274902,0.08610491511866437,11,"{'partnerad.l.doubleclick.net', 'securepubads.g.doubleclick.net', '108.177.103.157'}","{'localhost', '192.168.1.67'}"
18,1541377756.588839,1541377757.213576,0.624737024307251,173.194.78.149,443,192.168.1.67,58363,4687,4003,0.05206141869227091,0.0024318695068359375,0.07947557867984693,13,"{'dart.l.doubleclick.net', '173.194.78.149', 'ad.doubleclick.net'}","{'localhost', '192.168.1.67'}"
19,1541377756.593227,1541377757.121204,0.5279769897460938,108.177.103.132,443,192.168.1.67,58364,29832,28264,0.018206103094692887,0.0010249614715576172,0.04956609079457308,30,"{'108.177.103.132', 'photos-ugc.l.googleusercontent.com'}","{'localhost', '192.168.1.67'}"
20,1541377757.223806,1541377757.541392,0.31758618354797363,192.168.1.67,58365,23.218.103.174,443,1800,1112,0.02646551529566447,0.005841493606567383,0.030412633541723553,13,"{'localhost', '192.168.1.67'}","{'global-wildcard.insightexpressai.com.edgekey.net', '23.218.103.174', 'secure.insightexpressai.com', 'e7876.dscg.akamaiedge.net', 'global-wildcard.insightexpressai.com.edgekey.net.globalredir.akadns.net'}"
21,1541377757.28052,1541377757.602314,0.3217940330505371,23.218.103.174,443,192.168.1.67,58365,5144,4588,0.032179403305053714,0.0010765790939331055,0.04022723676363323,11,"{'global-wildcard.insightexpressai.com.edgekey.net', '23.218.103.174', 'secure.insightexpressai.com', 'e7876.dscg.akamaiedge.net', 'global-wildcard.insightexpressai.com.edgekey.net.globalredir.akadns.net'}","{'localhost', '192.168.1.67'}"
