"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","cacheControl","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","protocol","priority","contentType","is_base_page","contentEncoding","expires","jpeg_scan_count","score_progressive_jpeg",
"","280","","","-1","-1","Document","3","-1","-1","","1","","-1","-1","https://cnn.com/","-1","-1","301","-1","","348","","0","","public, max-age=600","181105_6Q_3","-1","280","-1","-1","","0","0","-1","GET","0","","","0.2","-1","-1","cnn.com","-1","-1","","-1","0","/","-1","","","280","0","280","280","280","0","0","280","280","0","1","1","0","","","","","","","","",
"151.101.45.67","536","","","-1","-1","Document","3","-1","-1","0","1","","100","-1","https://www.cnn.com/","-1","-1","200","-1","","182108","","391","","max-age=60","181105_6Q_3","-1","163","-1","100","","1713367","280","-1","GET","180695","180695","","0.2.1","-1","-1","www.cnn.com","100","-1","","1","280","/","-1","","Fastly","816","280","443","443","816","373","280","816","536","1","2","1","0","h2","high","text/html; charset=utf-8","1","gzip","","","",
"151.101.45.67","392","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://www.cnn.com/.a/bundles/cnn-header.b5b3e8252042729f1614-first-bundle.js","-1","-1","200","-1","","76511","1","155","","max-age=2592000","181105_6Q_3","-1","122","-1","100","2383693","219553","588","-1","GET","75315","75315","","0.3","-1","-1","www.cnn.com","100","-1","https://www.cnn.com/","1","587","/.a/bundles/cnn-header.b5b3e8252042729f1614-first-bundle.js","100","","Fastly","980","588","710","710","980","270","588","980","392","2","3","1","0","h2","high","application/javascript; charset=UTF-8","","gzip","","","",
"151.101.45.67","565","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://www.cnn.com/.a/2.123.0/js/cnn-header-second.min.js","-1","-1","200","-1","","98110","2","44","","max-age=2592000","181105_6Q_3","-1","120","-1","100","2383693","501514","589","-1","GET","96913","96913","","0.4","-1","-1","www.cnn.com","100","-1","https://www.cnn.com/","1","588","/.a/2.123.0/js/cnn-header-second.min.js","100","","Fastly","1154","589","709","709","1154","445","589","1154","565","3","4","1","0","h2","high","application/javascript; charset=UTF-8","","gzip","","","",
"151.101.45.67","668","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://www.cnn.com/.a/2.123.0/js/cnn-footer-lib.min.js","-1","-1","200","-1","","172738","9","42","","max-age=2592000","181105_6Q_3","-1","131","-1","100","2383693","741784","594","-1","GET","171540","171540","","0.11","-1","-1","www.cnn.com","100","-1","https://www.cnn.com/","1","590","/.a/2.123.0/js/cnn-footer-lib.min.js","100","","Fastly","1262","594","725","725","1262","537","594","1262","668","4","5","1","0","h2","high","application/javascript; charset=UTF-8","","gzip","","","",
"151.101.45.67","661","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://www.cnn.com/.a/2.123.0/js/cnn-analytics.min.js","-1","-1","200","-1","","9594","11","41","","max-age=2592000","181105_6Q_3","-1","233","-1","100","2383693","27586","594","-1","GET","8399","8399","","0.13","-1","-1","www.cnn.com","100","-1","https://www.cnn.com/","1","591","/.a/2.123.0/js/cnn-analytics.min.js","100","","Fastly","1255","594","827","827","1255","428","594","1255","661","5","6","1","0","h2","high","application/javascript; charset=UTF-8","","gzip","","","",
"151.101.45.67","342","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://www.cnn.com/.a/2.123.0/js/gigya-sharebar.min.js","-1","-1","200","-1","","4471","10","42","","max-age=2592000","181105_6Q_3","-1","233","-1","100","2383693","9379","594","-1","GET","3276","3276","","0.12","-1","-1","www.cnn.com","100","-1","https://www.cnn.com/","1","591","/.a/2.123.0/js/gigya-sharebar.min.js","100","","Fastly","936","594","827","827","936","109","594","936","342","6","7","1","0","h2","high","application/javascript; charset=UTF-8","","gzip","","","",
"104.78.227.233","123","4593","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://cdn.cnn.com/cnn/.e1mo/img/4.0/logos/menu_politics.png","-1","-1","200","-1","0","4890","19","95","","max-age=3600","181105_6Q_3","-1","68","-1","100","3600","4593","1211","-1","GET","4593","","","0.15","-1","-1","cdn.cnn.com","100","-1","https://www.cnn.com/","2","819","/cnn/.e1mo/img/4.0/logos/menu_politics.png","50","","Akamai","1334","1211","1279","1279","1334","55","1211","1334","123","7","8","1","0","h2","low","image/png","","","Mon, 05 Nov 2018 01:29:52 GMT","","",
"104.78.227.233","133","1671","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://cdn.cnn.com/cnn/.e1mo/img/4.0/logos/menu_health.png","-1","-1","200","-1","0","1968","19","45","","max-age=3600","181105_6Q_3","-1","69","-1","100","3600","1671","1211","-1","GET","1671","","","0.16","-1","-1","cdn.cnn.com","100","-1","https://www.cnn.com/","2","819","/cnn/.e1mo/img/4.0/logos/menu_health.png","50","","Akamai","1344","1211","1280","1280","1344","64","1211","1344","133","8","9","1","0","h2","low","image/png","","","Mon, 05 Nov 2018 01:29:52 GMT","","",
"104.78.227.233","510","11133","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://cdn.cnn.com/cnn/.e1mo/img/4.0/logos/menu_entertainment.png","-1","-1","200","-1","0","11431","19","49","","max-age=3600","181105_6Q_3","-1","310","-1","100","3600","11133","1212","-1","GET","11133","","","0.17","-1","-1","cdn.cnn.com","100","-1","https://www.cnn.com/","2","820","/cnn/.e1mo/img/4.0/logos/menu_entertainment.png","50","","Akamai","1722","1212","1522","1522","1722","200","1212","1722","510","9","10","1","0","h2","low","image/png","","","Mon, 05 Nov 2018 01:29:52 GMT","","",
