timestamp,inter_arrival_time,seq,ack,flag_CWR,flag_ECE,flag_URG,flag_ACK,flag_PSH,flag_RST,flag_SYN,flag_FIN,window_size,urgent_pointer,tcp_header_size,tcp_payload_size,ip_header_size,ip_id,ip_tos,ip_df,ip_mf,ip_offset
1541377792.231516,nan,1220562505,815876310,0,0,0,1,0,0,1,0,28960,0,40,0,5,0,32,1,0,0
1541377792.262919,0.0314030647277832,1220562506,815876542,0,0,0,1,0,0,0,0,235,0,32,0,5,9498,32,1,0,0
1541377792.264244,0.0013251304626464844,1220562506,815876542,0,0,0,1,0,0,0,0,235,0,32,1448,5,9499,32,1,0,0
1541377792.264246,1.9073486328125e-06,1220563954,815876542,0,0,0,1,0,0,0,0,235,0,32,1448,5,9500,32,1,0,0
1541377792.264677,0.000431060791015625,1220565402,815876542,0,0,0,1,1,0,0,0,235,0,32,1200,5,9501,32,1,0,0
1541377792.264864,0.000186920166015625,1220566602,815876542,0,0,0,1,0,0,0,0,235,0,32,1448,5,9502,32,1,0,0
1541377792.32229,0.05742597579956055,1220568050,815876542,0,0,0,1,0,0,0,0,235,0,32,1448,5,9503,32,1,0,0
1541377792.361887,0.0395970344543457,1220569498,815876542,0,0,0,1,0,0,0,0,235,0,32,1448,5,9504,32,1,0,0
1541377792.361891,4.0531158447265625e-06,1220570946,815876542,0,0,0,1,1,0,0,0,235,0,32,297,5,9505,32,1,0,0
1541377792.460775,0.09888386726379395,1220570946,815876542,0,0,0,1,1,0,0,0,235,0,32,297,5,9506,32,1,0,0
1541377792.698356,0.2375810146331787,1220571243,815876668,0,0,0,1,1,0,0,0,235,0,32,51,5,9507,32,1,0,0
1541377792.804902,0.10654616355895996,1220571294,815877234,0,0,0,1,0,0,0,0,252,0,32,0,5,9508,32,1,0,0
1541377792.804904,1.9073486328125e-06,1220571294,815877489,0,0,0,1,1,0,0,0,252,0,32,77,5,9509,32,1,0,0
1541377792.808775,0.0038709640502929688,1220571371,815877489,0,0,0,1,1,0,0,0,252,0,32,1053,5,9510,32,1,0,0
1541377792.808789,1.4066696166992188e-05,1220572424,815877489,0,0,0,1,1,0,0,0,252,0,32,1053,5,9511,32,1,0,0
1541377792.809143,0.0003540515899658203,1220573477,815877489,0,0,0,1,0,0,0,0,252,0,32,1448,5,9512,32,1,0,0
1541377792.809146,2.86102294921875e-06,1220574925,815877489,0,0,0,1,1,0,0,0,252,0,32,658,5,9513,32,1,0,0
1541377792.809162,1.5974044799804688e-05,1220575583,815877489,0,0,0,1,1,0,0,0,252,0,32,726,5,9514,32,1,0,0
1541377792.809448,0.000286102294921875,1220576309,815877489,0,0,0,1,1,0,0,0,252,0,32,1053,5,9515,32,1,0,0
1541377792.80945,1.9073486328125e-06,1220577362,815877489,0,0,0,1,1,0,0,0,252,0,32,867,5,9516,32,1,0,0
1541377792.814265,0.004815101623535156,1220578229,815877489,0,0,0,1,1,0,0,0,252,0,32,1053,5,9517,32,1,0,0
1541377792.814266,9.5367431640625e-07,1220579282,815877489,0,0,0,1,0,0,0,0,252,0,32,1448,5,9518,32,1,0,0
1541377792.814267,9.5367431640625e-07,1220580730,815877489,0,0,0,1,1,0,0,0,252,0,32,658,5,9519,32,1,0,0
1541377792.814287,2.002716064453125e-05,1220581388,815877489,0,0,0,1,0,0,0,0,252,0,32,1448,5,9520,32,1,0,0
1541377792.814288,9.5367431640625e-07,1220582836,815877489,0,0,0,1,0,0,0,0,252,0,32,1448,5,9521,32,1,0,0
1541377792.81429,2.1457672119140625e-06,1220584284,815877489,0,0,0,1,0,0,0,0,252,0,32,1448,5,9522,32,1,0,0
1541377792.814291,9.5367431640625e-07,1220585732,815877489,0,0,0,1,0,0,0,0,252,0,32,1448,5,9523,32,1,0,0
1541377792.814631,0.0003399848937988281,1220587180,815877489,0,0,0,1,0,0,0,0,252,0,32,1448,5,9524,32,1,0,0
1541377792.819389,0.004758119583129883,1220588628,815878078,0,0,0,1,0,0,0,0,252,0,32,0,5,9525,32,1,0,0
1541377792.825009,0.005620002746582031,1220588628,815878078,0,0,0,1,0,0,0,0,252,0,32,1448,5,9526,32,1,0,0
1541377792.832014,0.007004976272583008,1220590076,815878078,0,0,0,1,0,0,0,0,252,0,32,1448,5,9527,32,1,0,0
1541377792.832274,0.0002598762512207031,1220591524,815878078,0,0,0,1,0,0,0,0,252,0,32,1448,5,9528,32,1,0,0
