"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","contentType","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","protocol","priority","is_base_page","cacheControl","contentEncoding","expires",
"","304","","","-1","-1","Document","3","-1","-1","text/html; charset=""utf-8""","","1","","-1","-1","https://facebook.com/","-1","-1","301","-1","","277","","0","","181105_7T_E","-1","304","-1","-1","","0","0","-1","GET","0","","","0.2","-1","-1","facebook.com","-1","-1","","-1","0","/","-1","","","304","0","304","304","304","0","0","304","304","0","1","1","0","","","","","","",
"157.240.18.35","496","","","-1","-1","Document","3","-1","-1","text/html; charset=utf-8","0","1","","100","-1","https://m.facebook.com/","-1","-1","200","-1","","20858","","355","","181105_7T_E","-1","142","-1","100","","80533","304","-1","GET","19787","19787","","0.2.1","-1","-1","m.facebook.com","100","-1","","1","304","/","-1","","Facebook","800","304","446","446","800","354","304","800","496","1","2","1","0","h2","high","1","private, no-cache, no-store, must-revalidate","br","Sat, 01 Jan 2000 00:00:00 GMT",
"","46","","","-1","-1","Image","3","-1","-1","text/html; charset=""utf-8""","","1","","-1","-1","https://facebook.com/security/hsts-pixel.gif?c=3.2","-1","-1","302","-1","","474","1","0","","181105_7T_E","-1","46","-1","-1","","0","799","-1","GET","0","","","0.8","-1","-1","facebook.com","-1","-1","https://m.facebook.com/","-1","799","/security/hsts-pixel.gif?c=3.2","-1","","","845","799","845","845","845","0","799","845","46","2","3","1","0","","","","","","",
"","1334","","","-1","-1","","3","-1","-1","text/html; charset=""utf-8""","","1","","-1","-1","https://fbcdn.net/security/hsts-pixel.gif?c=2","-1","-1","302","-1","","489","1","0","","181105_7T_E","-1","1334","-1","-1","","0","845","-1","GET","0","","","0.8.1","-1","-1","fbcdn.net","-1","-1","https://m.facebook.com/","-1","845","/security/hsts-pixel.gif?c=2","-1","","","2179","845","2179","2179","2179","0","845","2179","1334","3","4","1","0","","","","","","",
"157.240.2.25","113","","","-1","-1","Stylesheet","3","800","959","text/css; charset=utf-8","0","1","","100","881","https://static.xx.fbcdn.net/rsrc.php/v3/yd/l/0,cross/gTDdNDB7Tzz.css","56","881","200","78","","10265","1","199","","181105_7T_E","856","31","857","100","31536000","47014","961","24","GET","9190","9190","","0.3","-1","-1","static.xx.fbcdn.net","100","-1","https://m.facebook.com/","2","796","/rsrc.php/v3/yd/l/0,cross/gTDdNDB7Tzz.css","100","","Facebook","1074","961","992","992","1074","82","800","1074","271","4","5","1","0","h2","high","","public,max-age=31536000,immutable","br","Mon, 04 Nov 2019 11:58:59 GMT",
"157.240.2.25","98","","","-1","-1","Stylesheet","3","-1","-1","text/css; charset=utf-8","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yg/l/0,cross/K4iTQgo-zSv.css","-1","-1","200","-1","","8642","1","46","","181105_7T_E","-1","62","-1","100","31536000","28624","961","-1","GET","7463","7463","","0.5","-1","-1","static.xx.fbcdn.net","100","-1","https://m.facebook.com/","2","797","/rsrc.php/v3/yg/l/0,cross/K4iTQgo-zSv.css","100","","Facebook","1059","961","1023","1023","1059","36","961","1059","98","5","6","1","0","h2","high","","public,max-age=31536000,immutable","br","Mon, 04 Nov 2019 12:02:47 GMT",
"157.240.2.25","52","","","-1","-1","Stylesheet","3","-1","-1","text/css; charset=utf-8","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/7x6WaQ1jvtO.css","-1","-1","200","-1","","3778","1","46","","181105_7T_E","-1","31","-1","100","31536000","11815","961","-1","GET","2703","2703","","0.4","-1","-1","static.xx.fbcdn.net","100","-1","https://m.facebook.com/","2","796","/rsrc.php/v3/yv/l/0,cross/7x6WaQ1jvtO.css","100","","Facebook","1013","961","992","992","1013","21","961","1013","52","6","7","1","0","h2","high","","public,max-age=31536000,immutable","br","Fri, 01 Nov 2019 22:08:05 GMT",
"157.240.2.25","204","","","-1","-1","Script","3","-1","-1","application/x-javascript; charset=utf-8","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3iczx4/yi/l/en_US/4Vz9YUTDTDB.js","-1","-1","200","-1","","97668","1","53","","181105_7T_E","-1","74","-1","100","31536000","408699","961","-1","GET","96576","96576","","0.7","-1","-1","static.xx.fbcdn.net","100","-1","https://m.facebook.com/","2","798","/rsrc.php/v3iczx4/yi/l/en_US/4Vz9YUTDTDB.js","100","","Facebook","1165","961","1035","1035","1165","130","961","1165","204","7","8","1","0","h2","high","","public,max-age=31536000,immutable","br","Sun, 03 Nov 2019 05:40:33 GMT",
"157.240.2.25","120","","","-1","-1","Stylesheet","3","-1","-1","text/css; charset=utf-8","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yL/l/0,cross/atxN1DqMWnS.css","-1","-1","200","-1","","3389","1","46","","181105_7T_E","-1","63","-1","100","31536000","9221","961","-1","GET","2314","2314","","0.6","-1","-1","static.xx.fbcdn.net","100","-1","https://m.facebook.com/","2","797","/rsrc.php/v3/yL/l/0,cross/atxN1DqMWnS.css","100","","Facebook","1081","961","1024","1024","1081","57","961","1081","120","8","9","1","0","h2","high","","public,max-age=31536000,immutable","br","Mon, 04 Nov 2019 12:02:49 GMT",
"157.240.2.25","150","","","-1","-1","Script","3","-1","-1","application/x-javascript; charset=utf-8","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3iooI4/yI/l/en_US/SrOAqbe61Vr.js","-1","-1","200","-1","","19727","1","48","","181105_7T_E","-1","74","-1","100","31536000","65420","964","-1","GET","18531","18531","","0.9","-1","-1","static.xx.fbcdn.net","100","-1","https://m.facebook.com/","2","802","/rsrc.php/v3iooI4/yI/l/en_US/SrOAqbe61Vr.js","100","","Facebook","1114","964","1038","1038","1114","76","964","1114","150","9","10","1","0","h2","high","","public,max-age=31536000,immutable","br","Sun, 03 Nov 2019 10:59:34 GMT",
