id,start_time,end_time,duration,src_ip,src_port,dst_ip,dst_port,total_bytes,total_message_bytes,avg_inter_arrival_time,median_inter_arrival_time,std_inter_arrival_time,num_packets,src_names,dst_names
0,1541379074.046871,1541379074.690091,0.6432199478149414,192.168.1.67,59304,157.240.2.35,443,1364,740,0.05847454071044922,0.008117914199829102,0.1192626298468398,12,"{'localhost', '192.168.1.67'}",{'157.240.2.35'}
1,1541379074.094725,1541379074.689905,0.5951800346374512,157.240.2.35,443,192.168.1.67,59304,995,631,0.0991966724395752,0.013697385787963867,0.14188018911040784,7,{'157.240.2.35'},"{'localhost', '192.168.1.67'}"
2,1541379074.208679,1541379076.639136,2.43045711517334,192.168.1.67,59305,157.240.18.35,443,2850,1382,0.09001693019160519,0.000392913818359375,0.36788801211044003,28,"{'localhost', '192.168.1.67'}","{'star-mini.c10r.facebook.com', '157.240.18.35', 'm.facebook.com'}"
3,1541379074.258711,1541379076.638993,2.380281925201416,157.240.18.35,443,192.168.1.67,59305,26698,25286,0.09154930481543908,0.0001575946807861328,0.3945392160742821,27,"{'star-mini.c10r.facebook.com', '157.240.18.35', 'm.facebook.com'}","{'localhost', '192.168.1.67'}"
4,1541379074.714391,1541379075.971177,1.2567861080169678,192.168.1.67,59306,157.240.2.25,443,12319,2479,0.006685032489451956,0.00011098384857177734,0.036691682900300865,189,"{'localhost', '192.168.1.67'}","{'157.240.2.25', 'scontent.xx.fbcdn.net', 'static.xx.fbcdn.net'}"
5,1541379074.738181,1541379075.94819,1.2100088596343994,157.240.2.25,443,192.168.1.67,59306,319447,306543,0.004898821294066395,0.00021505355834960938,0.033570560533314905,248,"{'157.240.2.25', 'scontent.xx.fbcdn.net', 'static.xx.fbcdn.net'}","{'localhost', '192.168.1.67'}"
6,1541379075.767681,1541379075.971128,0.2034471035003662,192.168.1.67,59307,157.240.18.35,443,1689,793,0.012715443968772888,0.001132965087890625,0.018809891984405615,17,"{'localhost', '192.168.1.67'}","{'fbcdn.net', '157.240.18.35'}"
7,1541379075.788255,1541379075.945467,0.1572120189666748,157.240.18.35,443,192.168.1.67,59307,4541,4013,0.01746800210740831,0.0027000904083251953,0.01922900307954784,10,"{'fbcdn.net', '157.240.18.35'}","{'localhost', '192.168.1.67'}"
8,1541379076.0055,1541379076.27842,0.2729198932647705,192.168.1.67,59308,157.240.2.25,443,2115,1063,0.014364204908672133,0.00017213821411132812,0.029154609639882065,20,"{'localhost', '192.168.1.67'}","{'157.240.2.25', 'scontent.xx.fbcdn.net', 'static.xx.fbcdn.net'}"
9,1541379076.031549,1541379076.278295,0.24674606323242188,157.240.2.25,443,192.168.1.67,59308,5201,4517,0.020562171936035156,0.00015807151794433594,0.03974084969945901,13,"{'157.240.2.25', 'scontent.xx.fbcdn.net', 'static.xx.fbcdn.net'}","{'localhost', '192.168.1.67'}"
10,1541379076.154894,1541379076.708715,0.5538208484649658,192.168.1.67,59309,157.240.18.35,443,1801,789,0.030767824914720323,0.0010529756546020508,0.08485037835951148,19,"{'localhost', '192.168.1.67'}","{'fbsbx.com', '157.240.18.35'}"
11,1541379076.55556,1541379076.708536,0.15297579765319824,157.240.18.35,443,192.168.1.67,59309,4773,4193,0.015297579765319824,0.001083970069885254,0.02131697203538186,11,"{'fbsbx.com', '157.240.18.35'}","{'localhost', '192.168.1.67'}"
12,1541379076.575471,1541379076.820569,0.24509811401367188,192.168.1.67,59310,64.233.171.154,443,1868,920,0.014417536118451287,0.00043511390686035156,0.022967885604591405,18,"{'localhost', '192.168.1.67'}",{'64.233.171.154'}
13,1541379076.626138,1541379076.915972,0.28983402252197266,64.233.171.154,443,192.168.1.67,59310,4462,3778,0.024152835210164387,0.0012339353561401367,0.032638858509206635,13,{'64.233.171.154'},"{'localhost', '192.168.1.67'}"
14,1541379076.846026,1541379077.027056,0.1810300350189209,192.168.1.67,59311,108.177.111.103,443,1821,925,0.011314377188682556,0.00045609474182128906,0.015284516113572089,17,"{'localhost', '192.168.1.67'}",{'108.177.111.103'}
15,1541379076.877603,1541379077.062251,0.1846480369567871,108.177.111.103,443,192.168.1.67,59311,3844,3264,0.01846480369567871,0.006502628326416016,0.02185229946586832,11,{'108.177.111.103'},"{'localhost', '192.168.1.67'}"
