"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","contentType","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","cacheControl","contentEncoding","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","protocol","priority","is_base_page","jpeg_scan_count","score_progressive_jpeg","expires",
"","268","","","-1","-1","Document","3","-1","-1","text/html; charset=utf-8","","1","","-1","-1","https://bing.com/","-1","-1","301","-1","","969","","0","","private","gzip","181105_8N_6","-1","268","-1","-1","","0","0","-1","GET","179","","","0.2","-1","-1","bing.com","-1","-1","","-1","0","/","-1","","","268","0","268","268","268","0","0","268","268","0","1","1","0","","","","","","",
"13.107.21.200","486","","","-1","-1","Document","3","-1","-1","text/html; charset=utf-8","0","1","","100","-1","https://www.bing.com/?toWww=1&redig=B7763EC4CDD647798109EE01B0285E5C","-1","-1","200","-1","","22050","","469","","private, max-age=0","gzip","181105_8N_6","-1","103","-1","-1","","52292","268","-1","GET","20927","20927","","0.2.1","-1","-1","www.bing.com","100","-1","","1","268","/?toWww=1&redig=B7763EC4CDD647798109EE01B0285E5C","-1","","","754","268","371","371","754","383","268","754","486","1","2","1","0","h2","high","1","","","",
"13.107.21.200","37","3242","","-1","100","Image","3","-1","-1","image/png","","1","","-1","-1","https://www.bing.com/sa/simg/hp_mob_ll2x.png","-1","-1","200","-1","0","3550","16","357","","public, max-age=15552000","","181105_8N_6","-1","28","-1","0","15552000","3242","754","-1","GET","3242","","","0.4","-1","-1","www.bing.com","100","-1","https://www.bing.com/?toWww=1&redig=B7763EC4CDD647798109EE01B0285E5C","1","753","/sa/simg/hp_mob_ll2x.png","100","","","791","754","782","782","791","9","754","791","37","2","3","1","0","h2","low","","","","",
"13.107.21.200","68","","","-1","-1","Image","3","-1","-1","","","1","","-1","-1","https://www.bing.com/fd/ls/l?IG=BAF14837E02B459E8E1CB813072283B5&Type=Event.CPT&DATA={%22pp%22:{%22S%22:%22L%22,%22FC%22:-1,%22BC%22:-1,%22SE%22:-1,%22TC%22:-1,%22H%22:-1,%22BP%22:74,%22CT%22:80,%22IL%22:1},%22ad%22:[-1,-1,375,603,375,603,0]}&P=SERP&DA=CH01&MN=SERP","-1","-1","200","-1","","152","12","211","","","","181105_8N_6","-1","42","-1","-1","","0","803","-1","GET","0","","8205","0.5","-1","-1","www.bing.com","100","-1","https://www.bing.com/?toWww=1&redig=B7763EC4CDD647798109EE01B0285E5C","1","802","/fd/ls/l?IG=BAF14837E02B459E8E1CB813072283B5&Type=Event.CPT&DATA={%22pp%22:{%22S%22:%22L%22,%22FC%22:-1,%22BC%22:-1,%22SE%22:-1,%22TC%22:-1,%22H%22:-1,%22BP%22:74,%22CT%22:80,%22IL%22:1},%22ad%22:[-1,-1,375,603,375,603,0]}&P=SERP&DA=CH01&MN=SERP","-1","","","871","803","845","845","871","26","803","871","68","3","4","1","0","h2","low","","","","",
"","62","","","-1","-1","Beacon","3","-1","-1","","","1","","-1","-1","https://www.bing.com/fd/ls/lsp.aspx?","-1","-1","204","-1","","0","12","0","","","","181105_8N_6","-1","62","-1","-1","","0","805","-1","POST","0","","6736","0.6","-1","-1","www.bing.com","-1","-1","https://www.bing.com/?toWww=1&redig=B7763EC4CDD647798109EE01B0285E5C","-1","805","/fd/ls/lsp.aspx","-1","","","867","805","867","867","867","0","805","867","62","4","5","1","0","","","","","","",
"13.107.21.200","64","","","-1","-1","Script","3","-1","-1","application/x-javascript; charset=utf-8","0","1","","100","-1","https://www.bing.com/rms/BingCore.Bundle/cj,nj/3e6a7d75/9a358300.js?bu=rms+answers+Shared+BingCore%24ClientInstV2%24DuplicateXlsDefaultConfig*BingCore%24ClientInstV2%24SharedLocalStorageConfigDefault*BingCore%24shared*BingCore%24env.override*Empty*BingCore%24event.custom.fix*BingCore%24event.native*BingCore%24onHTML*BingCore%24dom*BingCore%24cookies*BingCore%24rmsajax*BingCore%24ClientInstV2%24LogUploadCapFeatureDisabled*BingCore%24ClientInstV2%24ClientInstConfigSeparateOfflineQueue*BingCore%24clientinst*BingCore%24replay*BingCore%24Animation*BingCore%24fadeAnimation*BingCore%24framework","-1","-1","200","-1","","5468","9","439","","public, max-age=15552000","br","181105_8N_6","-1","38","-1","0","15552000","12619","809","-1","GET","5110","5110","2681","0.7","-1","-1","www.bing.com","100","-1","https://www.bing.com/?toWww=1&redig=B7763EC4CDD647798109EE01B0285E5C","1","808","/rms/BingCore.Bundle/cj,nj/3e6a7d75/9a358300.js?bu=rms+answers+Shared+BingCore%24ClientInstV2%24DuplicateXlsDefaultConfig*BingCore%24ClientInstV2%24SharedLocalStorageConfigDefault*BingCore%24shared*BingCore%24env.override*Empty*BingCore%24event.custom.fix*BingCore%24event.native*BingCore%24onHTML*BingCore%24dom*BingCore%24cookies*BingCore%24rmsajax*BingCore%24ClientInstV2%24LogUploadCapFeatureDisabled*BingCore%24ClientInstV2%24ClientInstConfigSeparateOfflineQueue*BingCore%24clientinst*BingCore%24replay*BingCore%24Animation*BingCore%24fadeAnimation*BingCore%24framework","100","","","873","809","847","847","873","26","809","873","64","5","6","1","0","h2","high","","","","",
"13.107.21.200","157","","","-1","-1","Document","3","-1","-1","application/x-javascript; charset=utf-8","0","1","","100","-1","https://www.bing.com/rs/5k/Uq/cj,nj/c9ce19fd/92e3c570.js","-1","-1","200","-1","","597","3","43","","public, max-age=15552000","br","181105_8N_6","-1","31","-1","0","15552000","395","945","-1","GET","240","240","5102","0.8","-1","-1","www.bing.com","100","-1","https://www.bing.com/rms/BingCore.Bundle/cj,nj/3e6a7d75/9a358300.js?bu=rms+answers+Shared+BingCore%24ClientInstV2%24DuplicateXlsDefaultConfig*BingCore%24ClientInstV2%24SharedLocalStorageConfigDefault*BingCore%24shared*BingCore%24env.override*Empty*BingCore%24event.custom.fix*BingCore%24event.native*BingCore%24onHTML*BingCore%24dom*BingCore%24cookies*BingCore%24rmsajax*BingCore%24ClientInstV2%24LogUploadCapFeatureDisabled*BingCore%24ClientInstV2%24ClientInstConfigSeparateOfflineQueue*BingCore%24clientinst*BingCore%24replay*BingCore%24Animation*BingCore%24fadeAnimation*BingCore%24framework","1","944","/rs/5k/Uq/cj,nj/c9ce19fd/92e3c570.js","100","","","1102","945","976","976","1102","126","945","1102","157","6","7","1","0","h2","high","","","","",
"13.107.21.200","165","","","-1","-1","Document","3","-1","-1","application/x-javascript; charset=utf-8","0","1","","100","-1","https://www.bing.com/rs/5k/Ut/cj,nj/8c497c38/f92a50a7.js","-1","-1","200","-1","","410","3","43","","public, max-age=15552000","br","181105_8N_6","-1","44","-1","0","15552000","70","970","-1","GET","54","54","5196","0.9","-1","-1","www.bing.com","100","-1","https://www.bing.com/rms/BingCore.Bundle/cj,nj/3e6a7d75/9a358300.js?bu=rms+answers+Shared+BingCore%24ClientInstV2%24DuplicateXlsDefaultConfig*BingCore%24ClientInstV2%24SharedLocalStorageConfigDefault*BingCore%24shared*BingCore%24env.override*Empty*BingCore%24event.custom.fix*BingCore%24event.native*BingCore%24onHTML*BingCore%24dom*BingCore%24cookies*BingCore%24rmsajax*BingCore%24ClientInstV2%24LogUploadCapFeatureDisabled*BingCore%24ClientInstV2%24ClientInstConfigSeparateOfflineQueue*BingCore%24clientinst*BingCore%24replay*BingCore%24Animation*BingCore%24fadeAnimation*BingCore%24framework","1","969","/rs/5k/Ut/cj,nj/8c497c38/f92a50a7.js","100","","","1135","970","1014","1014","1135","121","970","1135","165","7","8","1","0","h2","high","","","","",
"13.107.21.200","142","","","-1","-1","Document","3","-1","-1","application/x-javascript; charset=utf-8","0","1","","100","-1","https://www.bing.com/rb/14/cj,nj/1b7dfb88/cc8437ad.js?bu=DikuWWltcWVdYaoBrgEungEu","-1","-1","200","-1","","8221","3","63","","public, max-age=15552000","br","181105_8N_6","-1","40","-1","0","15552000","18751","1005","-1","GET","7863","7863","5196","0.10","-1","-1","www.bing.com","100","-1","https://www.bing.com/rms/BingCore.Bundle/cj,nj/3e6a7d75/9a358300.js?bu=rms+answers+Shared+BingCore%24ClientInstV2%24DuplicateXlsDefaultConfig*BingCore%24ClientInstV2%24SharedLocalStorageConfigDefault*BingCore%24shared*BingCore%24env.override*Empty*BingCore%24event.custom.fix*BingCore%24event.native*BingCore%24onHTML*BingCore%24dom*BingCore%24cookies*BingCore%24rmsajax*BingCore%24ClientInstV2%24LogUploadCapFeatureDisabled*BingCore%24ClientInstV2%24ClientInstConfigSeparateOfflineQueue*BingCore%24clientinst*BingCore%24replay*BingCore%24Animation*BingCore%24fadeAnimation*BingCore%24framework","1","1004","/rb/14/cj,nj/1b7dfb88/cc8437ad.js?bu=DikuWWltcWVdYaoBrgEungEu","100","","","1147","1005","1045","1045","1147","102","1005","1147","142","8","9","1","0","h2","high","","","","",
"13.107.21.200","374","","","-1","-1","Document","3","-1","-1","application/x-javascript; charset=utf-8","0","1","","100","-1","https://www.bing.com/rs/6h/jK/cj,nj/54603a84/41886d99.js","-1","-1","200","-1","","790","3","44","","public, max-age=15552000","br","181105_8N_6","-1","327","-1","0","15552000","908","1023","-1","GET","433","433","5196","0.11","-1","-1","www.bing.com","100","-1","https://www.bing.com/rms/BingCore.Bundle/cj,nj/3e6a7d75/9a358300.js?bu=rms+answers+Shared+BingCore%24ClientInstV2%24DuplicateXlsDefaultConfig*BingCore%24ClientInstV2%24SharedLocalStorageConfigDefault*BingCore%24shared*BingCore%24env.override*Empty*BingCore%24event.custom.fix*BingCore%24event.native*BingCore%24onHTML*BingCore%24dom*BingCore%24cookies*BingCore%24rmsajax*BingCore%24ClientInstV2%24LogUploadCapFeatureDisabled*BingCore%24ClientInstV2%24ClientInstConfigSeparateOfflineQueue*BingCore%24clientinst*BingCore%24replay*BingCore%24Animation*BingCore%24fadeAnimation*BingCore%24framework","1","1022","/rs/6h/jK/cj,nj/54603a84/41886d99.js","100","","","1397","1023","1350","1350","1397","47","1023","1397","374","9","10","1","0","h2","high","","","","",
