timestamp,inter_arrival_time,seq,ack,flag_CWR,flag_ECE,flag_URG,flag_ACK,flag_PSH,flag_RST,flag_SYN,flag_FIN,window_size,urgent_pointer,tcp_header_size,tcp_payload_size,ip_header_size,ip_id,ip_tos,ip_df,ip_mf,ip_offset
1541378274.061378,nan,1212587227,4284531062,0,0,0,1,0,0,1,0,4380,0,24,0,5,46803,32,1,0,0
1541378274.1018,0.04042196273803711,1212587228,4284531062,0,0,0,1,0,0,0,0,8192,0,24,0,5,4978,32,1,0,0
1541378274.105401,0.00360107421875,1212587228,4284531579,0,0,0,1,0,0,0,0,64240,0,20,1460,5,4979,32,1,0,0
1541378274.105452,5.1021575927734375e-05,1212588688,4284531579,0,0,0,1,0,0,0,0,64240,0,20,1460,5,4980,32,1,0,0
1541378274.105689,0.00023698806762695312,1212590148,4284531579,0,0,0,1,0,0,0,0,64240,0,20,1460,5,4981,32,1,0,0
1541378274.105691,1.9073486328125e-06,1212591608,4284531579,0,0,0,1,0,0,0,0,64240,0,20,1460,5,4982,32,1,0,0
1541378274.140497,0.034806013107299805,1212593068,4284531579,0,0,0,1,1,0,0,0,64240,0,20,284,5,4985,32,1,0,0
1541378274.239831,0.0993340015411377,1212593352,4284531829,0,0,0,1,1,0,0,0,63990,0,20,107,5,4986,32,1,0,0
1541378274.284708,0.044877052307128906,1212593459,4284531915,0,0,0,1,0,0,0,0,63905,0,20,0,5,4987,32,1,0,0
1541378274.284712,4.0531158447265625e-06,1212593459,4284531915,0,0,0,1,0,1,0,0,0,0,20,0,5,4988,32,1,0,0
