timestamp,inter_arrival_time,seq,ack,flag_CWR,flag_ECE,flag_URG,flag_ACK,flag_PSH,flag_RST,flag_SYN,flag_FIN,window_size,urgent_pointer,tcp_header_size,tcp_payload_size,ip_header_size,ip_id,ip_tos,ip_df,ip_mf,ip_offset
1541379533.998143,nan,2928805103,0,0,0,0,0,0,0,1,0,65535,0,44,0,5,0,0,1,0,0
1541379534.039484,0.04134106636047363,2928805104,2376173843,0,0,0,1,0,0,0,0,2058,0,32,0,5,0,0,1,0,0
1541379534.040097,0.0006129741668701172,2928805104,2376173843,0,0,0,1,1,0,0,0,2058,0,32,237,5,0,0,1,0,0
1541379534.079926,0.03982901573181152,2928805341,2376176739,0,0,0,1,0,0,0,0,2025,0,32,0,5,0,0,1,0,0
1541379534.079937,1.0967254638671875e-05,2928805341,2376177939,0,0,0,1,0,0,0,0,2006,0,32,0,5,0,0,1,0,0
1541379534.080711,0.0007739067077636719,2928805341,2376179241,0,0,0,1,0,0,0,0,2027,0,32,0,5,0,0,1,0,0
1541379534.098695,0.01798415184020996,2928805341,2376179241,0,0,0,1,1,0,0,0,2048,0,32,85,5,0,0,1,0,0
1541379534.132966,0.0342710018157959,2928805426,2376179284,0,0,0,1,0,0,0,0,2047,0,32,0,5,0,0,1,0,0
1541379534.13298,1.4066696166992188e-05,2928805426,2376179345,0,0,0,1,0,0,0,0,2046,0,32,0,5,0,0,1,0,0
1541379534.571494,0.43851399421691895,2928805426,2376179345,0,0,0,1,0,0,0,0,2048,0,44,0,5,0,0,1,0,0
