"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","contentType","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","cacheControl","protocol","priority","is_base_page","contentEncoding","expires","jpeg_scan_count","score_progressive_jpeg",
"","1163","","","-1","-1","Document","3","-1","-1","text/html","","1","","-1","-1","https://baidu.com/","-1","-1","302","-1","","289","","0","","181105_BD_J","-1","1163","-1","-1","","0","0","-1","GET","161","","","0.2","-1","-1","baidu.com","-1","-1","","-1","0","/","-1","","","1163","0","1163","1163","1163","0","0","1163","1163","0","1","1","0","","","","","","","","",
"","496","","","-1","-1","Document","3","-1","-1","text/html;charset=utf-8","","0","","-1","-1","http://www.baidu.com/","-1","-1","302","-1","","972","","0","","181105_BD_J","-1","496","-1","-1","","0","1163","-1","GET","0","","","0.2.1","-1","-1","www.baidu.com","-1","-1","","-1","1163","/","-1","","","1659","1163","1659","1659","1659","0","1163","1659","496","1","2","1","0","no-cache","","","","","","","",
"104.193.88.123","1621","","","-1","-1","Document","3","-1","-1","text/html;charset=utf-8","0","1","","100","-1","https://m.baidu.com/?from=844b&vit=fps","-1","-1","200","-1","","94779","","1447","","181105_BD_J","-1","1212","-1","-1","","243536","1659","-1","GET","92436","92436","","0.2.2","-1","-1","m.baidu.com","100","-1","","1","1659","/?from=844b&vit=fps","-1","","","3280","1659","2871","2871","3280","409","1659","3280","1621","2","3","1","0","no-cache","http/1.1","high","1","gzip","","","",
"104.193.88.123","304","2798","","-1","100","Image","3","-1","-1","image/png","","1","","-1","-1","https://m.baidu.com/static/index/plus/public/icon_police.png","-1","-1","200","-1","0","3210","2","887","","181105_BD_J","-1","265","-1","0","31536000","2798","3252","-1","GET","2798","","","0.25","-1","-1","m.baidu.com","100","-1","https://m.baidu.com/?from=844b&vit=fps","1","3243","/static/index/plus/public/icon_police.png","100","","","3556","3252","3517","3517","3556","39","3252","3556","304","3","4","1","0","max-age=31536000","http/1.1","low","","","Tue, 05 Nov 2019 00:55:43 GMT","","",
"104.193.88.77","296","4493","","-1","100","Image","3","3077","3388","image/png","","1","","-1","3238","https://m.baidu.com/static/index/plus/plus_logo.png","34","3238","200","150","0","4905","2","878","","181105_BD_J","3111","278","3112","0","31536000","4493","3389","126","GET","4493","","","0.3","-1","-1","m.baidu.com","100","-1","https://m.baidu.com/?from=844b&vit=fps","3","3075","/static/index/plus/plus_logo.png","100","","","3685","3389","3667","3667","3685","18","3077","3685","606","4","5","1","0","max-age=31536000","http/1.1","low","","","Tue, 05 Nov 2019 00:55:43 GMT","","",
"104.193.88.77","290","369","","-1","100","Image","3","3107","3389","image/png","","1","","-1","3238","https://m.baidu.com/bdlogo/squareicon_e582f4c48e93901e747536ad982e030d.png","8","3238","200","151","0","797","2","901","","181105_BD_J","3115","275","3115","0","86400","369","3389","123","GET","369","","","0.5","-1","-1","m.baidu.com","100","-1","https://m.baidu.com/?from=844b&vit=fps","2","3100","/bdlogo/squareicon_e582f4c48e93901e747536ad982e030d.png","50","","","3679","3389","3664","3664","3679","15","3107","3679","572","5","6","1","0","max-age=86400","http/1.1","low","","","Tue, 06 Nov 2018 00:55:43 GMT","","",
"104.193.88.77","770","2929","","-1","100","Image","3","3102","3510","image/png","","1","","-1","3238","https://www.baidu.com/img/login_2d2c57b59121dec81f374c4fe080e9d3.png","8","3238","200","272","0","3202","2","839","","181105_BD_J","3110","753","3112","0","315360000","2929","3512","126","GET","2929","","","0.4","-1","-1","www.baidu.com","100","-1","https://m.baidu.com/?from=844b&vit=fps","9","3100","/img/login_2d2c57b59121dec81f374c4fe080e9d3.png","100","","","4282","3512","4265","4265","4282","17","3102","4282","1176","6","7","1","0","max-age=315360000","http/1.1","low","","","Thu, 02 Nov 2028 00:55:43 GMT","","",
"104.193.88.77","379","13750","","-1","100","Image","3","3296","3516","image/png","","1","","-1","3420","https://m.baidu.com/se/static/img/iphone/logo.png","35","3420","200","96","0","14188","2","876","","181105_BD_J","3331","287","3332","0","120","13750","3516","88","GET","13750","","211853","0.27","-1","-1","m.baidu.com","100","-1","https://m.baidu.com/?from=844b&vit=fps","4","3293","/se/static/img/iphone/logo.png","0","","","3895","3516","3803","3803","3895","92","3296","3895","598","7","8","1","0","max-age=120","http/1.1","low","","","Mon, 05 Nov 2018 00:57:43 GMT","","",
"104.193.88.123","904","","","-1","-1","Script","3","-1","-1","text/javascript;charset=utf-8","0","1","","100","-1","https://m.baidu.com/?action=static&ms=1&version=css_page_2@0,css_callapp@0,css_weather@0,css_icon@0,css_plus@0,css_edit@0,css_modal@0,css_widget_sug@0,css_skin@0,js_esl@0,js_zepto@0,js_event@0,js_fastclick@0,js_utils@0,js_smartymonkey@0,js_index@0,js_banner_ctrl@0,js_inputlog@0,js_bdnow@0,js_nctips@0,js_widget_textinput@0,js_widget_sug@0,js_hash_lib@0,js_skinRenderIndex@0,js_skinIphone@0,js_prefetch@0,js_sug@0,js_iscroll@0,js_superframe@0,js_init@0,js_geolocation@0,js_login@0,js_tab@0,js_md5@0,js_url@0,js_lswrite@0,js_modal@0,js_thirdparty@0,js_m_monitor@0,js_superstart@0,js_setSearchEngine@0,js_callbaiduapp_ios@0&callback=B.getCode&r=400&sid=125703_125821_125588_126649_126071_124680_126786_120210_123019_126580_118894_118875_118841_118825_118788_107313_126866_125544_126145_126797_126558_117331_126793_117428_126782_126442_124619_126381_124953_126163_125925_126941_126685_126774_126178_126092_126721_126002_125873_126359_124030_124298_110085_124866_121264_125850","-1","-1","200","-1","","129068","2","1741","","181105_BD_J","-1","423","-1","-1","","394396","3524","-1","GET","128030","128030","208856","0.29","-1","-1","m.baidu.com","100","-1","https://m.baidu.com/?from=844b&vit=fps","1","3310","/?action=static&ms=1&version=css_page_2@0,css_callapp@0,css_weather@0,css_icon@0,css_plus@0,css_edit@0,css_modal@0,css_widget_sug@0,css_skin@0,js_esl@0,js_zepto@0,js_event@0,js_fastclick@0,js_utils@0,js_smartymonkey@0,js_index@0,js_banner_ctrl@0,js_inputlog@0,js_bdnow@0,js_nctips@0,js_widget_textinput@0,js_widget_sug@0,js_hash_lib@0,js_skinRenderIndex@0,js_skinIphone@0,js_prefetch@0,js_sug@0,js_iscroll@0,js_superframe@0,js_init@0,js_geolocation@0,js_login@0,js_tab@0,js_md5@0,js_url@0,js_lswrite@0,js_modal@0,js_thirdparty@0,js_m_monitor@0,js_superstart@0,js_setSearchEngine@0,js_callbaiduapp_ios@0&callback=B.getCode&r=400&sid=125703_125821_125588_126649_126071_124680_126786_120210_123019_126580_118894_118875_118841_118825_118788_107313_126866_125544_126145_126797_126558_117331_126793_117428_126782_126442_124619_126381_124953_126163_125925_126941_126685_126774_126178_126092_126721_126002_125873_126359_124030_124298_110085_124866_121264_125850","-1","","","4428","3524","3947","3947","4428","481","3524","4428","904","8","9","1","0","no-cache","http/1.1","high","","gzip","","","",
"104.193.88.77","283","8214","","-1","100","Image","3","-1","-1","image/png","","1","","-1","-1","https://m.baidu.com/se/static/img/iphone/tab_loading__bg_logo.png","-1","-1","200","-1","0","8651","2","892","","181105_BD_J","-1","273","-1","0","120","8214","3667","-1","GET","8214","","211853","0.28","-1","-1","m.baidu.com","100","-1","https://m.baidu.com/?from=844b&vit=fps","2","3294","/se/static/img/iphone/tab_loading__bg_logo.png","0","","","3950","3667","3940","3940","3950","10","3667","3950","283","9","10","1","0","max-age=120","http/1.1","low","","","Mon, 05 Nov 2018 00:57:43 GMT","","",
"104.193.88.113","362","917","","-1","100","Image","3","3240","3869","image/png","","1","","-1","3599","https://gss0.bdstatic.com/5bd1bjqh_Q23odCf/static/newtab/img/fetch_ing_8_0.png","263","3599","200","270","0","1206","2","251","","181105_BD_J","3503","264","3506","0","2482297","917","3882","93","GET","917","","","0.22","-1","-1","gss0.bdstatic.com","100","-1","https://m.baidu.com/?from=844b&vit=fps","8","3190","/5bd1bjqh_Q23odCf/static/newtab/img/fetch_ing_8_0.png","100","","","4244","3882","4146","4146","4244","98","3240","4244","988","10","11","1","0","max-age=2592000","h2","low","","","Mon, 03 Dec 2018 18:27:20 GMT","","",
