id,start_time,end_time,duration,src_ip,src_port,dst_ip,dst_port,total_bytes,total_message_bytes,avg_inter_arrival_time,median_inter_arrival_time,std_inter_arrival_time,num_packets,src_names,dst_names
0,1541379339.972891,1541379341.069283,1.0963919162750244,123.125.115.110,443,192.168.1.67,59558,8463,7799,0.07309279441833497,0.0003578662872314453,0.11391509684933983,16,{'123.125.115.110'},"{'localhost', '192.168.1.67'}"
1,1541379339.973472,1541379341.039117,1.0656449794769287,192.168.1.67,59558,123.125.115.110,443,1511,839,0.07611749853406634,0.01037287712097168,0.11353565728409253,15,"{'localhost', '192.168.1.67'}",{'123.125.115.110'}
2,1541379340.224463,1541379340.224463,0.0,220.181.57.216,443,192.168.1.67,59559,64,0,nan,nan,nan,1,{'220.181.57.216'},"{'localhost', '192.168.1.67'}"
3,1541379340.224703,1541379340.224703,0.0,192.168.1.67,59559,220.181.57.216,443,40,0,nan,nan,nan,1,"{'localhost', '192.168.1.67'}",{'220.181.57.216'}
4,1541379340.224878,1541379340.224878,0.0,192.168.1.67,59556,23.35.28.177,443,40,0,nan,nan,nan,1,"{'localhost', '192.168.1.67'}",{'23.35.28.177'}
5,1541379340.224891,1541379340.224891,0.0,192.168.1.67,59553,23.35.28.177,443,40,0,nan,nan,nan,1,"{'localhost', '192.168.1.67'}",{'23.35.28.177'}
6,1541379340.943018,1541379371.958745,31.015727043151855,192.168.1.67,59560,104.193.88.123,80,644,320,6.2031454086303714,0.2343580722808838,12.100677285593516,6,"{'localhost', '192.168.1.67'}","{'104.193.88.123', 'www.wshifen.com', 'www.a.shifen.com', 'www.baidu.com'}"
7,1541379341.024668,1541379371.95856,30.933892011642456,104.193.88.123,80,192.168.1.67,59560,1331,1063,7.733473002910614,0.14799296855926514,13.224071043851522,5,"{'104.193.88.123', 'www.wshifen.com', 'www.a.shifen.com', 'www.baidu.com'}","{'localhost', '192.168.1.67'}"
8,1541379341.464266,1541379388.344155,46.87988901138306,192.168.1.67,59561,104.193.88.123,443,57430,45342,0.20294324247351972,0.0004470348358154297,0.3769155847324713,232,"{'localhost', '192.168.1.67'}","{'wap.wshifen.com', '104.193.88.123', 'm.baidu.com', 'wap.n.shifen.com'}"
9,1541379341.555176,1541379388.341979,46.786803007125854,104.193.88.123,443,192.168.1.67,59561,298519,283679,0.16474226410959808,0.00034499168395996094,0.4010873459973924,285,"{'wap.wshifen.com', '104.193.88.123', 'm.baidu.com', 'wap.n.shifen.com'}","{'localhost', '192.168.1.67'}"
10,1541379342.819554,1541379376.261345,33.44179081916809,192.168.1.67,59562,104.193.88.77,443,4841,3377,0.9554797376905169,0.00026988983154296875,5.120966744810307,36,"{'localhost', '192.168.1.67'}","{'wap.wshifen.com', '104.193.88.77', 'm.baidu.com', 'wap.n.shifen.com'}"
11,1541379342.820526,1541379375.030732,32.210206031799316,192.168.1.67,59563,104.193.88.77,443,4099,2995,1.6105103015899658,0.016738414764404297,6.732941350005017,21,"{'localhost', '192.168.1.67'}","{'wap.wshifen.com', '104.193.88.77', 'm.baidu.com', 'wap.n.shifen.com'}"
12,1541379342.823091,1541379376.261322,33.438230991363525,192.168.1.67,59564,104.193.88.77,443,5901,3965,0.928839749760098,0.0005795955657958984,5.072387467270624,37,"{'localhost', '192.168.1.67'}","{'wap.wshifen.com', '104.193.88.77', 'm.baidu.com', 'wap.n.shifen.com'}"
13,1541379342.904306,1541379376.260225,33.35591912269592,104.193.88.77,443,192.168.1.67,59562,33732,32120,0.8552799775050237,0.00019311904907226562,4.904458728930771,40,"{'wap.wshifen.com', '104.193.88.77', 'm.baidu.com', 'wap.n.shifen.com'}","{'localhost', '192.168.1.67'}"
14,1541379342.907483,1541379376.26022,33.352736949920654,104.193.88.77,443,192.168.1.67,59564,26032,24048,0.9014253229708284,0.0001590251922607422,5.050696607227107,38,"{'wap.wshifen.com', '104.193.88.77', 'm.baidu.com', 'wap.n.shifen.com'}","{'localhost', '192.168.1.67'}"
15,1541379342.910072,1541379375.030497,32.12042498588562,104.193.88.77,443,192.168.1.67,59563,8294,7286,1.7844680547714233,0.00024950504302978516,7.104042114415349,19,"{'wap.wshifen.com', '104.193.88.77', 'm.baidu.com', 'wap.n.shifen.com'}","{'localhost', '192.168.1.67'}"
16,1541379343.038391,1541379374.011503,30.973111867904663,192.168.1.67,59565,104.193.88.77,443,2299,1195,1.548655593395233,0.0003745555877685547,6.587303059316987,21,"{'localhost', '192.168.1.67'}","{'wap.wshifen.com', '104.193.88.77', 'm.baidu.com', 'wap.n.shifen.com'}"
17,1541379343.077699,1541379377.35244,34.27474117279053,192.168.1.67,59566,103.235.47.110,443,13290,11926,1.105636812025501,0.0018491744995117188,5.290213667683468,32,"{'localhost', '192.168.1.67'}","{'hpd.a.shifen.com', '103.235.47.110', 'hpd.baidu.com'}"
18,1541379343.126287,1541379374.011302,30.88501501083374,104.193.88.77,443,192.168.1.67,59565,15749,14545,1.403864318674261,7.510185241699219e-05,6.331321062054901,23,"{'wap.wshifen.com', '104.193.88.77', 'm.baidu.com', 'wap.n.shifen.com'}","{'localhost', '192.168.1.67'}"
19,1541379343.249287,1541379363.727032,20.477745056152344,192.168.1.67,59567,104.193.88.91,443,5207,2231,0.3656740188598633,8.20159912109375e-05,2.6118320091025415,57,"{'localhost', '192.168.1.67'}","{'ss0.baidu.com', 'ss1.baidu.com', 'sslbaidu.gshifen.com', '104.193.88.91', 'sslbaidu.jomodns.com'}"
20,1541379343.250284,1541379363.754386,20.504101991653442,192.168.1.67,59568,104.193.88.91,443,3758,1666,0.5257462049141909,0.0002579689025878906,3.143614750355935,40,"{'localhost', '192.168.1.67'}","{'ss0.baidu.com', 'ss1.baidu.com', 'sslbaidu.gshifen.com', '104.193.88.91', 'sslbaidu.jomodns.com'}"
21,1541379343.251209,1541379368.409966,25.158756971359253,192.168.1.67,59569,104.193.88.113,443,19551,8203,0.11593897221824541,0.00011897087097167969,1.3621006879019764,218,"{'localhost', '192.168.1.67'}","{'sslshare.gshifen.com', 'sslshare.jomodns.com', '104.193.88.113', 'gss0.bdstatic.com'}"
22,1541379343.272498,1541379363.81568,20.543182134628296,192.168.1.67,59570,104.193.88.91,443,3709,1669,0.5406100561744288,0.00012302398681640625,3.182139645039597,39,"{'localhost', '192.168.1.67'}","{'ss0.baidu.com', '104.193.88.91', 'sslbaidu.jomodns.com', 'ss1.baidu.com', 'sslbaidu.gshifen.com', 'ss2.baidu.com'}"
23,1541379343.319842,1541379377.692278,34.37243580818176,103.235.47.110,443,192.168.1.67,59566,9411,8151,1.1852564071786815,0.008907079696655273,5.464698951779108,30,"{'hpd.a.shifen.com', '103.235.47.110', 'hpd.baidu.com'}","{'localhost', '192.168.1.67'}"
24,1541379343.339861,1541379363.814335,20.47447419166565,104.193.88.91,443,192.168.1.67,59567,66240,62628,0.29673151002413983,0.0001990795135498047,2.357270407846931,70,"{'ss0.baidu.com', '104.193.88.91', 'sslbaidu.jomodns.com', 'ss1.baidu.com', 'sslbaidu.gshifen.com', 'ss2.baidu.com'}","{'localhost', '192.168.1.67'}"
25,1541379343.339866,1541379363.839771,20.499905109405518,104.193.88.91,443,192.168.1.67,59568,36872,34468,0.445650111074033,0.0002219676971435547,2.9010015909532094,47,"{'ss0.baidu.com', '104.193.88.91', 'sslbaidu.jomodns.com', 'ss1.baidu.com', 'sslbaidu.gshifen.com', 'ss2.baidu.com'}","{'localhost', '192.168.1.67'}"
26,1541379343.343574,1541379368.497598,25.15402388572693,104.193.88.113,443,192.168.1.67,59569,141036,128656,0.10658484697341919,5.412101745605469e-05,1.3074168590626307,237,"{'sslshare.gshifen.com', 'sslshare.jomodns.com', '104.193.88.113', 'gss0.bdstatic.com'}","{'localhost', '192.168.1.67'}"
27,1541379343.36161,1541379363.904669,20.54305911064148,104.193.88.91,443,192.168.1.67,59570,31973,29817,0.5010502222107678,4.0531158447265625e-06,3.06706019418416,42,"{'ss0.baidu.com', '104.193.88.91', 'sslbaidu.jomodns.com', 'ss1.baidu.com', 'sslbaidu.gshifen.com', 'ss2.baidu.com'}","{'localhost', '192.168.1.67'}"
28,1541379344.416954,1541379376.26135,31.844395875930786,192.168.1.67,59571,104.193.88.123,443,2392,1648,1.8731997574076933,0.0010690689086914062,7.281835626879828,18,"{'localhost', '192.168.1.67'}","{'wap.n.shifen.com', 'm.baidu.com', '104.193.88.123', 'wap.wshifen.com', 'feed.baidu.com'}"
29,1541379344.495429,1541379376.260229,31.76480007171631,104.193.88.123,443,192.168.1.67,59571,8322,7550,1.7647111150953505,5.805492401123047e-05,7.157332766533671,19,"{'wap.n.shifen.com', 'm.baidu.com', '104.193.88.123', 'wap.wshifen.com', 'feed.baidu.com'}","{'localhost', '192.168.1.67'}"
30,1541379344.72693,1541379366.021371,21.294440984725952,192.168.1.67,59572,104.193.88.109,443,2759,927,0.6263070877860574,0.00035500526428222656,3.405831796767023,35,"{'localhost', '192.168.1.67'}","{'box.gshifen.com', '104.193.88.109', 's.bdstatic.com', 'box.jomodns.com'}"
