"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","contentType","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","cacheControl","contentEncoding","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","expires","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","protocol","priority","is_base_page","jpeg_scan_count","score_progressive_jpeg",
"","321","","","-1","-1","Document","3","-1","-1","text/html; charset=iso-8859-1","","1","","-1","-1","https://wsj.com/","-1","-1","301","-1","","646","","0","","max-age=2592000","gzip","181105_DC_F","-1","321","-1","-1","","0","0","-1","GET","227","","Wed, 05 Dec 2018 00:51:40 GMT","","0.2","-1","-1","wsj.com","-1","-1","","-1","0","/","-1","","","321","0","321","321","321","0","0","321","321","0","1","1","0","","","","","",
"52.84.141.102","632","","","-1","-1","Document","3","-1","-1","text/html; charset=utf-8","0","1","","100","-1","https://www.wsj.com/","-1","-1","200","-1","","117971","","351","","public, max-age=0","gzip","181105_DC_F","-1","240","-1","100","","661853","321","-1","GET","116970","116970","","","0.2.1","-1","-1","www.wsj.com","100","-1","","1","321","/","-1","","Amazon CloudFront","953","321","561","561","953","392","321","953","632","1","2","1","0","h2","high","1","","",
"52.84.141.102","184","","","-1","-1","Font","3","-1","-1","font/woff2","","1","","-1","-1","https://www.wsj.com/fonts/woffs/retina/Retina-Book.woff2","-1","-1","200","-1","","47510","213","176","","max-age=31536000","","181105_DC_F","-1","66","-1","100","17834727","47100","1093","-1","GET","47100","","","","0.24","-1","-1","www.wsj.com","100","-1","https://www.wsj.com/","1","1091","/fonts/woffs/retina/Retina-Book.woff2","100","","Amazon CloudFront","1277","1093","1159","1159","1277","118","1093","1277","184","2","3","1","0","h2","medium","","","",
"23.218.102.131","467","39585","","-1","100","Image","3","961","-1","image/png","","0","","-1","-1","http://s.wsj.net/public/resources/images/OG-BY509_TARIFF_APPFEED_20181104175433.png","72","1116","200","-1","0","40131","156","376","","max-age=79455","","181105_DC_F","1033","86","1037","100","79455","39585","1116","79","GET","39585","","","","0.7","-1","-1","s.wsj.net","100","-1","https://www.wsj.com/","3","953","/public/resources/images/OG-BY509_TARIFF_APPFEED_20181104175433.png","50","","Akamai","1583","1116","1202","1202","1583","381","961","1583","618","3","4","1","0","http/1.1","low","","","",
"52.84.141.102","410","","","-1","-1","Font","3","-1","-1","font/woff2","","1","","-1","-1","https://www.wsj.com/fonts/woffs/retina/Retina-Medium.woff2","-1","-1","200","-1","","47962","213","39","","max-age=31536000","","181105_DC_F","-1","71","-1","100","17834727","47552","1184","-1","GET","47552","","","","0.25","-1","-1","www.wsj.com","100","-1","https://www.wsj.com/","1","1183","/fonts/woffs/retina/Retina-Medium.woff2","100","","Amazon CloudFront","1594","1184","1255","1255","1594","339","1184","1594","410","4","5","1","0","h2","medium","","","",
"52.84.141.102","416","","","-1","-1","Font","3","-1","-1","font/woff2","","1","","-1","-1","https://www.wsj.com/fonts/woffs/escrow/Escrow+Display+Condensed+Bold.woff2","-1","-1","200","-1","","27254","213","53","","max-age=31536000","","181105_DC_F","-1","139","-1","100","17834728","26844","1184","-1","GET","26844","","","","0.26","-1","-1","www.wsj.com","100","-1","https://www.wsj.com/","1","1183","/fonts/woffs/escrow/Escrow+Display+Condensed+Bold.woff2","100","","Amazon CloudFront","1600","1184","1323","1323","1600","277","1184","1600","416","5","6","1","0","h2","medium","","","",
"52.84.141.102","420","","","-1","-1","Font","3","-1","-1","font/woff2","","1","","-1","-1","https://www.wsj.com/fonts/woffs/retina/RetinaNarr-Light.woff2","-1","-1","200","-1","","47303","213","41","","max-age=1209600","","181105_DC_F","-1","134","-1","100","364662","46896","1185","-1","GET","46896","","","","0.28","-1","-1","www.wsj.com","100","-1","https://www.wsj.com/","1","1184","/fonts/woffs/retina/RetinaNarr-Light.woff2","50","","Amazon CloudFront","1605","1185","1319","1319","1605","286","1185","1605","420","6","7","1","0","h2","medium","","","",
"52.84.141.102","447","","","-1","-1","Font","3","-1","-1","font/woff2","","1","","-1","-1","https://www.wsj.com/fonts/woffs/retina/RetinaNarr-Medium.woff2","-1","-1","200","-1","","47646","213","42","","max-age=31536000","","181105_DC_F","-1","204","-1","100","17834732","47236","1185","-1","GET","47236","","","","0.29","-1","-1","www.wsj.com","100","-1","https://www.wsj.com/","1","1184","/fonts/woffs/retina/RetinaNarr-Medium.woff2","100","","Amazon CloudFront","1632","1185","1389","1389","1632","243","1185","1632","447","7","8","1","0","h2","medium","","","",
"52.84.141.102","426","","","-1","-1","Font","3","-1","-1","font/woff2","","1","","-1","-1","https://www.wsj.com/fonts/woffs/exchange/Exchange-Book.woff2","-1","-1","200","-1","","64367","213","41","","max-age=31536000","","181105_DC_F","-1","65","-1","100","17834727","63957","1185","-1","GET","63957","","","","0.27","-1","-1","www.wsj.com","100","-1","https://www.wsj.com/","1","1184","/fonts/woffs/exchange/Exchange-Book.woff2","100","","Amazon CloudFront","1611","1185","1250","1250","1611","361","1185","1611","426","8","9","1","0","h2","medium","","","",
"52.84.141.102","433","","","-1","-1","Font","3","-1","-1","font/woff2","","1","","-1","-1","https://www.wsj.com/fonts/woffs/exchange/Exchange-Medium.woff2","-1","-1","200","-1","","65775","213","42","","max-age=31536000","","181105_DC_F","-1","153","-1","100","17834727","65365","1185","-1","GET","65365","","","","0.30","-1","-1","www.wsj.com","100","-1","https://www.wsj.com/","1","1184","/fonts/woffs/exchange/Exchange-Medium.woff2","100","","Amazon CloudFront","1618","1185","1338","1338","1618","280","1185","1618","433","9","10","1","0","h2","medium","","","",
