"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","contentType","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","cacheControl","protocol","priority","is_base_page","contentEncoding","expires","jpeg_scan_count","score_progressive_jpeg",
"","770","","","-1","-1","Document","3","-1","-1","text/html; charset=iso-8859-1","","1","","-1","-1","https://spotify.com/","-1","-1","302","-1","","426","","0","","181105_EE_C","-1","770","-1","-1","","0","0","-1","GET","208","","","0.2","-1","-1","spotify.com","-1","-1","","-1","0","/","-1","","","770","0","770","770","770","0","0","770","770","0","1","1","0","","","","","","","","",
"","252","","","-1","-1","Document","3","-1","-1","text/html; charset=UTF-8","","1","","-1","-1","https://www.spotify.com/","-1","-1","302","-1","","1226","","0","","181105_EE_C","-1","252","-1","-1","","0","770","-1","GET","352","","","0.2.1","-1","-1","www.spotify.com","-1","-1","","-1","770","/","-1","","","1022","770","1022","1022","1022","0","770","1022","252","1","2","1","0","no-cache, private","","","","","","","",
"104.154.127.47","211","","","-1","-1","Document","3","-1","-1","text/html; charset=UTF-8","0","1","","100","-1","https://www.spotify.com/us/","-1","-1","200","-1","","16305","","410","","181105_EE_C","-1","205","-1","100","","41363","1023","-1","GET","14661","15221","","0.2.2","-1","-1","www.spotify.com","100","-1","","1","1023","/us/","-1","","Google","1234","1023","1228","1228","1234","6","1023","1234","211","2","3","1","0","max-age=0, must-revalidate, private","h2","high","1","gzip","","","",
"151.101.44.246","121","","","-1","-1","Script","3","1239","1541","application/javascript","0","1","","100","1367","https://www.scdn.co/webpack/jquery-2.1.3.min.4c905a04c50a5f109f94.js","74","1367","200","174","","33331","5","344","","181105_EE_C","1313","74","1316","100","31345709","93391","1541","51","GET","32843","32843","","0.3","-1","-1","www.scdn.co","100","-1","https://www.spotify.com/us/","2","1237","/webpack/jquery-2.1.3.min.4c905a04c50a5f109f94.js","100","","Fastly","1662","1541","1615","1615","1662","47","1239","1662","420","3","4","1","0","public, max-age=31536000","http/1.1","high","","gzip","Fri, 02 Nov 2018 19:56:28 GMT","","",
"52.84.141.164","166","","","-1","-1","Script","3","1243","1577","application/x-javascript","0","1","","100","1361","https://vt.myvisualiq.net/2/afTxMmlGwCNRJiC5Bd75ug%3D%3D/vt-150.js","67","1361","200","216","","4256","5","342","","181105_EE_C","1310","80","1311","100","0","14267","1577","50","GET","3761","3761","","0.10","-1","-1","vt.myvisualiq.net","100","-1","https://www.spotify.com/us/","3","1240","/2/afTxMmlGwCNRJiC5Bd75ug%3D%3D/vt-150.js","0","","Amazon CloudFront","1743","1577","1657","1657","1743","86","1243","1743","499","4","5","1","0","","http/1.1","high","","gzip","","","",
"151.101.44.246","110","","","-1","-1","Script","3","-1","-1","application/javascript","0","1","","100","-1","https://www.scdn.co/webpack/tracking.download.8c4916ade3c619e82293.js","-1","-1","200","-1","","1599","5","345","","181105_EE_C","-1","42","-1","100","31345709","2551","1635","-1","GET","1112","1112","","0.7","-1","-1","www.scdn.co","100","-1","https://www.spotify.com/us/","2","1240","/webpack/tracking.download.8c4916ade3c619e82293.js","100","","Fastly","1745","1635","1677","1677","1745","68","1635","1745","110","5","6","1","0","public, max-age=31536000","http/1.1","high","","gzip","Fri, 02 Nov 2018 19:56:28 GMT","","",
"151.101.44.246","92","","","-1","-1","Script","3","-1","-1","application/javascript","0","1","","100","-1","https://www.scdn.co/webpack/gabo-event-tracker.d0ba24a30d9c968c30d8.js","-1","-1","200","-1","","1694","5","346","","181105_EE_C","-1","54","-1","100","31345709","2935","1691","-1","GET","1208","1208","","0.8","-1","-1","www.scdn.co","100","-1","https://www.spotify.com/us/","2","1240","/webpack/gabo-event-tracker.d0ba24a30d9c968c30d8.js","100","","Fastly","1783","1691","1745","1745","1783","38","1691","1783","92","6","7","1","0","public, max-age=31536000","http/1.1","high","","gzip","Fri, 02 Nov 2018 19:56:29 GMT","","",
"151.101.44.246","85","","","-1","-1","Stylesheet","3","1545","1698","text/css","0","1","","100","1636","https://www.scdn.co/build/css/index-7d90977231.css","9","1636","200","62","","2510","5","341","","181105_EE_C","1554","51","1557","100","31159291","11009","1699","79","GET","2038","2038","","0.5","-1","-1","www.scdn.co","100","-1","https://www.spotify.com/us/","4","1239","/build/css/index-7d90977231.css","100","","Fastly","1784","1699","1750","1750","1784","34","1545","1784","235","7","8","1","0","public, max-age=31536000","http/1.1","high","","gzip","Wed, 31 Oct 2018 16:09:31 GMT","","",
"151.101.44.246","108","","","-1","-1","Stylesheet","3","1545","1700","text/css","0","1","","100","1636","https://www.scdn.co/build/css/spotify-b3d17c6516.css","11","1636","200","64","","60096","5","343","","181105_EE_C","1556","52","1557","100","29504663","389209","1701","79","GET","59620","59620","","0.4","-1","-1","www.scdn.co","100","-1","https://www.spotify.com/us/","6","1239","/build/css/spotify-b3d17c6516.css","100","","Fastly","1809","1701","1753","1753","1809","56","1545","1809","262","8","9","1","0","public, max-age=31536000","http/1.1","high","","gzip","Fri, 12 Oct 2018 12:32:23 GMT","","",
"151.101.44.246","71","","","-1","-1","Stylesheet","3","1551","1698","text/css","0","1","","100","1634","https://www.scdn.co/build/css/shelf-3e41041cdd.css","4","1634","200","64","","1237","5","341","","181105_EE_C","1555","36","1556","100","31159357","4277","1716","78","GET","766","766","","0.6","-1","-1","www.scdn.co","100","-1","https://www.spotify.com/us/","5","1239","/build/css/shelf-3e41041cdd.css","100","","Fastly","1787","1716","1752","1752","1787","35","1551","1787","217","9","10","1","0","public, max-age=31536000","http/1.1","high","","gzip","Wed, 31 Oct 2018 16:10:37 GMT","","",
