"ip_addr","load_ms","protocol","image_total","minify_save","score_cookies","score_compress","priority","requestType","type","dns_start","ssl_end","contentType","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","is_base_page","bytesIn","initiator_line","bytesOut","minify_total","contentEncoding","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","cacheControl","expires","jpeg_scan_count","score_progressive_jpeg",
"141.211.243.251","1248","http/1.1","","","-1","-1","high","Document","3","5","148","text/html; charset=utf-8","0","1","","100","64","https://umich.edu/","34","64","200","84","","1","10852","","316","","gzip","181105_G4_G","39","69","43","-1","","48648","148","21","GET","10483","10483","","0.2","-1","-1","umich.edu","100","-1","","1","0","/","-1","","","1396","148","217","217","1396","1179","5","1396","1387","0","1","1","0","","","","",
"141.211.243.251","143","http/1.1","","","-1","-1","high","Stylesheet","3","-1","-1","text/css","0","1","","100","-1","https://umich.edu/skins/um2013/styles/skin.css?1540911182","-1","-1","200","-1","","","17191","43","339","","gzip","181105_G4_G","-1","77","-1","0","0","81930","1409","-1","GET","16831","16831","","0.3","-1","-1","umich.edu","100","-1","https://umich.edu/","1","1408","/skins/um2013/styles/skin.css?1540911182","0","","","1552","1409","1486","1486","1552","66","1409","1552","143","1","2","1","0","public","Sun, 18 Nov 2018 19:54:29 EST","","",
"","1322","","","","-1","-1","","Image","3","-1","-1","","","1","","-1","-1","https://umich.edu/includes/image/type/gallery/id/77/name/DIL-6Aug13-Slideshow%28040%29.jpg/width/152/height/152/mode/minfit/","-1","-1","-1","-1","","","0","59","0","","","181105_G4_G","-1","1322","-1","-1","","0","1416","-1","GET","0","","","0.21","-1","-1","umich.edu","-1","-1","https://umich.edu/","-1","1416","/includes/image/type/gallery/id/77/name/DIL-6Aug13-Slideshow%28040%29.jpg/width/152/height/152/mode/minfit/","-1","","","2738","1416","2738","2738","2738","0","1416","2738","1322","2","3","1","0","","","","",
"","1320","","","","-1","-1","","Image","3","-1","-1","","","1","","-1","-1","https://umich.edu/includes/image/type/gallery/id/88/name/DIL-6Aug13-Slideshow%28069%29.jpg/width/152/height/152/mode/minfit/","-1","-1","-1","-1","","","0","59","0","","","181105_G4_G","-1","1320","-1","-1","","0","1417","-1","GET","0","","","0.29","-1","-1","umich.edu","-1","-1","https://umich.edu/","-1","1417","/includes/image/type/gallery/id/88/name/DIL-6Aug13-Slideshow%28069%29.jpg/width/152/height/152/mode/minfit/","-1","","","2737","1417","2737","2737","2737","0","1417","2737","1320","3","4","1","0","","","","",
"","1320","","","","-1","-1","","Image","3","-1","-1","","","1","","-1","-1","https://umich.edu/includes/image/type/gallery/id/56/name/DIL24Oct11-Slideshow_PS%28064%29.jpg/width/152/height/152/mode/minfit/","-1","-1","-1","-1","","","0","59","0","","","181105_G4_G","-1","1320","-1","-1","","0","1417","-1","GET","0","","","0.25","-1","-1","umich.edu","-1","-1","https://umich.edu/","-1","1417","/includes/image/type/gallery/id/56/name/DIL24Oct11-Slideshow_PS%28064%29.jpg/width/152/height/152/mode/minfit/","-1","","","2737","1417","2737","2737","2737","0","1417","2737","1320","4","5","1","0","","","","",
"","1322","","","","-1","-1","","Image","3","-1","-1","","","1","","-1","-1","https://umich.edu/includes/image/type/gallery/id/58/name/DIL24Oct11-Slideshow_PS%28066%29.jpg/width/152/height/152/mode/minfit/","-1","-1","-1","-1","","","0","59","0","","","181105_G4_G","-1","1322","-1","-1","","0","1418","-1","GET","0","","","0.31","-1","-1","umich.edu","-1","-1","https://umich.edu/","-1","1418","/includes/image/type/gallery/id/58/name/DIL24Oct11-Slideshow_PS%28066%29.jpg/width/152/height/152/mode/minfit/","-1","","","2740","1418","2740","2740","2740","0","1418","2740","1322","5","6","1","0","","","","",
"","1323","","","","-1","-1","","Image","3","-1","-1","","","1","","-1","-1","https://umich.edu/includes/image/type/gallery/id/89/name/DIL-6Aug13-Slideshow%28070%29.jpg/width/152/height/152/mode/minfit/","-1","-1","-1","-1","","","0","59","0","","","181105_G4_G","-1","1323","-1","-1","","0","1418","-1","GET","0","","","0.30","-1","-1","umich.edu","-1","-1","https://umich.edu/","-1","1418","/includes/image/type/gallery/id/89/name/DIL-6Aug13-Slideshow%28070%29.jpg/width/152/height/152/mode/minfit/","-1","","","2741","1418","2741","2741","2741","0","1418","2741","1323","6","7","1","0","","","","",
"","1316","","","","-1","-1","","Image","3","-1","-1","","","1","","-1","-1","https://umich.edu/includes/image/type/gallery/id/59/name/DIL24Oct11-Slideshow_PS%28069%29.jpg/width/152/height/152/mode/minfit/","-1","-1","-1","-1","","","0","59","0","","","181105_G4_G","-1","1316","-1","-1","","0","1420","-1","GET","0","","","0.33","-1","-1","umich.edu","-1","-1","https://umich.edu/","-1","1420","/includes/image/type/gallery/id/59/name/DIL24Oct11-Slideshow_PS%28069%29.jpg/width/152/height/152/mode/minfit/","-1","","","2736","1420","2736","2736","2736","0","1420","2736","1316","7","8","1","0","","","","",
"","1318","","","","-1","-1","","Image","3","-1","-1","","","1","","-1","-1","https://umich.edu/includes/image/type/gallery/id/17/name/DIL-17Apr12-Slideshow%28068%29.jpg/width/152/height/152/mode/minfit/","-1","-1","-1","-1","","","0","59","0","","","181105_G4_G","-1","1318","-1","-1","","0","1420","-1","GET","0","","","0.32","-1","-1","umich.edu","-1","-1","https://umich.edu/","-1","1420","/includes/image/type/gallery/id/17/name/DIL-17Apr12-Slideshow%28068%29.jpg/width/152/height/152/mode/minfit/","-1","","","2738","1420","2738","2738","2738","0","1420","2738","1318","8","9","1","0","","","","",
"","1317","","","","-1","-1","","Image","3","-1","-1","","","1","","-1","-1","https://umich.edu/includes/image/type/gallery/id/62/name/DIL24Oct11-Slideshow_PS%28072%29.jpg/width/152/height/152/mode/minfit/","-1","-1","-1","-1","","","0","59","0","","","181105_G4_G","-1","1317","-1","-1","","0","1421","-1","GET","0","","","0.37","-1","-1","umich.edu","-1","-1","https://umich.edu/","-1","1421","/includes/image/type/gallery/id/62/name/DIL24Oct11-Slideshow_PS%28072%29.jpg/width/152/height/152/mode/minfit/","-1","","","2738","1421","2738","2738","2738","0","1421","2738","1317","9","10","1","0","","","","",
