id,start_time,end_time,duration,src_ip,src_port,dst_ip,dst_port,total_bytes,total_message_bytes,avg_inter_arrival_time,median_inter_arrival_time,std_inter_arrival_time,num_packets,src_names,dst_names
0,1541379269.630683,1541379271.154906,1.5242230892181396,141.211.243.251,443,192.168.1.67,59522,196078,187342,0.009127084366575687,0.00034689903259277344,0.02461966227902281,168,{'141.211.243.251'},"{'localhost', '192.168.1.67'}"
1,1541379269.63082,1541379271.155136,1.5243160724639893,192.168.1.67,59522,141.211.243.251,443,13072,7636,0.014656885312153744,0.0005980730056762695,0.0264060516410121,105,"{'localhost', '192.168.1.67'}",{'141.211.243.251'}
2,1541379269.873585,1541379271.155149,1.2815639972686768,192.168.1.67,59523,141.211.243.251,443,5818,2358,0.019417636322252678,6.4373016357421875e-06,0.0877746162622642,67,"{'localhost', '192.168.1.67'}",{'141.211.243.251'}
3,1541379269.875908,1541379271.155127,1.279219150543213,192.168.1.67,59524,141.211.243.251,443,7739,4695,0.022055502595572637,0.0027909278869628906,0.05849105677445588,59,"{'localhost', '192.168.1.67'}",{'141.211.243.251'}
4,1541379269.876803,1541379271.155143,1.2783401012420654,192.168.1.67,59525,141.211.243.251,443,4775,2823,0.03454973246600177,0.0031578540802001953,0.133305043557479,38,"{'localhost', '192.168.1.67'}",{'141.211.243.251'}
5,1541379269.899231,1541379271.15491,1.2556791305541992,141.211.243.251,443,192.168.1.67,59523,146508,140520,0.011014729215387712,0.00022149085998535156,0.07138020949370624,115,{'141.211.243.251'},"{'localhost', '192.168.1.67'}"
6,1541379269.905288,1541379271.154854,1.2495660781860352,141.211.243.251,443,192.168.1.67,59524,85687,81415,0.015426741706000434,0.0003437995910644531,0.05602938094700465,82,{'141.211.243.251'},"{'localhost', '192.168.1.67'}"
7,1541379269.90529,1541379271.154905,1.24961519241333,141.211.243.251,443,192.168.1.67,59525,48908,46248,0.024992303848266603,0.0003726482391357422,0.12092994603046944,51,{'141.211.243.251'},"{'localhost', '192.168.1.67'}"
8,1541379270.034341,1541379273.207874,3.1735329627990723,192.168.1.67,59526,173.194.223.100,443,2666,1146,0.11334046295710973,0.0005210638046264648,0.48229626764837447,29,"{'localhost', '192.168.1.67'}","{'173.194.223.100', 'www-google-analytics.l.google.com'}"
9,1541379270.087626,1541379273.295752,3.2081260681152344,173.194.223.100,443,192.168.1.67,59526,23656,22192,0.11881948400426794,0.0021240711212158203,0.4820571220800583,28,"{'173.194.223.100', 'www-google-analytics.l.google.com'}","{'localhost', '192.168.1.67'}"
