"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","protocol","priority","contentType","is_base_page","contentEncoding","cacheControl","jpeg_scan_count","score_progressive_jpeg","expires",
"","333","","","-1","-1","Document","3","-1","-1","","1","","-1","-1","https://msnbc.com/","-1","-1","301","-1","","252","","0","","181105_H5_9","-1","333","-1","-1","","0","0","-1","GET","0","","","0.2","-1","-1","msnbc.com","-1","-1","","-1","0","/","-1","","","333","0","333","333","333","0","0","333","333","0","1","1","0","","","","","","","","","",
"23.201.81.93","432","","","-1","-1","Document","3","-1","-1","0","1","","100","-1","https://www.msnbc.com/","-1","-1","200","-1","","50622","","636","","181105_H5_9","-1","353","-1","100","","323995","333","-1","GET","50210","50210","","0.2.1","-1","-1","www.msnbc.com","100","-1","","1","333","/","-1","","Akamai","765","333","686","686","765","79","333","765","432","1","2","1","0","http/1.1","high","text/html; charset=utf-8","1","gzip","","","","",
"23.48.167.22","135","600","","-1","100","Image","3","773","924","","1","","-1","847","https://c.betrad.com/pub/icon1.png","40","847","200","77","0","860","1","363","","181105_H5_9","813","34","814","100","315360000","600","924","33","GET","600","","","0.46","-1","-1","c.betrad.com","100","-1","https://www.msnbc.com/","2","744","/pub/icon1.png","100","","Akamai","1059","924","958","958","1059","101","773","1059","285","2","3","1","0","http/1.1","low","image/png","","","max-age=315360000","","","",
"104.78.230.61","399","94542","","-1","83","Image","3","-1","-1","","1","","-1","-1","https://media4.s-nbcnews.com/j/newscms/2018_44/2624551/181030-trump-rally-mn-1445_9c6a526a9c65d4e2a7c3195f63df0f19.focal-758x379.jpg","-1","-1","200","-1","15734","94818","1","90","","181105_H5_9","-1","88","-1","100","31086936","94542","1014","-1","GET","94542","","","0.19","-1","-1","media4.s-nbcnews.com","100","-1","https://www.msnbc.com/","4","726","/j/newscms/2018_44/2624551/181030-trump-rally-mn-1445_9c6a526a9c65d4e2a7c3195f63df0f19.focal-758x379.jpg","100","","Akamai","1413","1014","1102","1102","1413","311","1014","1413","399","3","4","1","0","h2","low","image/jpeg","","","max-age=31086936","1","0","",
"104.78.230.61","397","71889","","-1","84","Image","3","788","1013","","1","","-1","908","https://media4.s-nbcnews.com/j/newscms/2018_43/2614866/181022-bento-header-2-3x2-ac-_bd9e42a12392b2b0d615fa43bea3023b.focal-758x379.jpg","88","908","200","105","11058","72110","1","278","","181105_H5_9","876","85","879","100","2126271","71889","1014","29","GET","71889","","","0.18","-1","-1","media4.s-nbcnews.com","100","-1","https://www.msnbc.com/","4","725","/j/newscms/2018_43/2614866/181022-bento-header-2-3x2-ac-_bd9e42a12392b2b0d615fa43bea3023b.focal-758x379.jpg","100","","Akamai","1411","1014","1099","1099","1411","312","788","1411","619","4","5","1","0","h2","low","image/jpeg","","","public, max-age=2126271","1","0","",
"104.78.230.61","145","9041","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://media2.s-nbcnews.com/j/newscms/2018_33/2532511/last_word_card_8913ddd1d5467fde290ceafb6549ae4f.focal-240x360.jpg","-1","-1","200","-1","0","9316","1","81","","181105_H5_9","-1","32","-1","100","26758925","9041","1015","-1","GET","9041","","","0.24","-1","-1","media2.s-nbcnews.com","100","-1","https://www.msnbc.com/","3","731","/j/newscms/2018_33/2532511/last_word_card_8913ddd1d5467fde290ceafb6549ae4f.focal-240x360.jpg","100","","Akamai","1160","1015","1047","1047","1160","113","1015","1160","145","5","6","1","0","h2","low","image/jpeg","","","max-age=26758925","1","50","",
"104.78.230.61","152","11249","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://media4.s-nbcnews.com/j/newscms/2018_33/2532516/morning_joe_8913ddd1d5467fde290ceafb6549ae4f.focal-240x360.jpg","-1","-1","200","-1","0","11525","1","79","","181105_H5_9","-1","50","-1","100","29446655","11249","1015","-1","GET","11249","","","0.20","-1","-1","media4.s-nbcnews.com","100","-1","https://www.msnbc.com/","4","727","/j/newscms/2018_33/2532516/morning_joe_8913ddd1d5467fde290ceafb6549ae4f.focal-240x360.jpg","100","","Akamai","1167","1015","1065","1065","1167","102","1015","1167","152","6","7","1","0","h2","low","image/jpeg","","","max-age=29446655","1","0","",
"104.78.230.61","188","7960","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://media4.s-nbcnews.com/j/newscms/2018_33/2532471/all_in_with_chris_hayes_8913ddd1d5467fde290ceafb6549ae4f.focal-240x360.jpg","-1","-1","200","-1","0","8235","1","87","","181105_H5_9","-1","57","-1","100","26941424","7960","1015","-1","GET","7960","","","0.22","-1","-1","media4.s-nbcnews.com","100","-1","https://www.msnbc.com/","4","729","/j/newscms/2018_33/2532471/all_in_with_chris_hayes_8913ddd1d5467fde290ceafb6549ae4f.focal-240x360.jpg","100","","Akamai","1203","1015","1072","1072","1203","131","1015","1203","188","7","8","1","0","h2","low","image/jpeg","","","max-age=26941424","1","50","",
"104.78.230.61","719","44297","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201811/n_sharp_common_181103_1920x1080.760;380;7;70;5.jpg","-1","-1","200","-1","0","44573","1","76","","181105_H5_9","-1","586","-1","100","31449758","44297","1021","-1","GET","44297","","","0.17","-1","-1","media1.s-nbcnews.com","100","-1","https://www.msnbc.com/","6","723","/j/MSNBC/Components/Video/201811/n_sharp_common_181103_1920x1080.760;380;7;70;5.jpg","100","","Akamai","1740","1021","1607","1607","1740","133","1021","1740","719","8","9","1","0","h2","low","image/jpeg","","","max-age=31449758","1","0","",
"104.78.230.61","315","69820","","-1","87","Image","3","772","1005","","1","","-1","889","https://media2.s-nbcnews.com/j/newscms/2018_44/2631941/181104-mid-term-elections-al-0827_19a86df28bbccd30c31a15b20702c32a.focal-760x380.jpg","96","889","200","116","9019","70096","1","280","","181105_H5_9","868","52","869","100","31500225","69820","1021","20","GET","69820","","","0.5","-1","-1","media2.s-nbcnews.com","100","-1","https://www.msnbc.com/","3","712","/j/newscms/2018_44/2631941/181104-mid-term-elections-al-0827_19a86df28bbccd30c31a15b20702c32a.focal-760x380.jpg","100","","Akamai","1336","1021","1073","1073","1336","263","772","1336","547","9","10","1","0","h2","low","image/jpeg","","","max-age=31500225","1","0","",
"104.78.230.61","713","36603","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201811/n_msnbc_unstableTXsen_181103_1920x1080.760;380;7;70;5.jpg","-1","-1","200","-1","0","36879","1","81","","181105_H5_9","-1","573","-1","100","31446916","36603","1022","-1","GET","36603","","","0.16","-1","-1","media1.s-nbcnews.com","100","-1","https://www.msnbc.com/","6","723","/j/MSNBC/Components/Video/201811/n_msnbc_unstableTXsen_181103_1920x1080.760;380;7;70;5.jpg","100","","Akamai","1735","1022","1595","1595","1735","140","1022","1735","713","10","11","1","0","h2","low","image/jpeg","","","max-age=31446916","1","0","",
