id,start_time,end_time,duration,src_ip,src_port,dst_ip,dst_port,total_bytes,total_message_bytes,avg_inter_arrival_time,median_inter_arrival_time,std_inter_arrival_time,num_packets,src_names,dst_names
0,1541378514.174813,1541378514.394242,0.21942901611328125,192.168.1.67,58960,23.201.81.93,443,2229,709,0.00783675057547433,1.5974044799804688e-05,0.015027764795144116,29,"{'localhost', '192.168.1.67'}","{'e8169.dscb.akamaiedge.net', 'msnbc.com.edgekey.net', '23.201.81.93', 'www.msnbc.com'}"
1,1541378514.198283,1541378514.385057,0.18677401542663574,23.201.81.93,443,192.168.1.67,58960,56763,54571,0.004555463790893555,6.413459777832031e-05,0.014128694573412481,42,"{'e8169.dscb.akamaiedge.net', 'msnbc.com.edgekey.net', '23.201.81.93', 'www.msnbc.com'}","{'localhost', '192.168.1.67'}"
2,1541378514.671049,1541378514.816067,0.1450178623199463,192.168.1.67,58961,23.48.167.22,443,1283,751,0.016113095813327365,0.024376869201660156,0.013969049944986047,10,"{'localhost', '192.168.1.67'}","{'23.48.167.22', 'wildcard.betrad.com.edgekey.net', 'e5413.g.akamaiedge.net', 'c.betrad.com'}"
3,1541378514.699225,1541378514.801877,0.10265207290649414,23.48.167.22,443,192.168.1.67,58961,5060,4688,0.017108678817749023,0.01376807689666748,0.017832092582745367,7,"{'23.48.167.22', 'wildcard.betrad.com.edgekey.net', 'e5413.g.akamaiedge.net', 'c.betrad.com'}","{'localhost', '192.168.1.67'}"
4,1541378514.714539,1541378515.059444,0.34490489959716797,192.168.1.67,58962,104.78.230.61,443,4185,1029,0.005845845755884203,0.0006830692291259766,0.010817580794477514,60,"{'localhost', '192.168.1.67'}","{'media3.s-nbcnews.com', '104.78.230.61', 'media4.s-nbcnews.com.edgekey.net', 'e2589.dscx.akamaiedge.net', 'media1.s-nbcnews.com.edgekey.net', 'media2.s-nbcnews.com.edgekey.net', 'media3.s-nbcnews.com.edgekey.net', 'media1.s-nbcnews.com', 'media2.s-nbcnews.com', 'media4.s-nbcnews.com'}"
5,1541378514.715498,1541378516.14774,1.4322419166564941,192.168.1.67,58963,104.78.230.61,443,31405,6097,0.002953076116817514,0.00026798248291015625,0.006695773969664008,486,"{'localhost', '192.168.1.67'}","{'media3.s-nbcnews.com', '104.78.230.61', 'media4.s-nbcnews.com.edgekey.net', 'e2589.dscx.akamaiedge.net', 'media1.s-nbcnews.com.edgekey.net', 'media2.s-nbcnews.com.edgekey.net', 'media3.s-nbcnews.com.edgekey.net', 'media1.s-nbcnews.com', 'media2.s-nbcnews.com', 'media4.s-nbcnews.com'}"
6,1541378514.716491,1541378515.064415,0.34792399406433105,192.168.1.67,58964,104.78.230.61,443,6804,1320,0.003345423019849337,4.088878631591797e-05,0.009000915367056534,105,"{'localhost', '192.168.1.67'}","{'media3.s-nbcnews.com', '104.78.230.61', 'media4.s-nbcnews.com.edgekey.net', 'e2589.dscx.akamaiedge.net', 'media1.s-nbcnews.com.edgekey.net', 'media2.s-nbcnews.com.edgekey.net', 'media3.s-nbcnews.com.edgekey.net', 'media1.s-nbcnews.com', 'media2.s-nbcnews.com', 'media4.s-nbcnews.com'}"
7,1541378514.719741,1541378515.160316,0.44057488441467285,192.168.1.67,58965,104.78.230.61,443,5188,1276,0.005953714654252336,0.00017547607421875,0.015878161562153173,75,"{'localhost', '192.168.1.67'}","{'media3.s-nbcnews.com', '104.78.230.61', 'media4.s-nbcnews.com.edgekey.net', 'e2589.dscx.akamaiedge.net', 'media1.s-nbcnews.com.edgekey.net', 'media2.s-nbcnews.com.edgekey.net', 'media3.s-nbcnews.com.edgekey.net', 'media1.s-nbcnews.com', 'media2.s-nbcnews.com', 'media4.s-nbcnews.com'}"
8,1541378514.732854,1541378515.206182,0.4733281135559082,192.168.1.67,58966,23.40.68.42,443,4755,791,0.006311041514078776,6.198883056640625e-06,0.017357343498204687,76,"{'localhost', '192.168.1.67'}","{'cn-assets.adobedtm.com.edgekey.net.globalredir.akadns.net', 'e7808.g.akamaiedge.net', 'assets.adobedtm.com', '23.40.68.42', 'cn-assets.adobedtm.com.edgekey.net'}"
9,1541378514.733267,1541378515.054969,0.3217020034790039,104.78.230.61,443,192.168.1.67,58962,89786,86138,0.004662347876507303,0.0003790855407714844,0.012354879710150169,70,"{'media3.s-nbcnews.com', '104.78.230.61', 'media4.s-nbcnews.com.edgekey.net', 'e2589.dscx.akamaiedge.net', 'media1.s-nbcnews.com.edgekey.net', 'media2.s-nbcnews.com.edgekey.net', 'media3.s-nbcnews.com.edgekey.net', 'media1.s-nbcnews.com', 'media2.s-nbcnews.com', 'media4.s-nbcnews.com'}","{'localhost', '192.168.1.67'}"
10,1541378514.73327,1541378516.15532,1.4220499992370605,104.78.230.61,443,192.168.1.67,58963,1809169,1745661,0.0011665709591772442,0.000247955322265625,0.0042970093404612495,1220,"{'media3.s-nbcnews.com', '104.78.230.61', 'media4.s-nbcnews.com.edgekey.net', 'e2589.dscx.akamaiedge.net', 'media1.s-nbcnews.com.edgekey.net', 'media2.s-nbcnews.com.edgekey.net', 'media3.s-nbcnews.com.edgekey.net', 'media1.s-nbcnews.com', 'media2.s-nbcnews.com', 'media4.s-nbcnews.com'}","{'localhost', '192.168.1.67'}"
11,1541378514.737961,1541378515.064044,0.3260829448699951,104.78.230.61,443,192.168.1.67,58964,204059,196459,0.0022488478956551386,0.00021004676818847656,0.008620574276285677,146,"{'media3.s-nbcnews.com', '104.78.230.61', 'media4.s-nbcnews.com.edgekey.net', 'e2589.dscx.akamaiedge.net', 'media1.s-nbcnews.com.edgekey.net', 'media2.s-nbcnews.com.edgekey.net', 'media3.s-nbcnews.com.edgekey.net', 'media1.s-nbcnews.com', 'media2.s-nbcnews.com', 'media4.s-nbcnews.com'}","{'localhost', '192.168.1.67'}"
12,1541378514.737964,1541378515.135946,0.397982120513916,104.78.230.61,443,192.168.1.67,58965,125960,121012,0.004233852345892724,0.00031757354736328125,0.01632584119744654,95,"{'media3.s-nbcnews.com', '104.78.230.61', 'media4.s-nbcnews.com.edgekey.net', 'e2589.dscx.akamaiedge.net', 'media1.s-nbcnews.com.edgekey.net', 'media2.s-nbcnews.com.edgekey.net', 'media3.s-nbcnews.com.edgekey.net', 'media1.s-nbcnews.com', 'media2.s-nbcnews.com', 'media4.s-nbcnews.com'}","{'localhost', '192.168.1.67'}"
13,1541378514.767884,1541378515.205877,0.43799304962158203,23.40.68.42,443,192.168.1.67,58966,174826,168526,0.0036499420801798504,0.00024950504302978516,0.014791097209558913,121,"{'cn-assets.adobedtm.com.edgekey.net.globalredir.akadns.net', 'e7808.g.akamaiedge.net', 'assets.adobedtm.com', '23.40.68.42', 'cn-assets.adobedtm.com.edgekey.net'}","{'localhost', '192.168.1.67'}"
