"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","contentType","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","protocol","priority","is_base_page","cacheControl","contentEncoding","expires","jpeg_scan_count","score_progressive_jpeg",
"","305","","","-1","-1","Document","3","-1","-1","text/html","","1","","-1","-1","https://amazon.com/","-1","-1","301","-1","","325","","0","","181105_KJ_5","-1","305","-1","-1","","0","0","-1","GET","179","","","0.2","-1","-1","amazon.com","-1","-1","","-1","0","/","-1","","","305","0","305","305","305","0","0","305","305","0","1","1","0","","","","","","","","",
"52.222.210.6","974","","","-1","-1","Document","3","-1","-1","text/html;charset=UTF-8","0","1","","100","-1","https://www.amazon.com/","-1","-1","200","-1","","106308","","496","","181105_KJ_5","-1","626","-1","100","","235232","305","-1","GET","105284","105284","","0.2.1","-1","-1","www.amazon.com","100","-1","","1","305","/","-1","","Amazon CloudFront","1279","305","931","931","1279","348","305","1279","974","1","2","1","0","h2","high","1","no-cache, no-transform","gzip","-1","","",
"52.222.215.216","167","","","-1","-1","Stylesheet","3","-1","-1","text/css; charset=utf-8","0","1","","100","-1","https://images-na.ssl-images-amazon.com/images/I/61KmClAgTWL._RC|01-yf03D4rL.css,01gq5Ie9j3L.css,31AR91yvQsL.css,11UdS-sXBQL.css,21N8F7GfAbL.css,11UksSmDw-L.css,11+zKfQDbkL.css,21quTPIGBxL.css,01jkimhv0aL.css,01YhS3Cs-hL.css,31fwrAKSDLL.css,01COiFb05sL.css,01W5CmOizbL.css,11pdOHTh95L.css,21s7MLn4blL.css,11X2-nh0PYL.css,01h2e2BEitL.css,114wDplwccL.css,11aMMTVEKqL.css,11oyQ9RIYtL.css,01vd5lqeZUL.css,31H2MxchDxL.css,01b7OI3r44L.css,11mmd1QliNL.css,01cbS3UK11L.css,21QPs3s-2uL.css,01INc4pyFRL.css,01OmXOCBEaL.css_.css?AUIClients/AmazonUI#mobile.us.not-trident","-1","-1","200","-1","","30295","370","395","","181105_KJ_5","-1","78","-1","100","630230631","189179","1487","-1","GET","29887","29887","","0.5","-1","-1","images-na.ssl-images-amazon.com","100","-1","https://www.amazon.com/","2","1265","/images/I/61KmClAgTWL._RC|01-yf03D4rL.css,01gq5Ie9j3L.css,31AR91yvQsL.css,11UdS-sXBQL.css,21N8F7GfAbL.css,11UksSmDw-L.css,11+zKfQDbkL.css,21quTPIGBxL.css,01jkimhv0aL.css,01YhS3Cs-hL.css,31fwrAKSDLL.css,01COiFb05sL.css,01W5CmOizbL.css,11pdOHTh95L.css,21s7MLn4blL.css,11X2-nh0PYL.css,01h2e2BEitL.css,114wDplwccL.css,11aMMTVEKqL.css,11oyQ9RIYtL.css,01vd5lqeZUL.css,31H2MxchDxL.css,01b7OI3r44L.css,11mmd1QliNL.css,01cbS3UK11L.css,21QPs3s-2uL.css,01INc4pyFRL.css,01OmXOCBEaL.css_.css?AUIClients/AmazonUI","100","","Amazon CloudFront","1654","1487","1565","1565","1654","89","1487","1654","167","2","3","1","0","h2","high","","max-age=630720000,public","gzip","Mon, 25 Oct 2038 08:40:59 GMT","","",
"52.222.215.216","195","11329","","-1","100","Image","3","-1","-1","image/png","","1","","-1","-1","https://images-na.ssl-images-amazon.com/images/G/01/gno/sprites/new-nav-sm-smile-sprite-global-1x_blueheaven._CB496507362_.png","-1","-1","200","-1","0","11844","381","127","","181105_KJ_5","-1","91","-1","100","620155532","11329","1488","-1","GET","11329","","","0.8","-1","-1","images-na.ssl-images-amazon.com","100","-1","https://www.amazon.com/","2","1267","/images/G/01/gno/sprites/new-nav-sm-smile-sprite-global-1x_blueheaven._CB496507362_.png","100","","Amazon CloudFront","1683","1488","1579","1579","1683","104","1488","1683","195","3","4","1","0","h2","low","","max-age=630720000,public","","Wed, 30 Jun 2038 18:02:40 GMT","","",
"52.222.215.216","199","","","-1","-1","Stylesheet","3","-1","-1","text/css; charset=utf-8","0","1","","100","-1","https://images-na.ssl-images-amazon.com/images/I/41Q9eLhOjlL.css?AUIClients/GWMWebAssets","-1","-1","200","-1","","4056","371","52","","181105_KJ_5","-1","91","-1","100","628022546","17475","1488","-1","GET","3645","3645","","0.6","-1","-1","images-na.ssl-images-amazon.com","100","-1","https://www.amazon.com/","2","1266","/images/I/41Q9eLhOjlL.css?AUIClients/GWMWebAssets","100","","Amazon CloudFront","1687","1488","1579","1579","1687","108","1488","1687","199","4","5","1","0","h2","high","","max-age=630720000,public","gzip","Wed, 29 Sep 2038 19:19:34 GMT","","",
"52.222.215.216","112","","","-1","-1","Stylesheet","3","-1","-1","text/css; charset=utf-8","0","1","","100","-1","https://images-na.ssl-images-amazon.com/images/I/21d6fQizXDL.css?AUIClients/RetailSearchAutocompleteAssets#mobile","-1","-1","200","-1","","1782","361","64","","181105_KJ_5","-1","46","-1","100","615757804","4398","1490","-1","GET","1373","1373","","0.4","-1","-1","images-na.ssl-images-amazon.com","100","-1","https://www.amazon.com/","2","1265","/images/I/21d6fQizXDL.css?AUIClients/RetailSearchAutocompleteAssets","100","","Amazon CloudFront","1602","1490","1536","1536","1602","66","1490","1602","112","5","6","1","0","h2","high","","max-age=630720000,public","gzip","Mon, 10 May 2038 20:27:12 GMT","","",
"52.222.215.216","93","","","-1","-1","Stylesheet","3","1265","1511","text/css; charset=utf-8","0","1","","100","1402","https://images-na.ssl-images-amazon.com/images/I/510NoXr6eFL._RC|31zsNEvQFKL.css,01+72+wCC9L.css_.css?AUIClients/AmazonNavigationMobileMetaAsset#mobile","103","1402","200","109","","12378","360","256","","181105_KJ_5","1368","46","1369","100","630203273","69986","1513","33","GET","11971","11971","","0.3","-1","-1","images-na.ssl-images-amazon.com","100","-1","https://www.amazon.com/","2","1264","/images/I/510NoXr6eFL._RC|31zsNEvQFKL.css,01+72+wCC9L.css_.css?AUIClients/AmazonNavigationMobileMetaAsset","100","","Amazon CloudFront","1606","1513","1559","1559","1606","47","1265","1606","338","6","7","1","0","h2","high","","max-age=630720000,public","gzip","Mon, 25 Oct 2038 01:05:01 GMT","","",
"34.233.251.147","129","43","","-1","100","Image","3","1286","1513","image/gif","","1","","-1","1411","https://fls-na.amazon.com/1/batch/1/OP/ATVPDKIKX0DER:138-7415118-1280614:1TYCVWX5VE17WMKRHX1S$uedata=s:%2Fuedata%2Fnvp%2Funsticky%2F138-7415118-1280614%2FNoPageType%2Fntpoffrw%3Fstaticb%26id%3D1TYCVWX5VE17WMKRHX1S%26pty%3DABgateway-phone-apps%26spty%3Dios-card%26pti%3Dab-mobile:1000","85","1411","200","102","0","173","381","447","","181105_KJ_5","1371","53","1373","0","0","43","1514","38","GET","43","","","0.7","-1","-1","fls-na.amazon.com","100","-1","https://www.amazon.com/","3","1267","/1/batch/1/OP/ATVPDKIKX0DER:138-7415118-1280614:1TYCVWX5VE17WMKRHX1S$uedata=s:%2Fuedata%2Fnvp%2Funsticky%2F138-7415118-1280614%2FNoPageType%2Fntpoffrw%3Fstaticb%26id%3D1TYCVWX5VE17WMKRHX1S%26pty%3DABgateway-phone-apps%26spty%3Dios-card%26pti%3Dab-mobile:1000","0","","","1643","1514","1567","1567","1643","76","1286","1643","354","7","8","1","0","h2","low","","","","","","",
"52.222.215.216","235","151029","","-1","100","Image","3","-1","-1","image/png","","1","","-1","-1","https://images-na.ssl-images-amazon.com/images/G/01/gateway/grid/test/all_beauty2x._CB518612027_.png","-1","-1","200","-1","0","151545","179","59","","181105_KJ_5","-1","42","-1","100","620617638","151029","1840","-1","GET","151029","","2","0.17","-1","-1","images-na.ssl-images-amazon.com","100","-1","https://www.amazon.com/","2","1839","/images/G/01/gateway/grid/test/all_beauty2x._CB518612027_.png","100","","Amazon CloudFront","2075","1840","1882","1882","2075","193","1840","2075","235","8","9","1","0","h2","low","","max-age=630720000,public","","Wed, 05 May 2038 06:22:08 GMT","","",
"52.222.215.216","302","128204","","-1","100","Image","3","-1","-1","image/png","","1","","-1","-1","https://images-na.ssl-images-amazon.com/images/G/01/gateway/grid/test/furniture2x._CB518612026_.png","-1","-1","200","-1","0","128720","179","58","","181105_KJ_5","-1","77","-1","100","620616736","128204","1840","-1","GET","128204","","2","0.18","-1","-1","images-na.ssl-images-amazon.com","100","-1","https://www.amazon.com/","2","1839","/images/G/01/gateway/grid/test/furniture2x._CB518612026_.png","100","","Amazon CloudFront","2142","1840","1917","1917","2142","225","1840","2142","302","9","10","1","0","h2","low","","max-age=630720000,public","","Tue, 06 Jul 2038 02:09:24 GMT","","",
