"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","contentType","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","cacheControl","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","expires","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","protocol","priority","is_base_page","contentEncoding",
"","344","","","-1","-1","Document","3","-1","-1","text/html; charset=UTF-8","","1","","-1","-1","https://google.com/","-1","-1","301","-1","","539","","0","","public, max-age=2592000","181105_KZ_1","-1","344","-1","-1","","0","0","-1","GET","220","","Wed, 05 Dec 2018 00:28:23 GMT","","0.2","-1","-1","google.com","-1","-1","","-1","0","/","-1","","","344","0","344","344","344","0","0","344","344","0","1","1","0","","","","",
"74.125.69.147","498","","","-1","-1","Document","3","-1","-1","text/html; charset=UTF-8","0","1","","100","-1","https://www.google.com/","-1","-1","200","-1","","43094","","354","","private","181105_KZ_1","-1","372","-1","100","","132591","344","-1","GET","42333","42553","Mon, 05 Nov 2018 00:28:23 GMT","","0.2.1","-1","-1","www.google.com","100","-1","","1","344","/","-1","","Google","842","344","716","716","842","126","344","842","498","1","2","1","0","h2","high","1","gzip",
"74.125.69.147","130","3454","","-1","100","Image","3","-1","-1","image/png","","1","","-1","-1","https://www.google.com/images/hpp/icon-privacy-shield-rgb-120dp.png","-1","-1","200","-1","0","3797","21","276","","private, max-age=31536000","181105_KZ_1","-1","37","-1","100","31536000","3454","767","-1","GET","3454","","Mon, 05 Nov 2018 00:28:23 GMT","","0.3","-1","-1","www.google.com","100","-1","https://www.google.com/","1","766","/images/hpp/icon-privacy-shield-rgb-120dp.png","100","","Google","897","767","804","804","897","93","767","897","130","2","3","1","0","h2","low","","",
"74.125.69.147","144","7048","","-1","100","Image","3","-1","-1","image/png","","1","","-1","-1","https://www.google.com/images/branding/googlelogo/2x/googlelogo_color_160x56dp.png","-1","-1","200","-1","0","7391","28","59","","private, max-age=31536000","181105_KZ_1","-1","43","-1","100","31536000","7048","776","-1","GET","7048","","Mon, 05 Nov 2018 00:28:23 GMT","","0.4","-1","-1","www.google.com","100","-1","https://www.google.com/","1","775","/images/branding/googlelogo/2x/googlelogo_color_160x56dp.png","100","","Google","920","776","819","819","920","101","776","920","144","3","4","1","0","h2","low","","",
"74.125.69.147","227","","","-1","-1","Script","3","-1","-1","text/javascript; charset=UTF-8","0","1","","100","-1","https://www.google.com/xjs/_/js/k=xjs.qs.en_US.Im5yyRsfcMc.O/m=sx,ByqdBd,CiVnBc,Fkg7bd,HcFEGb,OF7gzc,QfiAub,RMhBfe,T4BAC,Uox2uf,bct,cdos,czrJpf,hsm,if1iFc,jsa,kopZwe,lXXCK,qim,uz938c,vWNDde,ws9Tlc,xPR7tc,xpltpb,yQ43ff,d,csi/am=GACLZAdABAgYSqAAMNi_EDkwCiEC/rt=j/d=1/dg=2/rs=ACT90oFWg47PmueJPIsiVy3T_UQHOtPoPw","-1","-1","200","-1","","240195","28","248","","public, max-age=31536000","181105_KZ_1","-1","39","-1","100","31485005","817603","879","-1","GET","239777","239777","Mon, 04 Nov 2019 10:18:28 GMT","18650","0.8","-1","-1","www.google.com","100","-1","https://www.google.com/","1","877","/xjs/_/js/k=xjs.qs.en_US.Im5yyRsfcMc.O/m=sx,ByqdBd,CiVnBc,Fkg7bd,HcFEGb,OF7gzc,QfiAub,RMhBfe,T4BAC,Uox2uf,bct,cdos,czrJpf,hsm,if1iFc,jsa,kopZwe,lXXCK,qim,uz938c,vWNDde,ws9Tlc,xPR7tc,xpltpb,yQ43ff,d,csi/am=GACLZAdABAgYSqAAMNi_EDkwCiEC/rt=j/d=1/dg=2/rs=ACT90oFWg47PmueJPIsiVy3T_UQHOtPoPw","100","","Google","1106","879","918","918","1106","188","879","1106","227","4","5","1","0","h2","high","","gzip",
"74.125.69.147","145","16786","","-1","100","Image","3","-1","-1","image/png","","1","","-1","-1","https://www.google.com/images/nav_logo242.png","-1","-1","200","-1","0","17130","194","33","","private, max-age=31536000","181105_KZ_1","-1","98","-1","100","31536000","16786","888","-1","GET","16786","","Mon, 05 Nov 2018 00:28:23 GMT","1447","0.7","-1","-1","www.google.com","100","-1","https://www.google.com/","1","874","/images/nav_logo242.png","100","","Google","1033","888","986","986","1033","47","888","1033","145","5","6","1","0","h2","low","","",
"","100","","","-1","-1","Beacon","3","-1","-1","text/html; charset=UTF-8","","1","","-1","-1","https://www.google.com/gen_204?s=webhp&t=aft&atyp=csi&ei=p47fW_2bIcjZjwTe54DIDg&rt=wsrt.754,aft.181,prt.101","-1","-1","204","-1","","0","196","0","","","181105_KZ_1","-1","99","-1","-1","","0","931","-1","POST","0","","","94","0.9","-1","-1","www.google.com","-1","-1","https://www.google.com/","-1","931","/gen_204?s=webhp&t=aft&atyp=csi&ei=p47fW_2bIcjZjwTe54DIDg&rt=wsrt.754,aft.181,prt.101","-1","","","1031","931","1030","1030","1031","1","931","1031","100","6","7","1","0","","","","",
"64.233.168.94","395","3301","","-1","100","Image","3","813","1117","image/png","","1","","-1","947","https://ssl.gstatic.com/gb/images/qi2_00ed8ca1.png","81","947","200","170","0","3666","28","217","","public, max-age=31536000","181105_KZ_1","894","53","896","100","30659235","3301","1118","51","GET","3301","","Fri, 25 Oct 2019 20:55:39 GMT","","0.5","-1","-1","ssl.gstatic.com","100","-1","https://www.google.com/","2","796","/gb/images/qi2_00ed8ca1.png","100","","Google","1513","1118","1171","1171","1513","342","813","1513","697","7","8","1","0","h2","low","","",
"108.177.103.94","305","","","-1","-1","Script","3","844","1208","text/javascript; charset=UTF-8","0","1","","100","1014","https://www.gstatic.com/og/_/js/k=og.mob.en_US.P4dJAt-d728.O/rt=j/m=md/exm=mih,mab,meb/d=1/ed=1/rs=AA2YrTvIxIUy1rBwfjg_ZAz4XJlziWaoIw","88","1014","200","194","","21847","179","239","","public, max-age=31536000","181105_KZ_1","932","161","939","100","31248974","62576","1209","75","GET","21421","21421","Fri, 01 Nov 2019 16:44:38 GMT","235","0.6","-1","-1","www.gstatic.com","100","-1","https://www.google.com/","3","840","/og/_/js/k=og.mob.en_US.P4dJAt-d728.O/rt=j/m=md/exm=mih,mab,meb/d=1/ed=1/rs=AA2YrTvIxIUy1rBwfjg_ZAz4XJlziWaoIw","100","","Google","1514","1209","1370","1370","1514","144","844","1514","662","8","9","1","0","h2","high","","gzip",
"108.177.103.94","267","","","-1","-1","Stylesheet","3","-1","-1","text/css; charset=UTF-8","0","1","","100","-1","https://www.gstatic.com/og/_/ss/k=og.mob.-ghx6pwdha2nj.L.W.O/m=md/excm=mih,mab,meb/d=1/ed=1/rs=AA2YrTvwTohm2dSsH8oYG37WgzC7RJ1YNw","-1","-1","200","-1","","2852","180","111","","public, max-age=31536000","181105_KZ_1","-1","48","-1","100","31248976","13157","1558","-1","GET","2434","2434","Fri, 01 Nov 2019 16:44:40 GMT","341","0.10","-1","-1","www.gstatic.com","100","-1","https://www.google.com/","3","1557","/og/_/ss/k=og.mob.-ghx6pwdha2nj.L.W.O/m=md/excm=mih,mab,meb/d=1/ed=1/rs=AA2YrTvwTohm2dSsH8oYG37WgzC7RJ1YNw","100","","Google","1825","1558","1606","1606","1825","219","1558","1825","267","9","10","1","0","h2","high","","gzip",
