timestamp,inter_arrival_time,seq,ack,flag_CWR,flag_ECE,flag_URG,flag_ACK,flag_PSH,flag_RST,flag_SYN,flag_FIN,window_size,urgent_pointer,tcp_header_size,tcp_payload_size,ip_header_size,ip_id,ip_tos,ip_df,ip_mf,ip_offset
1541377704.030501,nan,2884407754,569954414,0,0,0,1,0,0,1,0,60192,0,40,0,5,15992,32,0,0,0
1541377704.097043,0.06654214859008789,2884407755,569954650,0,0,0,1,0,0,0,0,240,0,32,0,5,16028,32,0,0,0
1541377704.097374,0.00033092498779296875,2884407755,569954650,0,0,0,1,0,0,0,0,240,0,32,1418,5,16029,32,0,0,0
1541377704.097568,0.00019407272338867188,2884409173,569954650,0,0,0,1,0,0,0,0,240,0,32,1418,5,16030,32,0,0,0
1541377704.100422,0.002853870391845703,2884410591,569954650,0,0,0,1,1,0,0,0,240,0,32,779,5,16031,32,0,0,0
1541377704.212605,0.1121830940246582,2884411370,569954743,0,0,0,1,1,0,0,0,240,0,32,51,5,16105,32,0,0,0
1541377704.212608,3.0994415283203125e-06,2884411421,569954743,0,0,0,1,1,0,0,0,240,0,32,69,5,16106,32,0,0,0
1541377704.350323,0.13771486282348633,2884411490,569954796,0,0,0,1,0,0,0,0,240,0,32,0,5,16123,32,0,0,0
1541377704.353618,0.0032949447631835938,2884411490,569954846,0,0,0,1,0,0,0,0,240,0,32,0,5,16126,32,0,0,0
1541377704.354214,0.0005960464477539062,2884411490,569954888,0,0,0,1,0,0,0,0,240,0,32,0,5,16127,32,0,0,0
1541377704.354216,2.1457672119140625e-06,2884411490,569955165,0,0,0,1,0,0,0,0,244,0,32,0,5,16128,32,0,0,0
1541377704.354218,1.9073486328125e-06,2884411490,569955203,0,0,0,1,0,0,0,0,244,0,32,0,5,16129,32,0,0,0
1541377704.354219,9.5367431640625e-07,2884411490,569955203,0,0,0,1,1,0,0,0,244,0,32,307,5,16130,32,0,0,0
1541377704.354284,6.508827209472656e-05,2884411797,569955203,0,0,0,1,1,0,0,0,244,0,32,1418,5,16131,32,0,0,0
1541377704.356925,0.002640962600708008,2884413215,569955203,0,0,0,1,1,0,0,0,244,0,32,1418,5,16132,32,0,0,0
1541377704.360102,0.0031769275665283203,2884414633,569955203,0,0,0,1,0,0,0,0,244,0,32,1418,5,16133,32,0,0,0
1541377704.360356,0.0002541542053222656,2884416051,569955203,0,0,0,1,1,0,0,0,244,0,32,1418,5,16134,32,0,0,0
1541377704.363272,0.0029158592224121094,2884417469,569955203,0,0,0,1,0,0,0,0,244,0,32,1418,5,16135,32,0,0,0
1541377704.363456,0.00018405914306640625,2884418887,569955203,0,0,0,1,0,0,0,0,244,0,32,1418,5,16136,32,0,0,0
1541377704.367485,0.004029035568237305,2884420305,569955203,0,0,0,1,0,0,0,0,244,0,32,1418,5,16137,32,0,0,0
1541377704.36767,0.0001850128173828125,2884421723,569955203,0,0,0,1,0,0,0,0,244,0,32,1418,5,16138,32,0,0,0
1541377704.370942,0.0032720565795898438,2884423141,569955203,0,0,0,1,0,0,0,0,244,0,32,1418,5,16140,32,0,0,0
1541377704.371134,0.0001919269561767578,2884424559,569955203,0,0,0,1,0,0,0,0,244,0,32,1418,5,16141,32,0,0,0
1541377704.374982,0.0038480758666992188,2884425977,569955203,0,0,0,1,0,0,0,0,244,0,32,1418,5,16145,32,0,0,0
1541377704.375295,0.00031280517578125,2884427395,569955203,0,0,0,1,0,0,0,0,244,0,32,1418,5,16146,32,0,0,0
1541377704.384659,0.009364128112792969,2884428813,569955203,0,0,0,1,0,0,0,0,244,0,32,1418,5,16149,32,0,0,0
1541377704.384662,2.86102294921875e-06,2884430231,569955203,0,0,0,1,0,0,0,0,244,0,32,1418,5,16150,32,0,0,0
1541377704.432663,0.04800105094909668,2884431649,569955203,0,0,0,1,0,0,0,0,244,0,32,1418,5,16186,32,0,0,0
1541377704.432666,3.0994415283203125e-06,2884433067,569955203,0,0,0,1,1,0,0,0,244,0,32,679,5,16187,32,0,0,0
1541377704.522437,0.08977103233337402,2884433746,569955249,0,0,0,1,0,0,0,0,244,0,32,0,5,16226,32,0,0,0
1541377704.624958,0.10252094268798828,2884433746,569955398,0,0,0,1,0,0,0,0,248,0,32,0,5,16235,32,0,0,0
1541377704.624961,2.86102294921875e-06,2884433746,569955398,0,0,0,1,1,0,0,0,248,0,32,131,5,16236,32,0,0,0
1541377704.625262,0.00030112266540527344,2884433877,569955398,0,0,0,1,1,0,0,0,248,0,32,1418,5,16237,32,0,0,0
1541377704.628191,0.0029289722442626953,2884435295,569955398,0,0,0,1,1,0,0,0,248,0,32,1083,5,16238,32,0,0,0
1541377704.628194,3.0994415283203125e-06,2884436378,569955398,0,0,0,1,1,0,0,0,248,0,32,46,5,16239,32,0,0,0
1541377704.713159,0.08496499061584473,2884436424,569955444,0,0,0,1,0,0,0,0,248,0,32,0,5,16274,32,0,0,0
1541377704.831107,0.11794781684875488,2884436424,569955879,0,0,0,1,0,0,0,0,248,0,32,0,5,16342,32,0,0,0
1541377704.831532,0.00042510032653808594,2884436424,569955879,0,0,0,1,1,0,0,0,248,0,32,160,5,16343,32,0,0,0
1541377704.831534,1.9073486328125e-06,2884436584,569955879,0,0,0,1,1,0,0,0,248,0,32,340,5,16344,32,0,0,0
1541377704.834377,0.002843141555786133,2884436924,569955879,0,0,0,1,1,0,0,0,248,0,32,46,5,16345,32,0,0,0
1541377704.834551,0.00017404556274414062,2884436970,569955879,0,0,0,1,1,0,0,0,248,0,32,555,5,16346,32,0,0,0
1541377704.834552,9.5367431640625e-07,2884437525,569955879,0,0,0,1,1,0,0,0,248,0,32,585,5,16347,32,0,0,0
1541377704.834554,1.9073486328125e-06,2884438110,569955879,0,0,0,1,1,0,0,0,248,0,32,957,5,16348,32,0,0,0
1541377704.836523,0.0019690990447998047,2884439067,569955957,0,0,0,1,1,0,0,0,248,0,32,107,5,16350,32,0,0,0
1541377704.836525,1.9073486328125e-06,2884439174,569955957,0,0,0,1,1,0,0,0,248,0,32,249,5,16351,32,0,0,0
1541377704.952892,0.11636710166931152,2884439423,569956003,0,0,0,1,0,0,0,0,248,0,32,0,5,16401,32,0,0,0
