id,start_time,end_time,duration,src_ip,src_port,dst_ip,dst_port,total_bytes,total_message_bytes,avg_inter_arrival_time,median_inter_arrival_time,std_inter_arrival_time,num_packets,src_names,dst_names
0,1541377703.326683,1541377703.376029,0.049345970153808594,108.177.104.102,443,192.168.1.67,58347,1052,636,0.007049424307686942,3.0994415283203125e-06,0.014872685845485265,8,{'108.177.104.102'},"{'localhost', '192.168.1.67'}"
1,1541377703.32705,1541377703.3318,0.00475001335144043,192.168.1.67,58347,108.177.104.102,443,358,46,0.0009500026702880859,1.1920928955078125e-05,0.001662139364710596,6,"{'localhost', '192.168.1.67'}",{'108.177.104.102'}
2,1541377703.369462,1541377705.156089,1.7866270542144775,192.168.1.67,58348,74.125.69.147,443,14167,3183,0.008507747877211798,9.799003601074219e-05,0.05097724612995365,211,"{'localhost', '192.168.1.67'}","{'74.125.69.147', 'www.google.com'}"
3,1541377703.40279,1541377705.199189,1.7963988780975342,74.125.69.147,443,192.168.1.67,58348,368288,353668,0.006415710278919765,0.0002714395523071289,0.04549805774261843,281,"{'74.125.69.147', 'www.google.com'}","{'localhost', '192.168.1.67'}"
4,1541377703.925794,1541377704.201827,0.2760331630706787,192.168.1.67,58349,64.233.168.94,443,1865,813,0.014528061214246248,0.00020599365234375,0.02317837224758697,20,"{'localhost', '192.168.1.67'}","{'ssl.gstatic.com', '64.233.168.94'}"
5,1541377703.963716,1541377704.871052,0.9073359966278076,192.168.1.67,58350,108.177.103.94,443,4149,1589,0.018902833263079327,0.000286102294921875,0.03589090954112555,49,"{'localhost', '192.168.1.67'}","{'www.gstatic.com', '108.177.103.94'}"
6,1541377703.97642,1541377704.291593,0.3151731491088867,64.233.168.94,443,192.168.1.67,58349,8135,7451,0.026264429092407227,0.0014098882675170898,0.038892366796505436,13,"{'ssl.gstatic.com', '64.233.168.94'}","{'localhost', '192.168.1.67'}"
7,1541377704.030501,1541377704.952892,0.9223911762237549,108.177.103.94,443,192.168.1.67,58350,34068,31668,0.02049758169386122,0.00042510032653808594,0.04022510050291543,46,"{'www.gstatic.com', '108.177.103.94'}","{'localhost', '192.168.1.67'}"
8,1541377705.034852,1541377705.267713,0.23286104202270508,192.168.1.67,58351,64.233.180.157,443,1989,977,0.012936724556816949,0.0008180141448974609,0.021461579905822238,19,"{'localhost', '192.168.1.67'}","{'64.233.180.157', 'pagead46.l.doubleclick.net', 'adservice.google.com'}"
9,1541377705.087399,1541377705.355214,0.26781511306762695,64.233.180.157,443,192.168.1.67,58351,4891,4207,0.022317926088968914,0.0020145177841186523,0.030595707663781953,13,"{'64.233.180.157', 'pagead46.l.doubleclick.net', 'adservice.google.com'}","{'localhost', '192.168.1.67'}"
