"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","contentType","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","cacheControl","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","protocol","priority","is_base_page","contentEncoding","expires","jpeg_scan_count","score_progressive_jpeg",
"","344","","","-1","-1","Document","3","-1","-1","text/html","","1","","-1","-1","https://yahoo.com/","-1","-1","301","-1","","548","","0","","no-store, no-cache","181105_P9_M","-1","344","-1","-1","","0","0","-1","GET","8","","","0.2","-1","-1","yahoo.com","-1","-1","","-1","0","/","-1","","","344","0","344","344","344","0","0","344","344","0","1","1","0","","","","","","","",
"98.138.219.232","599","","","-1","-1","Document","3","-1","-1","text/html; charset=UTF-8","0","1","","100","-1","https://www.yahoo.com/","-1","-1","200","-1","","61276","","373","","no-store, no-cache, max-age=0, private","181105_P9_M","-1","194","-1","-1","","263035","344","-1","GET","59438","59438","","0.2.1","-1","-1","www.yahoo.com","100","-1","","1","344","/","-1","","","943","344","538","538","943","405","344","943","599","1","2","1","0","h2","high","1","gzip","-1","","",
"69.147.82.61","187","","","-1","-1","Script","3","-1","-1","application/javascript","0","1","","100","-1","https://s.yimg.com/oa/guce-1.0.6.js","-1","-1","200","-1","","9567","7","163","","max-age=300","181105_P9_M","-1","73","-1","100","54","23180","1033","-1","GET","8181","8181","","0.3","-1","-1","s.yimg.com","100","-1","https://www.yahoo.com/","2","811","/oa/guce-1.0.6.js","0","","Yahoo","1220","1033","1106","1106","1220","114","1033","1220","187","2","3","1","0","h2","high","","gzip","","","",
"69.147.82.61","283","","","-1","-1","Stylesheet","3","-1","-1","text/css","0","1","","100","-1","https://s.yimg.com/aaq/fp/css/tdv2-applet-header-wafer/atomic.ltr.8e05317f.css","-1","-1","200","-1","","3342","57","57","","public,max-age=315360000","181105_P9_M","-1","129","-1","100","314477909","7412","1041","-1","GET","1904","1904","","0.11","-1","-1","s.yimg.com","100","-1","https://www.yahoo.com/","2","837","/aaq/fp/css/tdv2-applet-header-wafer/atomic.ltr.8e05317f.css","100","","Yahoo","1324","1041","1170","1170","1324","154","1041","1324","283","3","4","1","0","h2","high","","gzip","","","",
"69.147.82.61","285","","","-1","-1","Stylesheet","3","-1","-1","text/css","0","1","","100","-1","https://s.yimg.com/aaq/fp/css/tdv2-applet-cards/common.smartphone.a6f5c935.css","-1","-1","200","-1","","6723","57","57","","public,max-age=315360000","181105_P9_M","-1","130","-1","100","315196635","15885","1041","-1","GET","5285","5285","","0.12","-1","-1","s.yimg.com","100","-1","https://www.yahoo.com/","2","837","/aaq/fp/css/tdv2-applet-cards/common.smartphone.a6f5c935.css","100","","Yahoo","1326","1041","1171","1171","1326","155","1041","1326","285","4","5","1","0","h2","high","","gzip","","","",
"69.147.82.61","312","","","-1","-1","Script","3","-1","-1","application/javascript","0","1","","100","-1","https://s.yimg.com/aaq/wf/wf-beacon-1.0.8.js","-1","-1","200","-1","","4117","58","34","","public,max-age=315360000","181105_P9_M","-1","163","-1","100","315339836","8426","1042","-1","GET","2666","2666","","0.15","-1","-1","s.yimg.com","100","-1","https://www.yahoo.com/","2","838","/aaq/wf/wf-beacon-1.0.8.js","100","","Yahoo","1354","1042","1205","1205","1354","149","1042","1354","312","5","6","1","0","h2","high","","gzip","","","",
"69.147.82.61","341","","","-1","-1","Stylesheet","3","-1","-1","text/css","0","1","","100","-1","https://s.yimg.com/aaq/caas/907e7c2.caas-scooby.min.css","-1","-1","200","-1","","5540","57","41","","public,max-age=315360000","181105_P9_M","-1","161","-1","100","315303047","20622","1042","-1","GET","4103","4103","","0.14","-1","-1","s.yimg.com","100","-1","https://www.yahoo.com/","2","838","/aaq/caas/907e7c2.caas-scooby.min.css","100","","Yahoo","1383","1042","1203","1203","1383","180","1042","1383","341","6","7","1","0","h2","high","","gzip","","","",
"69.147.82.61","311","","","-1","-1","Stylesheet","3","-1","-1","text/css","0","1","","100","-1","https://s.yimg.com/aaq/fp/css/tdv2-applet-cards/custom.smartphone.f060ffa7.css","-1","-1","200","-1","","5211","57","57","","public,max-age=315360000","181105_P9_M","-1","131","-1","100","315195430","10643","1042","-1","GET","3773","3773","","0.13","-1","-1","s.yimg.com","100","-1","https://www.yahoo.com/","2","838","/aaq/fp/css/tdv2-applet-cards/custom.smartphone.f060ffa7.css","100","","Yahoo","1353","1042","1173","1173","1353","180","1042","1353","311","7","8","1","0","h2","high","","gzip","","","",
"69.147.82.61","313","","","-1","-1","Script","3","-1","-1","application/javascript","0","1","","100","-1","https://s.yimg.com/aaq/wf/wf-darla-1.0.8.js","-1","-1","200","-1","","3378","59","34","","public,max-age=315360000","181105_P9_M","-1","163","-1","100","315303047","4286","1043","-1","GET","1927","1927","","0.16","-1","-1","s.yimg.com","100","-1","https://www.yahoo.com/","2","839","/aaq/wf/wf-darla-1.0.8.js","100","","Yahoo","1356","1043","1206","1206","1356","150","1043","1356","313","8","9","1","0","h2","high","","gzip","","","",
"69.147.82.61","312","","","-1","-1","Script","3","-1","-1","application/javascript","0","1","","100","-1","https://s.yimg.com/aaq/wf/wf-drawer-1.0.4.js","-1","-1","200","-1","","3927","60","35","","public,max-age=315360000","181105_P9_M","-1","163","-1","100","315303047","7841","1044","-1","GET","2476","2476","","0.17","-1","-1","s.yimg.com","100","-1","https://www.yahoo.com/","2","839","/aaq/wf/wf-drawer-1.0.4.js","100","","Yahoo","1356","1044","1207","1207","1356","149","1044","1356","312","9","10","1","0","h2","high","","gzip","","","",
