"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","protocol","priority","contentType","is_base_page","contentEncoding","cacheControl","expires","jpeg_scan_count","score_progressive_jpeg",
"","521","","","-1","-1","Document","3","-1","-1","","1","","-1","-1","https://ebay.com/","-1","-1","301","-1","","0","","0","","181105_Q0_W","-1","521","-1","-1","","0","0","-1","GET","0","","","0.2","-1","-1","ebay.com","-1","-1","","-1","0","/","-1","","","521","0","521","521","521","0","0","521","521","0","1","1","0","","","","","","","","","",
"96.16.205.179","701","","","-1","-1","Document","3","-1","-1","0","1","","100","-1","https://www.ebay.com/","-1","-1","200","-1","","21181","","492","","181105_Q0_W","-1","120","-1","100","","132336","521","-1","GET","20001","20001","","0.2.1","-1","-1","www.ebay.com","100","-1","","1","521","/","-1","","Akamai","1222","521","641","641","1222","581","521","1222","701","1","2","1","0","h2","high","text/html;charset=utf-8","1","gzip","","","","",
"96.16.205.179","34","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://www.ebay.com/scl/js/ScandalLoader.js","-1","-1","200","-1","","1110","24","523","","181105_Q0_W","-1","24","-1","100","3600","1956","969","-1","GET","823","823","","0.4","-1","-1","www.ebay.com","100","-1","https://www.ebay.com/","1","967","/scl/js/ScandalLoader.js","50","","Akamai","1003","969","993","993","1003","10","969","1003","34","2","3","1","0","h2","high","application/javascript","","gzip","private, max-age=3600, stale-while-revalidate=3600","","","",
"23.54.150.161","283","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://ir.ebaystatic.com/rs/c/dfp/v4.2.js","-1","-1","200","-1","","2945","31","28","","181105_Q0_W","-1","205","-1","100","31536000","6567","1312","-1","GET","2353","2353","","0.28","-1","-1","ir.ebaystatic.com","100","-1","https://www.ebay.com/","2","1225","/rs/c/dfp/v4.2.js","100","","Akamai","1595","1312","1517","1517","1595","78","1312","1595","283","3","4","1","0","h2","high","application/x-javascript;charset=UTF-8","","gzip","public, max-age=31536000, immutable","Tue, 05 Nov 2019 01:08:13 GMT","","",
"23.54.150.161","356","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://ir.ebaystatic.com/rs/c/makeebayfasterscript-src-scripts-body-78a2168a.js","-1","-1","200","-1","","2602","31","54","","181105_Q0_W","-1","242","-1","100","31536000","3830","1312","-1","GET","1917","1917","","0.30","-1","-1","ir.ebaystatic.com","100","-1","https://www.ebay.com/","2","1226","/rs/c/makeebayfasterscript-src-scripts-body-78a2168a.js","100","","Akamai","1668","1312","1554","1554","1668","114","1312","1668","356","4","5","1","0","h2","high","application/x-javascript","","gzip","public, max-age=31536000, immutable","Tue, 05 Nov 2019 01:08:13 GMT","","",
"23.54.150.161","283","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://ir.ebaystatic.com/rs/v/tzvi4ndqny1mbel4yp2eoijgr2n.js","-1","-1","200","-1","","7724","31","42","","181105_Q0_W","-1","208","-1","100","31536000","18663","1313","-1","GET","7101","7101","","0.29","-1","-1","ir.ebaystatic.com","100","-1","https://www.ebay.com/","2","1226","/rs/v/tzvi4ndqny1mbel4yp2eoijgr2n.js","100","","Akamai","1596","1313","1521","1521","1596","75","1313","1596","283","5","6","1","0","h2","high","application/x-javascript;charset=UTF-8","","gzip","public, max-age=31536000, immutable","Tue, 05 Nov 2019 01:08:13 GMT","","",
"23.54.150.161","89","","","-1","-1","Stylesheet","3","-1","-1","0","1","","100","-1","https://ir.ebaystatic.com/rs/v/e13btet2fe2cbc3neveficur2uc.css?proc=DU:N","-1","-1","200","-1","","10370","24","199","","181105_Q0_W","-1","61","-1","100","31536000","22338","1320","-1","GET","9795","9795","","0.3","-1","-1","ir.ebaystatic.com","100","-1","https://www.ebay.com/","2","966","/rs/v/e13btet2fe2cbc3neveficur2uc.css?proc=DU:N","100","","Akamai","1409","1320","1381","1381","1409","28","1320","1409","89","6","7","1","0","h2","high","text/css;charset=UTF-8","","gzip","public, max-age=31536000, immutable","Tue, 05 Nov 2019 01:08:13 GMT","","",
"23.54.150.161","273","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://ir.ebaystatic.com/rs/v/it02syay0qyozhdaszhv1jl4yyd.js","-1","-1","200","-1","","8384","31","42","","181105_Q0_W","-1","197","-1","100","31536000","21723","1321","-1","GET","7695","7695","","0.27","-1","-1","ir.ebaystatic.com","100","-1","https://www.ebay.com/","2","1225","/rs/v/it02syay0qyozhdaszhv1jl4yyd.js","100","","Akamai","1594","1321","1518","1518","1594","76","1321","1594","273","7","8","1","0","h2","high","application/x-javascript;charset=UTF-8","","gzip","public, max-age=31536000, immutable","Tue, 05 Nov 2019 01:08:13 GMT","","",
"23.54.150.161","165","","","-1","-1","Stylesheet","3","-1","-1","0","1","","100","-1","https://ir.ebaystatic.com/rs/c/br/inception-PMg1-OXo.css","-1","-1","200","-1","","29063","28","38","","181105_Q0_W","-1","67","-1","100","31536000","120738","1321","-1","GET","28523","28523","","0.5","-1","-1","ir.ebaystatic.com","100","-1","https://www.ebay.com/","2","967","/rs/c/br/inception-PMg1-OXo.css","100","","Akamai","1486","1321","1388","1388","1486","98","1321","1486","165","8","9","1","0","h2","high","text/css","","br","public, max-age=31536000, immutable","Tue, 05 Nov 2019 01:08:13 GMT","","",
"23.54.150.161","154","","","-1","-1","Stylesheet","3","-1","-1","0","1","","100","-1","https://ir.ebaystatic.com/rs/c/br/highlnfe-0b-2TH4P.css","-1","-1","200","-1","","20501","29","37","","181105_Q0_W","-1","132","-1","100","31536000","57920","1321","-1","GET","19958","19958","","0.6","-1","-1","ir.ebaystatic.com","100","-1","https://www.ebay.com/","2","968","/rs/c/br/highlnfe-0b-2TH4P.css","100","","Akamai","1475","1321","1453","1453","1475","22","1321","1475","154","9","10","1","0","h2","high","text/css","","br","public, max-age=31536000, immutable","Tue, 05 Nov 2019 01:08:13 GMT","","",
"23.54.150.161","346","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://ir.ebaystatic.com/rs/c/br/highlnfe-HW9NzFhK.js","-1","-1","200","-1","","67280","31","37","","181105_Q0_W","-1","198","-1","100","31536000","278364","1322","-1","GET","66727","66727","","0.24","-1","-1","ir.ebaystatic.com","100","-1","https://www.ebay.com/","2","1224","/rs/c/br/highlnfe-HW9NzFhK.js","100","","Akamai","1668","1322","1520","1520","1668","148","1322","1668","346","10","11","1","0","h2","high","application/x-javascript","","br","public, max-age=31536000, immutable","Tue, 05 Nov 2019 01:08:13 GMT","","",
"23.54.150.161","272","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://ir.ebaystatic.com/rs/v/10341xh50yz21mhhydueu4m5wad.js","-1","-1","200","-1","","3946","31","42","","181105_Q0_W","-1","197","-1","100","31536000","7841","1322","-1","GET","3255","3255","","0.26","-1","-1","ir.ebaystatic.com","100","-1","https://www.ebay.com/","2","1225","/rs/v/10341xh50yz21mhhydueu4m5wad.js","100","","Akamai","1594","1322","1519","1519","1594","75","1322","1594","272","11","12","1","0","h2","high","application/x-javascript;charset=UTF-8","","gzip","public, max-age=31536000, immutable","Tue, 05 Nov 2019 01:08:13 GMT","","",
"23.54.150.161","264","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://ir.ebaystatic.com/rs/c/br/inception-dnRHPO-V.js","-1","-1","200","-1","","9830","31","42","","181105_Q0_W","-1","133","-1","100","31536000","32953","1323","-1","GET","9270","9270","","0.23","-1","-1","ir.ebaystatic.com","100","-1","https://www.ebay.com/","2","1224","/rs/c/br/inception-dnRHPO-V.js","100","","Akamai","1587","1323","1456","1456","1587","131","1323","1587","264","12","13","1","0","h2","high","application/x-javascript","","br","public, max-age=31536000, immutable","Tue, 05 Nov 2019 01:08:13 GMT","","",
"23.54.150.161","378","49","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif","-1","-1","200","-1","0","462","31","83","","181105_Q0_W","-1","244","-1","100","31536000","49","1324","-1","GET","49","","","0.7","-1","-1","ir.ebaystatic.com","100","-1","https://www.ebay.com/","2","1119","/pictures/aw/pics/s_1x2.gif","100","","Akamai","1702","1324","1568","1568","1702","134","1324","1702","378","13","14","1","0","h2","low","image/gif","","","public, max-age=31536000, immutable","Tue, 05 Nov 2019 01:08:13 GMT","","",
"23.54.150.161","283","49","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif","-1","-1","200","-1","0","462","31","35","","181105_Q0_W","-1","89","-1","100","31536000","49","1446","-1","GET","49","","","0.10","-1","-1","ir.ebaystatic.com","100","-1","https://www.ebay.com/","3","1206","/pictures/aw/pics/s_1x2.gif","100","","Akamai","1729","1446","1535","1535","1729","194","1446","1729","283","14","15","1","0","h2","low","image/gif","","","public, max-age=31536000, immutable","Tue, 05 Nov 2019 01:08:13 GMT","","",
"23.54.150.161","216","49","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif","-1","-1","200","-1","0","462","31","35","","181105_Q0_W","-1","89","-1","100","31536000","49","1446","-1","GET","49","","","0.9","-1","-1","ir.ebaystatic.com","100","-1","https://www.ebay.com/","3","1206","/pictures/aw/pics/s_1x2.gif","100","","Akamai","1662","1446","1535","1535","1662","127","1446","1662","216","15","16","1","0","h2","low","image/gif","","","public, max-age=31536000, immutable","Tue, 05 Nov 2019 01:08:13 GMT","","",
"23.54.150.161","151","49","","-1","100","Image","3","1209","1443","","1","","-1","1282","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif","12","1282","200","161","0","462","31","241","","181105_Q0_W","1221","75","1222","100","31536000","49","1446","60","GET","49","","","0.8","-1","-1","ir.ebaystatic.com","100","-1","https://www.ebay.com/","3","1206","/pictures/aw/pics/s_1x2.gif","100","","Akamai","1597","1446","1521","1521","1597","76","1209","1597","384","16","17","1","0","h2","low","image/gif","","","public, max-age=31536000, immutable","Tue, 05 Nov 2019 01:08:13 GMT","","",
"23.54.150.161","209","49","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif","-1","-1","200","-1","0","462","31","35","","181105_Q0_W","-1","89","-1","100","31536000","49","1447","-1","GET","49","","","0.11","-1","-1","ir.ebaystatic.com","100","-1","https://www.ebay.com/","3","1207","/pictures/aw/pics/s_1x2.gif","100","","Akamai","1656","1447","1536","1536","1656","120","1447","1656","209","17","18","1","0","h2","low","image/gif","","","public, max-age=31536000, immutable","Tue, 05 Nov 2019 01:08:13 GMT","","",
"23.54.150.161","211","49","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif","-1","-1","200","-1","0","462","31","35","","181105_Q0_W","-1","89","-1","100","31536000","49","1447","-1","GET","49","","","0.13","-1","-1","ir.ebaystatic.com","100","-1","https://www.ebay.com/","3","1207","/pictures/aw/pics/s_1x2.gif","100","","Akamai","1658","1447","1536","1536","1658","122","1447","1658","211","18","19","1","0","h2","low","image/gif","","","public, max-age=31536000, immutable","Tue, 05 Nov 2019 01:08:13 GMT","","",
"23.54.150.161","210","49","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif","-1","-1","200","-1","0","462","31","35","","181105_Q0_W","-1","89","-1","100","31536000","49","1447","-1","GET","49","","","0.12","-1","-1","ir.ebaystatic.com","100","-1","https://www.ebay.com/","3","1207","/pictures/aw/pics/s_1x2.gif","100","","Akamai","1657","1447","1536","1536","1657","121","1447","1657","210","19","20","1","0","h2","low","image/gif","","","public, max-age=31536000, immutable","Tue, 05 Nov 2019 01:08:13 GMT","","",
"23.54.150.161","211","49","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif","-1","-1","200","-1","0","462","31","35","","181105_Q0_W","-1","88","-1","100","31536000","49","1448","-1","GET","49","","","0.14","-1","-1","ir.ebaystatic.com","100","-1","https://www.ebay.com/","3","1207","/pictures/aw/pics/s_1x2.gif","100","","Akamai","1659","1448","1536","1536","1659","123","1448","1659","211","20","21","1","0","h2","low","image/gif","","","public, max-age=31536000, immutable","Tue, 05 Nov 2019 01:08:13 GMT","","",
"23.54.150.161","211","49","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif","-1","-1","200","-1","0","462","31","35","","181105_Q0_W","-1","89","-1","100","31536000","49","1449","-1","GET","49","","","0.15","-1","-1","ir.ebaystatic.com","100","-1","https://www.ebay.com/","3","1208","/pictures/aw/pics/s_1x2.gif","100","","Akamai","1660","1449","1538","1538","1660","122","1449","1660","211","21","22","1","0","h2","low","image/gif","","","public, max-age=31536000, immutable","Tue, 05 Nov 2019 01:08:13 GMT","","",
"23.54.150.161","214","49","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif","-1","-1","200","-1","0","462","31","35","","181105_Q0_W","-1","93","-1","100","31536000","49","1449","-1","GET","49","","","0.17","-1","-1","ir.ebaystatic.com","100","-1","https://www.ebay.com/","3","1208","/pictures/aw/pics/s_1x2.gif","100","","Akamai","1663","1449","1542","1542","1663","121","1449","1663","214","22","23","1","0","h2","low","image/gif","","","public, max-age=31536000, immutable","Tue, 05 Nov 2019 01:08:13 GMT","","",
