id,start_time,end_time,duration,src_ip,src_port,dst_ip,dst_port,total_bytes,total_message_bytes,avg_inter_arrival_time,median_inter_arrival_time,std_inter_arrival_time,num_packets,src_names,dst_names
0,1541380092.001811,1541380092.231386,0.22957491874694824,192.168.1.67,59823,66.211.162.12,443,1133,693,0.022957491874694824,0.0008959770202636719,0.0359525776555514,11,"{'localhost', '192.168.1.67'}",{'66.211.162.12'}
1,1541380092.137199,1541380092.342244,0.20504498481750488,66.211.162.12,443,192.168.1.67,59823,457,177,0.034174164136250816,0.003975510597229004,0.04580795172072807,7,{'66.211.162.12'},"{'localhost', '192.168.1.67'}"
2,1541380092.313869,1541380096.132262,3.8183929920196533,192.168.1.67,59824,96.16.205.179,443,5724,3256,0.08300854330477507,0.0004159212112426758,0.2975125770090474,47,"{'localhost', '192.168.1.67'}","{'www.ebay.com', '96.16.205.179', 'slot9428.ebay.com.edgekey.net', 'e9428.b.akamaiedge.net'}"
3,1541380092.342247,1541380096.131024,3.7887768745422363,96.16.205.179,443,192.168.1.67,59824,33950,31550,0.08419504165649414,0.00024008750915527344,0.31277912909644356,46,"{'www.ebay.com', '96.16.205.179', 'slot9428.ebay.com.edgekey.net', 'e9428.b.akamaiedge.net'}","{'localhost', '192.168.1.67'}"
4,1541380092.524043,1541380092.524043,0.0,192.168.1.67,59817,65.52.193.136,443,40,0,nan,nan,nan,1,"{'localhost', '192.168.1.67'}",{'65.52.193.136'}
5,1541380092.524069,1541380092.524069,0.0,192.168.1.67,59821,23.3.162.199,443,40,0,nan,nan,nan,1,"{'localhost', '192.168.1.67'}",{'23.3.162.199'}
6,1541380092.524079,1541380092.524079,0.0,192.168.1.67,59816,13.107.7.190,443,40,0,nan,nan,nan,1,"{'localhost', '192.168.1.67'}",{'13.107.7.190'}
7,1541380092.524087,1541380092.524087,0.0,192.168.1.67,59820,13.107.21.200,443,40,0,nan,nan,nan,1,"{'localhost', '192.168.1.67'}",{'13.107.21.200'}
8,1541380092.524095,1541380092.524095,0.0,192.168.1.67,59819,20.36.253.92,443,40,0,nan,nan,nan,1,"{'localhost', '192.168.1.67'}",{'20.36.253.92'}
9,1541380092.524129,1541380092.524129,0.0,192.168.1.67,59814,52.108.56.1,443,40,0,nan,nan,nan,1,"{'localhost', '192.168.1.67'}",{'52.108.56.1'}
10,1541380092.774477,1541380096.765271,3.9907939434051514,192.168.1.67,59825,23.54.150.161,443,11132,2280,0.023614165345592613,5.412101745605469e-05,0.17370474663703697,170,"{'localhost', '192.168.1.67'}","{'slot11847.ebay.com.edgekey.net', 'e11847.g.akamaiedge.net', 'ir.ebaystatic.com', '23.54.150.161'}"
11,1541380092.781437,1541380092.781437,0.0,192.168.1.67,51129,192.168.1.15,56362,40,0,nan,nan,nan,1,"{'localhost', '192.168.1.67'}",{'192.168.1.15'}
12,1541380092.789962,1541380092.789962,0.0,192.168.1.15,56362,192.168.1.67,51129,52,0,nan,nan,nan,1,{'192.168.1.15'},"{'localhost', '192.168.1.67'}"
13,1541380092.809124,1541380094.90847,2.0993459224700928,192.168.1.67,59826,96.16.205.179,443,24895,3655,0.005158098089607107,3.3855438232421875e-05,0.04659544798650151,408,"{'localhost', '192.168.1.67'}","{'e9428.dscb.akamaiedge.net', 'geofront.ebayimage.akadns.net', 'i2.g.ebay.com', '96.16.205.179', 'ipv6.slot9428.ebay.com.edgekey.net', 'i.ebayimg.com'}"
14,1541380092.830467,1541380096.761664,3.931196928024292,23.54.150.161,443,192.168.1.67,59825,280022,269250,0.01908348023312763,0.0001844167709350586,0.16675881932115977,207,"{'slot11847.ebay.com.edgekey.net', 'e11847.g.akamaiedge.net', 'ir.ebaystatic.com', '23.54.150.161'}","{'localhost', '192.168.1.67'}"
15,1541380092.833505,1541380094.908385,2.0748801231384277,96.16.205.179,443,192.168.1.67,59826,1158357,1115553,0.002524185064645289,0.0001990795135498047,0.03263460694102589,823,"{'e9428.dscb.akamaiedge.net', 'geofront.ebayimage.akadns.net', 'i2.g.ebay.com', '96.16.205.179', 'ipv6.slot9428.ebay.com.edgekey.net', 'i.ebayimg.com'}","{'localhost', '192.168.1.67'}"
16,1541380092.971027,1541380093.297712,0.32668519020080566,192.168.1.67,59827,23.54.150.161,443,4096,1848,0.007778218814304897,6.103515625e-05,0.018528779287491175,43,"{'localhost', '192.168.1.67'}","{'slot11847.ebay.com.edgekey.net', 'e11847.g.akamaiedge.net', 'ir.ebaystatic.com', '23.54.150.161'}"
17,1541380093.027209,1541380093.773444,0.7462348937988281,192.168.1.67,59828,66.135.197.112,443,3261,2705,0.062186241149902344,0.07231545448303223,0.05047001191604115,13,"{'localhost', '192.168.1.67'}","{'66.135.197.112', 'rover.ebay.com', 'rover.g.ebay.com'}"
18,1541380093.031128,1541380093.362706,0.33157801628112793,23.54.150.161,443,192.168.1.67,59827,11944,10532,0.012753000626197228,0.001153111457824707,0.026605140066690684,27,"{'slot11847.ebay.com.edgekey.net', 'e11847.g.akamaiedge.net', 'ir.ebaystatic.com', '23.54.150.161'}","{'localhost', '192.168.1.67'}"
19,1541380093.124562,1541380093.769585,0.6450228691101074,66.135.197.112,443,192.168.1.67,59828,4960,4548,0.07166920767890082,0.010909795761108398,0.08118568750868214,10,"{'66.135.197.112', 'rover.ebay.com', 'rover.g.ebay.com'}","{'localhost', '192.168.1.67'}"
20,1541380093.852416,1541380094.316304,0.46388792991638184,192.168.1.67,59829,66.135.203.168,443,2530,2026,0.042171629992398346,0.0014340877532958984,0.05121942476001063,12,"{'localhost', '192.168.1.67'}","{'svcs.ebay.com', 'svcs.g.ebay.com', '66.135.203.168'}"
21,1541380093.958718,1541380094.316,0.3572819232940674,66.135.203.168,443,192.168.1.67,59829,4517,4113,0.0396979914771186,0.003526926040649414,0.05366533372354222,10,"{'svcs.ebay.com', 'svcs.g.ebay.com', '66.135.203.168'}","{'localhost', '192.168.1.67'}"
22,1541380094.365695,1541380094.850694,0.4849989414215088,192.168.1.67,59830,96.16.205.179,443,6385,1981,0.005843360740018178,6.699562072753906e-05,0.014978178541812675,84,"{'localhost', '192.168.1.67'}","{'e9428.dscb.akamaiedge.net', 'geofront.ebayimage.akadns.net', 'i2.g.ebay.com', '96.16.205.179', 'ipv6.slot9428.ebay.com.edgekey.net', 'i.ebayimg.com'}"
23,1541380094.392543,1541380094.807473,0.4149298667907715,96.16.205.179,443,192.168.1.67,59830,122468,117624,0.004510107247725777,0.0003210306167602539,0.01539144341982923,93,"{'e9428.dscb.akamaiedge.net', 'geofront.ebayimage.akadns.net', 'i2.g.ebay.com', '96.16.205.179', 'ipv6.slot9428.ebay.com.edgekey.net', 'i.ebayimg.com'}","{'localhost', '192.168.1.67'}"
24,1541380094.44638,1541380095.083412,0.6370320320129395,192.168.1.67,59831,66.135.201.93,443,2100,1636,0.06370320320129394,0.05485892295837402,0.0625756501086623,11,"{'localhost', '192.168.1.67'}","{'66.135.201.93', 'gha.g.ebay.com', 'gha.ebay.com'}"
25,1541380094.549402,1541380095.079798,0.5303959846496582,66.135.201.93,443,192.168.1.67,59831,4907,4543,0.06629949808120728,0.007077455520629883,0.09086301980976015,9,"{'66.135.201.93', 'gha.g.ebay.com', 'gha.ebay.com'}","{'localhost', '192.168.1.67'}"
26,1541380094.589382,1541380094.688778,0.0993959903717041,192.168.1.67,59832,66.211.184.152,443,104,0,0.0993959903717041,0.0993959903717041,0.0,2,"{'localhost', '192.168.1.67'}","{'gha.g.ebay.com', 'gha.ebay.com', '66.211.184.152'}"
27,1541380094.608746,1541380095.078289,0.4695429801940918,192.168.1.67,59833,108.177.10.154,443,1811,759,0.02471278843126799,0.0016579627990722656,0.038007519320339876,20,"{'localhost', '192.168.1.67'}","{'108.177.10.154', 'pagead46.l.doubleclick.net'}"
28,1541380094.660184,1541380095.166269,0.5060851573944092,108.177.10.154,443,192.168.1.67,59833,13817,12925,0.031630322337150574,0.0016034841537475586,0.05906974320463077,17,"{'108.177.10.154', 'pagead46.l.doubleclick.net'}","{'localhost', '192.168.1.67'}"
29,1541380094.686093,1541380094.686093,0.0,66.211.184.152,443,192.168.1.67,59832,52,0,nan,nan,nan,1,"{'gha.g.ebay.com', 'gha.ebay.com', '66.211.184.152'}","{'localhost', '192.168.1.67'}"
30,1541380094.778335,1541380095.399446,0.6211109161376953,192.168.1.67,59834,66.135.209.124,443,2284,1700,0.047777762779822715,0.0026640892028808594,0.062273980029073826,14,"{'localhost', '192.168.1.67'}","{'66.135.209.124', 'ocsrest.ebay.com', 'ocsrest.g.ebay.com'}"
31,1541380094.886488,1541380095.39711,0.5106220245361328,66.135.209.124,443,192.168.1.67,59834,7816,7364,0.05106220245361328,0.001878499984741211,0.08116457834336503,11,"{'66.135.209.124', 'ocsrest.ebay.com', 'ocsrest.g.ebay.com'}","{'localhost', '192.168.1.67'}"
32,1541380095.146409,1541380095.575427,0.4290180206298828,192.168.1.67,59835,66.211.181.81,443,2375,1911,0.042901802062988284,0.010782480239868164,0.048158007765640075,11,"{'localhost', '192.168.1.67'}","{'signin.ebay.com', '66.211.181.81', 'origin-signin.g.ebay.com'}"
33,1541380095.15728,1541380095.416526,0.2592461109161377,192.168.1.67,59836,108.177.10.154,443,1734,786,0.015249771230361042,0.0006129741668701172,0.022223809532997973,18,"{'localhost', '192.168.1.67'}","{'108.177.10.154', 'pagead46.l.doubleclick.net', 'adservice.google.com'}"
34,1541380095.158566,1541380097.056196,1.897629976272583,192.168.1.67,59837,108.177.103.155,443,6153,2293,0.025994931181816207,0.0007240772247314453,0.10433553457990428,74,"{'localhost', '192.168.1.67'}","{'partnerad.l.doubleclick.net', '108.177.103.155'}"
35,1541380095.209256,1541380095.506809,0.29755306243896484,108.177.10.154,443,192.168.1.67,59836,5249,4513,0.022888697110689603,0.002891063690185547,0.032606379989135625,14,"{'108.177.10.154', 'pagead46.l.doubleclick.net', 'adservice.google.com'}","{'localhost', '192.168.1.67'}"
36,1541380095.211149,1541380097.144115,1.9329659938812256,108.177.103.155,443,192.168.1.67,59837,99025,94441,0.02221799992966926,0.0004749298095703125,0.09415974649921842,88,"{'partnerad.l.doubleclick.net', '108.177.103.155'}","{'localhost', '192.168.1.67'}"
37,1541380095.242049,1541380095.575333,0.3332841396331787,66.211.181.81,443,192.168.1.67,59835,8173,7761,0.03703157107035319,0.0024690628051757812,0.05096179904103064,10,"{'signin.ebay.com', '66.211.181.81', 'origin-signin.g.ebay.com'}","{'localhost', '192.168.1.67'}"
38,1541380095.454367,1541380095.904433,0.45006608963012695,192.168.1.67,59838,96.16.205.179,443,2220,908,0.018752753734588623,0.00034999847412109375,0.04894567146529781,25,"{'localhost', '192.168.1.67'}","{'www.ebay.com', '96.16.205.179', 'e9428.b.akamaiedge.net', 'secureir.ebaystatic.com', 'slot9428.ebay.com.edgekey.net'}"
