id,start_time,end_time,duration,src_ip,src_port,dst_ip,dst_port,total_bytes,total_message_bytes,avg_inter_arrival_time,median_inter_arrival_time,std_inter_arrival_time,num_packets,src_names,dst_names
0,1541380305.607237,1541380305.712185,0.10494780540466309,192.168.1.67,59991,23.39.181.65,443,685,477,0.03498260180155436,0.049539804458618164,0.0228900454101149,4,"{'localhost', '192.168.1.67'}",{'23.39.181.65'}
1,1541380305.656507,1541380305.712,0.05549287796020508,23.39.181.65,443,192.168.1.67,59991,359,255,0.05549287796020508,0.05549287796020508,0.0,2,{'23.39.181.65'},"{'localhost', '192.168.1.67'}"
2,1541380305.808377,1541380306.063585,0.25520801544189453,192.168.1.67,59992,23.48.163.161,443,1873,769,0.012760400772094727,0.00036644935607910156,0.018871133918606772,21,"{'localhost', '192.168.1.67'}","{'www.accuweather.com', 'www.accuweather.com.edgekey.net', 'e1524.e12.akamaiedge.net', '23.48.163.161'}"
3,1541380305.835094,1541380306.050962,0.2158679962158203,23.48.163.161,443,192.168.1.67,59992,14051,13107,0.012698117424460018,0.0002911090850830078,0.021681681132892754,18,"{'www.accuweather.com', 'www.accuweather.com.edgekey.net', 'e1524.e12.akamaiedge.net', '23.48.163.161'}","{'localhost', '192.168.1.67'}"
4,1541380306.138183,1541380306.189826,0.05164289474487305,192.168.1.67,59993,23.48.163.161,80,865,645,0.017214298248291016,0.02336597442626953,0.011893593758480621,4,"{'localhost', '192.168.1.67'}","{'m.accuweather.com', 'www.accuweather.com', 'www.accuweather.com.edgekey.net', 'e1524.e12.akamaiedge.net', '23.48.163.161', 'm.accuweather.com.edgekey.net'}"
5,1541380306.16119,1541380306.189714,0.028523921966552734,23.48.163.161,80,192.168.1.67,59993,401,237,0.014261960983276367,0.014261960983276367,0.009089946746826172,3,"{'m.accuweather.com', 'www.accuweather.com', 'www.accuweather.com.edgekey.net', 'e1524.e12.akamaiedge.net', '23.48.163.161', 'm.accuweather.com.edgekey.net'}","{'localhost', '192.168.1.67'}"
6,1541380306.214301,1541380310.006984,3.7926828861236572,192.168.1.67,59994,23.48.163.161,443,9067,6611,0.08244962795920995,0.00033211708068847656,0.3418228024219949,47,"{'localhost', '192.168.1.67'}","{'m.accuweather.com', 'www.accuweather.com', 'www.accuweather.com.edgekey.net', 'e1524.e12.akamaiedge.net', '23.48.163.161', 'm.accuweather.com.edgekey.net'}"
7,1541380306.231186,1541380310.006626,3.775439977645874,23.48.163.161,443,192.168.1.67,59994,48321,45509,0.07260461495472835,0.000255584716796875,0.3274145340339688,53,"{'m.accuweather.com', 'www.accuweather.com', 'www.accuweather.com.edgekey.net', 'e1524.e12.akamaiedge.net', '23.48.163.161', 'm.accuweather.com.edgekey.net'}","{'localhost', '192.168.1.67'}"
8,1541380307.302609,1541380311.949171,4.646562099456787,192.168.1.67,59995,108.177.103.157,443,8444,4116,0.05666539145679009,0.00019407272338867188,0.3039138596643659,83,"{'localhost', '192.168.1.67'}",{'108.177.103.157'}
9,1541380307.303474,1541380307.68681,0.38333606719970703,192.168.1.67,59996,172.217.195.156,443,2042,782,0.016666785530422046,0.002416849136352539,0.028447932607484076,24,"{'localhost', '192.168.1.67'}",{'172.217.195.156'}
10,1541380307.317358,1541380307.656215,0.33885693550109863,192.168.1.67,59997,172.217.195.157,443,1884,780,0.01694284677505493,0.00012254714965820312,0.02795697159583149,21,"{'localhost', '192.168.1.67'}","{'172.217.195.157', 'pagead46.l.doubleclick.net'}"
11,1541380307.319165,1541380313.095254,5.7760889530181885,192.168.1.67,59998,172.217.195.157,443,4408,1172,0.09468998283636375,0.00021791458129882812,0.470696913496307,62,"{'localhost', '192.168.1.67'}","{'172.217.195.157', 'pagead46.l.doubleclick.net'}"
12,1541380307.325411,1541380307.816362,0.4909508228302002,192.168.1.67,59999,173.194.78.97,443,2815,827,0.013268941157572978,0.0003941059112548828,0.03194770080773428,38,"{'localhost', '192.168.1.67'}","{'173.194.78.97', 'www-googletagmanager.l.google.com'}"
13,1541380307.327008,1541380311.479565,4.152556896209717,192.168.1.67,60000,173.194.78.95,443,2537,993,0.1483056034360613,0.00011050701141357422,0.6407725870328763,29,"{'localhost', '192.168.1.67'}","{'173.194.78.95', 'fonts.googleapis.com', 'googleadapis.l.google.com'}"
14,1541380307.335161,1541380307.854822,0.5196609497070312,192.168.1.67,60001,54.204.37.215,443,1328,744,0.051966094970703126,0.02061903476715088,0.08910964492759432,11,"{'localhost', '192.168.1.67'}","{'54.204.37.215', 'pixel.watch'}"
