"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","protocol","priority","contentType","is_base_page","cacheControl","contentEncoding","expires","jpeg_scan_count","score_progressive_jpeg",
"","691","","","-1","-1","Document","3","-1","-1","","1","","-1","-1","https://microsoft.com/","-1","-1","301","-1","","103","","0","","181105_SA_T","-1","691","-1","-1","","0","0","-1","GET","0","","","0.2","-1","-1","microsoft.com","-1","-1","","-1","0","/","-1","","","691","0","691","691","691","0","0","691","691","0","1","1","0","","","","","","","","","",
"","301","","","-1","-1","Document","3","-1","-1","","1","","-1","-1","https://www.microsoft.com/","-1","-1","302","-1","","151","","0","","181105_SA_T","-1","301","-1","-1","","0","691","-1","GET","0","","","0.2.1","-1","-1","www.microsoft.com","-1","-1","","-1","691","/","-1","","","992","691","992","992","992","0","691","992","301","1","2","1","0","","","","","","","","","",
"96.16.204.232","322","","","-1","-1","Document","3","-1","-1","0","1","","100","-1","https://www.microsoft.com/en-us/","-1","-1","200","-1","","38317","","523","","181105_SA_T","-1","289","-1","100","","170652","992","-1","GET","36647","36647","","0.2.2","-1","-1","www.microsoft.com","100","-1","","1","992","/en-us/","-1","","Akamai","1314","992","1281","1281","1314","33","992","1314","322","2","3","1","0","h2","high","text/html; charset=utf-8","1","no-cache, no-store, no-transform","gzip","-1","","",
"96.16.204.232","165","","","-1","-1","Stylesheet","3","-1","-1","0","1","","100","-1","https://www.microsoft.com/onerfstatics/marketingsites-wcus-prod/west-european/mscomhp/_scrf/css/themes=default.device=uplevel_web_mobile_webkit_ios/bb-3b6bab/b3-d4e830/69-87fe0b/21-7d6c87/b7-0f2de6?ver=2.0","-1","-1","200","-1","","12958","46","145","","181105_SA_T","-1","66","-1","100","31272026","84067","1307","-1","GET","12094","12094","","0.5","-1","-1","www.microsoft.com","100","-1","https://www.microsoft.com/en-us/","1","1297","/onerfstatics/marketingsites-wcus-prod/west-european/mscomhp/_scrf/css/themes=default.device=uplevel_web_mobile_webkit_ios/bb-3b6bab/b3-d4e830/69-87fe0b/21-7d6c87/b7-0f2de6?ver=2.0","100","","Akamai","1472","1307","1373","1373","1472","99","1307","1472","165","3","4","1","0","h2","high","text/css; charset=utf-8","","public, max-age=31272026","gzip","Fri, 01 Nov 2019 23:47:10 GMT","","",
"96.16.204.232","105","","","-1","-1","Stylesheet","3","-1","-1","0","1","","100","-1","https://www.microsoft.com/mwf/css/MWF_20181025_12557249/west-european/default/alert/autosuggest/contentplacement/contentplacementitem/dialog/glyph/heading/hero/heroitem/hyperlinkgroup/image/list/pagebehaviors/skiptomain/social?apiVersion=1.0&include_base=true","-1","-1","200","-1","","44258","45","505","","181105_SA_T","-1","29","-1","100","31244084","409017","1307","-1","GET","43459","43459","","0.4","-1","-1","www.microsoft.com","100","-1","https://www.microsoft.com/en-us/","1","1297","/mwf/css/MWF_20181025_12557249/west-european/default/alert/autosuggest/contentplacement/contentplacementitem/dialog/glyph/heading/hero/heroitem/hyperlinkgroup/image/list/pagebehaviors/skiptomain/social?apiVersion=1.0&include_base=true","100","","Akamai","1412","1307","1336","1336","1412","76","1307","1412","105","4","5","1","0","h2","high","text/css; charset=utf-8","","public, max-age=31244084","gzip","Fri, 01 Nov 2019 16:01:28 GMT","","",
"96.16.204.232","176","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://www.microsoft.com/onerfstatics/marketingsites-wcus-prod/mscomhp/_scrf/js/themes=default/d3-e6b21f/85-a313c5/45-f9a0d4/aa-dc1460/2d-7a9063/8f-165e61/1e-346557/4f-5115f8/7d-266f10/4a-abd94b/78-4c7d22/df-e4d70f/e4-8302f6/cd-23d3b0/6d-1e7ed0/b7-cadaa7/ca-40b7b0/c3-6454d7/f9-7592d3/ef-87b3d9/f8-73a5f2/30-42cbf5/7e-cda2d3/32-6dafa3/93-283c2d/91-97a04f/1f-100dea/33-abe4df/21-c9ff85/e3-082b89?ver=2.0","-1","-1","200","-1","","26745","55","292","","181105_SA_T","-1","53","-1","100","31250678","96108","1309","-1","GET","25873","25873","","0.7","-1","-1","www.microsoft.com","100","-1","https://www.microsoft.com/en-us/","1","1301","/onerfstatics/marketingsites-wcus-prod/mscomhp/_scrf/js/themes=default/d3-e6b21f/85-a313c5/45-f9a0d4/aa-dc1460/2d-7a9063/8f-165e61/1e-346557/4f-5115f8/7d-266f10/4a-abd94b/78-4c7d22/df-e4d70f/e4-8302f6/cd-23d3b0/6d-1e7ed0/b7-cadaa7/ca-40b7b0/c3-6454d7/f9-7592d3/ef-87b3d9/f8-73a5f2/30-42cbf5/7e-cda2d3/32-6dafa3/93-283c2d/91-97a04f/1f-100dea/33-abe4df/21-c9ff85/e3-082b89?ver=2.0","100","","Akamai","1485","1309","1362","1362","1485","123","1309","1485","176","5","6","1","0","h2","high","text/javascript; charset=utf-8","","public, max-age=31250678","gzip","Fri, 01 Nov 2019 17:51:22 GMT","","",
"96.16.204.232","328","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://www.microsoft.com/mwf/js/MWF_20181025_12557249/alert/autosuggest/contentplacement/contentplacementitem/dialog/glyph/heading/hero/heroitem/hyperlinkgroup/image/list/pagebehaviors/skiptomain/social?apiVersion=1.0","-1","-1","200","-1","","28123","55","153","","181105_SA_T","-1","77","-1","100","31244076","112918","1310","-1","GET","27310","27310","","0.9","-1","-1","www.microsoft.com","100","-1","https://www.microsoft.com/en-us/","1","1302","/mwf/js/MWF_20181025_12557249/alert/autosuggest/contentplacement/contentplacementitem/dialog/glyph/heading/hero/heroitem/hyperlinkgroup/image/list/pagebehaviors/skiptomain/social?apiVersion=1.0","100","","Akamai","1638","1310","1387","1387","1638","251","1310","1638","328","6","7","1","0","h2","high","application/javascript; charset=utf-8","","public, max-age=31244076","gzip","Fri, 01 Nov 2019 16:01:20 GMT","","",
"96.16.204.232","175","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://www.microsoft.com/onerfstatics/marketingsites-wcus-prod/mscomhp/_scrf/js/themes=default/78-6f121b/86-1c0237?ver=2.0","-1","-1","200","-1","","21897","55","85","","181105_SA_T","-1","71","-1","100","26945402","66421","1310","-1","GET","21024","21024","","0.8","-1","-1","www.microsoft.com","100","-1","https://www.microsoft.com/en-us/","1","1302","/onerfstatics/marketingsites-wcus-prod/mscomhp/_scrf/js/themes=default/78-6f121b/86-1c0237?ver=2.0","100","","Akamai","1485","1310","1381","1381","1485","104","1310","1485","175","7","8","1","0","h2","high","text/javascript; charset=utf-8","","public, max-age=26945402","gzip","Thu, 12 Sep 2019 21:56:46 GMT","","",
"96.16.204.232","307","43","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://www.microsoft.com/onerfstatics/marketingsites-wcus-prod/_h/9be151e5/coreui.statics/images/1x1clear.gif","-1","-1","200","-1","0","707","55","124","","181105_SA_T","-1","194","-1","100","15548494","43","1317","-1","GET","43","","","0.13","-1","-1","www.microsoft.com","100","-1","https://www.microsoft.com/en-us/","1","1310","/onerfstatics/marketingsites-wcus-prod/_h/9be151e5/coreui.statics/images/1x1clear.gif","100","","Akamai","1624","1317","1511","1511","1624","113","1317","1624","307","8","9","1","0","h2","low","image/gif","","public, max-age=15548494","","Sat, 04 May 2019 00:08:18 GMT","","",
"96.16.204.232","303","","","-1","-1","Image","3","-1","-1","0","1","","100","-1","https://www.microsoft.com/onerfstatics/marketingsites-wcus-prod/_h/6f40299c/coreui.statics/images/social/twitter.svg","-1","-1","200","-1","","1229","55","79","","181105_SA_T","-1","194","-1","100","25622175","835","1319","-1","GET","470","470","","0.15","-1","-1","www.microsoft.com","100","-1","https://www.microsoft.com/en-us/","1","1313","/onerfstatics/marketingsites-wcus-prod/_h/6f40299c/coreui.statics/images/social/twitter.svg","100","","Akamai","1622","1319","1513","1513","1622","109","1319","1622","303","9","10","1","0","h2","low","image/svg+xml","","public, max-age=25622175","gzip","Wed, 28 Aug 2019 14:22:59 GMT","","",
