id,start_time,end_time,duration,src_ip,src_port,dst_ip,dst_port,total_bytes,total_message_bytes,avg_inter_arrival_time,median_inter_arrival_time,std_inter_arrival_time,num_packets,src_names,dst_names
0,1541380003.547458,1541380003.735795,0.18833708763122559,13.77.161.179,443,192.168.1.67,59726,7371,6955,0.026905298233032227,0.0003159046173095703,0.042928232391770973,8,{'13.77.161.179'},"{'localhost', '192.168.1.67'}"
1,1541380003.548013,1541380003.735946,0.18793296813964844,192.168.1.67,59726,13.77.161.179,443,891,475,0.026847566877092634,0.0032210350036621094,0.032760886775259276,8,"{'localhost', '192.168.1.67'}",{'13.77.161.179'}
2,1541380003.548203,1541380003.548203,0.0,104.215.148.63,443,192.168.1.67,59727,60,0,nan,nan,nan,1,{'104.215.148.63'},"{'localhost', '192.168.1.67'}"
3,1541380003.548549,1541380003.548549,0.0,192.168.1.67,59727,104.215.148.63,443,40,0,nan,nan,nan,1,"{'localhost', '192.168.1.67'}",{'104.215.148.63'}
4,1541380003.548709,1541380003.548709,0.0,192.168.1.67,59724,104.110.167.215,443,40,0,nan,nan,nan,1,"{'localhost', '192.168.1.67'}",{'104.110.167.215'}
5,1541380003.834868,1541380007.254237,3.4193689823150635,192.168.1.67,59728,96.16.204.232,443,14890,6650,0.021779420269522697,4.1961669921875e-05,0.10450842575343312,158,"{'localhost', '192.168.1.67'}","{'www.microsoft.com', 'www.microsoft.com-c-3.edgekey.net', '96.16.204.232', 'www.microsoft.com-c-3.edgekey.net.globalredir.akadns.net', 'e13678.dspb.akamaiedge.net'}"
6,1541380003.870384,1541380007.254079,3.383695125579834,96.16.204.232,443,192.168.1.67,59728,244367,233543,0.016346353263670694,0.00020003318786621094,0.09750285081239032,208,"{'www.microsoft.com', 'www.microsoft.com-c-3.edgekey.net', '96.16.204.232', 'www.microsoft.com-c-3.edgekey.net.globalredir.akadns.net', 'e13678.dspb.akamaiedge.net'}","{'localhost', '192.168.1.67'}"
7,1541380004.420549,1541380004.931652,0.5111031532287598,192.168.1.67,59729,96.16.204.232,443,3130,934,0.012465930566555115,1.5020370483398438e-05,0.027091188351805122,42,"{'localhost', '192.168.1.67'}","{'www.microsoft.com', 'www.microsoft.com-c-3.edgekey.net', '96.16.204.232', 'www.microsoft.com-c-3.edgekey.net.globalredir.akadns.net', 'e13678.dspb.akamaiedge.net'}"
8,1541380004.438952,1541380004.691066,0.25211405754089355,192.168.1.67,59730,172.82.206.20,443,807,431,0.042019009590148926,0.037749528884887695,0.040464984656959795,7,"{'localhost', '192.168.1.67'}","{'172.82.206.20', 'microsoftwindows.112.2o7.net'}"
9,1541380004.444447,1541380004.919206,0.4747588634490967,96.16.204.232,443,192.168.1.67,59729,60046,57490,0.009890809655189514,0.00022840499877929688,0.032060160371935306,49,"{'www.microsoft.com', 'www.microsoft.com-c-3.edgekey.net', '96.16.204.232', 'www.microsoft.com-c-3.edgekey.net.globalredir.akadns.net', 'e13678.dspb.akamaiedge.net'}","{'localhost', '192.168.1.67'}"
10,1541380004.470668,1541380008.287514,3.8168458938598633,192.168.1.67,59731,23.47.79.25,443,7455,2083,0.03816845893859863,0.00011849403381347656,0.26699853551439545,101,"{'localhost', '192.168.1.67'}","{'a1449.dscg2.akamai.net', '23.47.79.25', 'img-prod-cms-rt-microsoft-com.akamaized.net'}"
11,1541380004.477485,1541380004.684778,0.20729303359985352,172.82.206.20,443,192.168.1.67,59730,3539,3167,0.03454883893330892,0.0018171072006225586,0.05950267789393521,7,"{'172.82.206.20', 'microsoftwindows.112.2o7.net'}","{'localhost', '192.168.1.67'}"
12,1541380004.492129,1541380008.287319,3.79518985748291,23.47.79.25,443,192.168.1.67,59731,137444,131352,0.03271715394381819,0.00016355514526367188,0.24510318201136677,117,"{'a1449.dscg2.akamai.net', '23.47.79.25', 'img-prod-cms-rt-microsoft-com.akamaized.net'}","{'localhost', '192.168.1.67'}"
13,1541380004.535265,1541380007.506774,2.9715089797973633,192.168.1.67,59732,64.4.54.254,443,18110,16798,0.12381287415822347,0.0028846263885498047,0.35075486256507454,25,"{'localhost', '192.168.1.67'}","{'cy2.vortex.data.microsoft.com.akadns.net', 'geo.vortex.data.microsoft.com.akadns.net', 'web.vortex.data.microsoft.com', '64.4.54.254', 'web.vortex.data.microsoft.com.akadns.net'}"
14,1541380004.558894,1541380004.929571,0.37067699432373047,192.168.1.67,59733,23.3.162.106,443,845,365,0.04633462429046631,0.04700005054473877,0.0422363517426677,9,"{'localhost', '192.168.1.67'}","{'assets.onestore.ms.edgekey.net', 'assets.onestore.ms.akadns.net', '23.3.162.106', 'assets.onestore.ms', 'e10583.dspg.akamaiedge.net'}"
15,1541380004.586157,1541380005.590241,1.0040838718414307,192.168.1.67,59734,23.63.204.80,443,2839,1475,0.04016335487365723,0.0014278888702392578,0.0776683456600914,26,"{'localhost', '192.168.1.67'}","{'mem.gfx.ms.edgekey.net', 'e55.dspb.akamaiedge.net', 'cdn.account.microsoft.com.akadns.net', 'mem.gfx.ms', '23.63.204.80'}"
16,1541380004.594248,1541380007.556637,2.9623889923095703,64.4.54.254,443,192.168.1.67,59732,8784,7856,0.18514931201934814,0.00023758411407470703,0.4445020438698516,17,"{'cy2.vortex.data.microsoft.com.akadns.net', 'geo.vortex.data.microsoft.com.akadns.net', 'web.vortex.data.microsoft.com', '64.4.54.254', 'web.vortex.data.microsoft.com.akadns.net'}","{'localhost', '192.168.1.67'}"
17,1541380004.602973,1541380004.910388,0.3074150085449219,23.3.162.106,443,192.168.1.67,59733,7003,6579,0.04391642979213169,0.0003960132598876953,0.07003508381270497,8,"{'assets.onestore.ms.edgekey.net', 'assets.onestore.ms.akadns.net', '23.3.162.106', 'assets.onestore.ms', 'e10583.dspg.akamaiedge.net'}","{'localhost', '192.168.1.67'}"
18,1541380004.616746,1541380005.590072,0.9733259677886963,23.63.204.80,443,192.168.1.67,59734,34670,33206,0.03604910991809986,0.00024700164794921875,0.08957873318302537,28,"{'mem.gfx.ms.edgekey.net', 'e55.dspb.akamaiedge.net', 'cdn.account.microsoft.com.akadns.net', 'mem.gfx.ms', '23.63.204.80'}","{'localhost', '192.168.1.67'}"
19,1541380005.023726,1541380005.403263,0.37953710556030273,192.168.1.67,59735,23.195.250.108,443,3218,866,0.008625843308188698,6.103515625e-05,0.018749652715260627,45,"{'localhost', '192.168.1.67'}","{'23.195.250.108', 'e13678.dscg.akamaiedge.net', 'c-s.cms.ms.akadns.net', 'c.s-microsoft.com-c.edgekey.net', 'c.s-microsoft.com'}"
20,1541380005.066329,1541380005.38936,0.323030948638916,23.195.250.108,443,192.168.1.67,59735,76081,72953,0.0054751008243884075,0.00018906593322753906,0.01577817828755042,60,"{'23.195.250.108', 'e13678.dscg.akamaiedge.net', 'c-s.cms.ms.akadns.net', 'c.s-microsoft.com-c.edgekey.net', 'c.s-microsoft.com'}","{'localhost', '192.168.1.67'}"
21,1541380005.649236,1541380005.802216,0.15298008918762207,192.168.1.67,59736,64.4.54.254,443,747,319,0.021854298455374583,0.0009138584136962891,0.033080410533923056,8,"{'localhost', '192.168.1.67'}","{'cy2.vortex.data.microsoft.com.akadns.net', 'geo.vortex.data.microsoft.com.akadns.net', 'web.vortex.data.microsoft.com', '64.4.54.254', 'web.vortex.data.microsoft.com.akadns.net'}"
