"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","contentType","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","cacheControl","protocol","priority","is_base_page","contentEncoding","expires","jpeg_scan_count","score_progressive_jpeg",
"","328","","","-1","-1","Document","3","-1","-1","text/html; charset=UTF-8","","1","","-1","-1","https://yelp.com/","-1","-1","301","-1","","882","","0","","181105_SW_7","-1","328","-1","-1","","0","0","-1","GET","218","","","0.2","-1","-1","yelp.com","-1","-1","","-1","0","/","-1","","","328","0","328","328","328","0","0","328","328","0","1","1","0","","","","","","","","",
"","424","","","-1","-1","Document","3","-1","-1","text/html; charset=UTF-8","","1","","-1","-1","https://www.yelp.com/","-1","-1","301","-1","","1082","","0","","181105_SW_7","-1","424","-1","-1","","0","328","-1","GET","0","","","0.2.1","-1","-1","www.yelp.com","-1","-1","","-1","328","/","-1","","","752","328","752","752","752","0","328","752","424","1","2","1","0","private","","","","","","","",
"151.101.44.116","1538","","","-1","-1","Document","3","-1","-1","text/html; charset=UTF-8","0","1","","100","-1","https://m.yelp.com/","-1","-1","200","-1","","22271","","619","","181105_SW_7","-1","678","-1","100","","99763","752","-1","GET","19326","19326","","0.2.2","-1","-1","m.yelp.com","100","-1","","1","752","/","-1","","Fastly","2290","752","1430","1430","2290","860","752","2290","1538","2","3","1","0","max-age=0, must-revalidate, no-cache, no-store, private","h2","high","1","gzip","Mon, 05 Nov 2018 00:38:39 GMT","","",
"151.101.44.116","110","","","-1","-1","Script","3","-1","-1","application/x-javascript","0","1","","100","-1","https://m.yelp.com/yly-brxfdexyxywzxsdcbyedvedduveyuqvt.js","-1","-1","200","-1","","11471","92","929","","181105_SW_7","-1","55","-1","100","240","39144","2305","-1","GET","11312","11312","","0.4","-1","-1","m.yelp.com","100","-1","https://m.yelp.com/","1","2278","/yly-brxfdexyxywzxsdcbyedvedduveyuqvt.js","0","","Fastly","2415","2305","2360","2360","2415","55","2305","2415","110","3","4","1","0","private, max-age=240, s-maxage=0, must-revalidate","h2","high","","gzip","","","",
"104.19.196.151","123","","","-1","-1","Script","3","-1","-1","application/javascript","0","1","","100","-1","https://cdnjs.cloudflare.com/ajax/libs/react-dom/16.4.0/umd/react-dom.production.min.js","-1","-1","200","-1","","30061","92","58","","181105_SW_7","-1","23","-1","100","30672000","95960","2512","-1","GET","29984","29984","","0.20","-1","-1","cdnjs.cloudflare.com","100","-1","https://m.yelp.com/","2","2291","/ajax/libs/react-dom/16.4.0/umd/react-dom.production.min.js","100","","Cloudflare","2635","2512","2535","2535","2635","100","2512","2635","123","4","5","1","0","public, max-age=30672000","h2","high","","br","Sat, 26 Oct 2019 00:38:40 GMT","","",
"104.19.196.151","85","","","-1","-1","Script","3","-1","-1","application/javascript","0","1","","100","-1","https://cdnjs.cloudflare.com/ajax/libs/react/16.4.0/umd/react.production.min.js","-1","-1","200","-1","","3207","92","52","","181105_SW_7","-1","21","-1","100","30672000","7217","2512","-1","GET","2893","2893","","0.19","-1","-1","cdnjs.cloudflare.com","100","-1","https://m.yelp.com/","2","2291","/ajax/libs/react/16.4.0/umd/react.production.min.js","100","","Cloudflare","2597","2512","2533","2533","2597","64","2512","2597","85","5","6","1","0","public, max-age=30672000","h2","high","","br","Sat, 26 Oct 2019 00:38:40 GMT","","",
"104.19.196.151","124","","","-1","-1","Script","3","2326","2512","application/javascript","0","1","","100","2413","https://cdnjs.cloudflare.com/ajax/libs/babel-polyfill/6.23.0/polyfill.min.js","65","2413","200","99","","31620","92","211","","181105_SW_7","2391","39","2393","100","30672000","97798","2513","20","GET","31543","31543","","0.17","-1","-1","cdnjs.cloudflare.com","100","-1","https://m.yelp.com/","2","2291","/ajax/libs/babel-polyfill/6.23.0/polyfill.min.js","100","","Cloudflare","2637","2513","2552","2552","2637","85","2326","2637","308","6","7","1","0","public, max-age=30672000","h2","high","","br","Sat, 26 Oct 2019 00:38:40 GMT","","",
"104.19.196.151","99","","","-1","-1","Script","3","2326","2513","application/javascript","0","1","","100","2415","https://cdnjs.cloudflare.com/ajax/libs/jquery/1.8.3/jquery.min.js","65","2415","200","98","","32752","92","183","","181105_SW_7","2391","50","2392","100","30672000","93636","2513","23","GET","32437","32437","","0.18","-1","-1","cdnjs.cloudflare.com","100","-1","https://m.yelp.com/","3","2291","/ajax/libs/jquery/1.8.3/jquery.min.js","100","","Cloudflare","2612","2513","2563","2563","2612","49","2326","2612","285","7","8","1","0","public, max-age=30672000","h2","high","","br","Sat, 26 Oct 2019 00:38:40 GMT","","",
"151.101.46.2","103","4059","","-1","100","Image","3","2322","2515","image/jpeg","","1","","-1","2417","https://s3-media4.fl.yelpcdn.com/bphoto/dRrcXZNN6tDAxF4H4ggFIw/120s.jpg","64","2417","200","98","0","4609","92","233","","181105_SW_7","2386","33","2388","100","315360000","4059","2516","29","GET","4059","","","0.11","-1","-1","s3-media4.fl.yelpcdn.com","100","-1","https://m.yelp.com/","4","2288","/bphoto/dRrcXZNN6tDAxF4H4ggFIw/120s.jpg","100","","Fastly","2619","2516","2549","2549","2619","70","2322","2619","294","8","9","1","0","max-age=315360000, immutable","h2","low","","","","10","100",
"151.101.46.2","124","24232","","-1","100","Image","3","-1","-1","image/png","","1","","-1","-1","https://s3-media4.fl.yelpcdn.com/assets/2/mobile/img/a072191b5096/mobile/menu/signup_mobile.png","-1","-1","200","-1","0","24786","92","59","","181105_SW_7","-1","33","-1","100","315360000","24232","2517","-1","GET","24232","","","0.12","-1","-1","s3-media4.fl.yelpcdn.com","100","-1","https://m.yelp.com/","4","2289","/assets/2/mobile/img/a072191b5096/mobile/menu/signup_mobile.png","100","","Fastly","2641","2517","2550","2550","2641","91","2517","2641","124","9","10","1","0","max-age=315360000, immutable","h2","low","","","","","",
