timestamp,inter_arrival_time,seq,ack,flag_CWR,flag_ECE,flag_URG,flag_ACK,flag_PSH,flag_RST,flag_SYN,flag_FIN,window_size,urgent_pointer,tcp_header_size,tcp_payload_size,ip_header_size,ip_id,ip_tos,ip_df,ip_mf,ip_offset
1541378320.795693,nan,870110670,0,0,0,0,0,0,0,1,0,65535,0,44,0,5,0,0,1,0,0
1541378320.847088,0.05139517784118652,870110671,1547428896,0,0,0,1,0,0,0,0,2058,0,32,0,5,0,0,1,0,0
1541378320.848633,0.001544952392578125,870110671,1547428896,0,0,0,1,1,0,0,0,2058,0,32,234,5,0,0,1,0,0
1541378320.89757,0.04893684387207031,870110905,1547431792,0,0,0,1,0,0,0,0,2013,0,32,0,5,0,0,1,0,0
1541378320.897573,3.0994415283203125e-06,870110905,1547433643,0,0,0,1,0,0,0,0,1984,0,32,0,5,0,0,1,0,0
1541378320.898243,0.0006699562072753906,870110905,1547433643,0,0,0,1,0,0,0,0,2048,0,32,0,5,0,0,1,0,0
1541378321.015753,0.11751008033752441,870110905,1547433643,0,0,0,1,1,0,0,0,2048,0,32,126,5,0,0,1,0,0
1541378321.061755,0.04600191116333008,870111031,1547433694,0,0,0,1,0,0,0,0,2047,0,32,0,5,0,0,1,0,0
1541378321.061771,1.5974044799804688e-05,870111031,1547433763,0,0,0,1,0,0,0,0,2046,0,32,0,5,0,0,1,0,0
1541378321.064135,0.0023641586303710938,870111031,1547433763,0,0,0,1,1,0,0,0,2048,0,32,53,5,0,0,1,0,0
1541378321.06419,5.4836273193359375e-05,870111084,1547433763,0,0,0,1,1,0,0,0,2048,0,32,50,5,0,0,1,0,0
1541378321.064256,6.604194641113281e-05,870111134,1547433763,0,0,0,1,1,0,0,0,2048,0,32,42,5,0,0,1,0,0
1541378321.064319,6.29425048828125e-05,870111176,1547433763,0,0,0,1,1,0,0,0,2048,0,32,198,5,0,0,1,0,0
1541378321.064472,0.00015306472778320312,870111374,1547433763,0,0,0,1,1,0,0,0,2048,0,32,38,5,0,0,1,0,0
1541378321.100468,0.0359959602355957,870111412,1547433801,0,0,0,1,0,0,0,0,2047,0,32,0,5,0,0,1,0,0
1541378321.111985,0.011517047882080078,870111412,1547436697,0,0,0,1,0,0,0,0,2002,0,32,0,5,0,0,1,0,0
1541378321.111999,1.4066696166992188e-05,870111412,1547439593,0,0,0,1,0,0,0,0,1957,0,32,0,5,0,0,1,0,0
1541378321.112001,1.9073486328125e-06,870111412,1547439739,0,0,0,1,0,0,0,0,1955,0,32,0,5,0,0,1,0,0
1541378321.112004,3.0994415283203125e-06,870111412,1547439777,0,0,0,1,0,0,0,0,1954,0,32,0,5,0,0,1,0,0
1541378321.112194,0.0001900196075439453,870111412,1547439777,0,0,0,1,0,0,0,0,2048,0,32,0,5,0,0,1,0,0
1541378323.439208,2.3270139694213867,870111412,1547439777,0,0,0,1,1,0,0,0,2048,0,32,140,5,0,0,1,0,0
1541378323.477518,0.03831005096435547,870111552,1547440503,0,0,0,1,0,0,0,0,2036,0,32,0,5,0,0,1,0,0
