id,start_time,end_time,duration,src_ip,src_port,dst_ip,dst_port,total_bytes,total_message_bytes,avg_inter_arrival_time,median_inter_arrival_time,std_inter_arrival_time,num_packets,src_names,dst_names
0,1541378318.017687,1541378318.017687,0.0,192.168.1.67,58781,151.101.44.116,443,52,0,nan,nan,nan,1,"{'localhost', '192.168.1.67'}",{'151.101.44.116'}
1,1541378318.129882,1541378318.463505,0.33362293243408203,192.168.1.67,58782,151.101.44.116,443,1517,725,0.023830209459577287,0.0006043910980224609,0.0379732204364492,15,"{'localhost', '192.168.1.67'}","{'151.101.44.116', 'yelp-com.map.fastly.net', 'www.yelp.com'}"
2,1541378318.174369,1541378318.559992,0.3856229782104492,151.101.44.116,443,192.168.1.67,58782,6952,6372,0.03856229782104492,0.0017174482345581055,0.051809350998691675,11,"{'151.101.44.116', 'yelp-com.map.fastly.net', 'www.yelp.com'}","{'localhost', '192.168.1.67'}"
3,1541378319.511135,1541378323.089338,3.578202962875366,192.168.1.67,58783,151.101.44.116,443,12905,10761,0.08945507407188416,0.0005099773406982422,0.3077944713642196,41,"{'localhost', '192.168.1.67'}","{'151.101.44.116', 'yelp-com.map.fastly.net', 'm.yelp.com', 'www.yelp.com'}"
4,1541378319.54545,1541378323.088527,3.543076992034912,151.101.44.116,443,192.168.1.67,58783,41868,39496,0.08052447709170255,0.0002315044403076172,0.30588214277547904,45,"{'151.101.44.116', 'yelp-com.map.fastly.net', 'm.yelp.com', 'www.yelp.com'}","{'localhost', '192.168.1.67'}"
5,1541378320.140039,1541378321.940372,1.800333023071289,192.168.1.67,58784,151.101.46.2,443,3910,1350,0.037506937980651855,0.0003185272216796875,0.18377233652950953,49,"{'localhost', '192.168.1.67'}","{'151.101.46.2', 's3-media2.fl.yelpcdn.com', 'f2.shared.global.fastly.net', 's3-media1.fl.yelpcdn.com', 's3-media3.fl.yelpcdn.com'}"
6,1541378320.142104,1541378320.783626,0.6415221691131592,192.168.1.67,58785,151.101.46.2,443,4050,1074,0.011455753019877843,0.00034546852111816406,0.03050482522329023,57,"{'localhost', '192.168.1.67'}","{'151.101.46.2', 's3-media2.fl.yelpcdn.com', 'f2.shared.global.fastly.net', 's3-media1.fl.yelpcdn.com', 's3-media3.fl.yelpcdn.com'}"
7,1541378320.144687,1541378321.960059,1.8153719902038574,192.168.1.67,58786,151.101.46.2,443,7230,1862,0.01779776460984174,0.0001933574676513672,0.08394338182298475,103,"{'localhost', '192.168.1.67'}","{'s3-media4.fl.yelpcdn.com', 's3-media2.fl.yelpcdn.com', 'f2.shared.global.fastly.net', '151.101.46.2', 's3-media1.fl.yelpcdn.com', 's3-media3.fl.yelpcdn.com'}"
8,1541378320.145464,1541378320.603171,0.45770716667175293,192.168.1.67,58787,151.101.46.2,443,3349,1257,0.011736081196711613,0.0005459785461425781,0.032538076330325676,40,"{'localhost', '192.168.1.67'}","{'s3-media4.fl.yelpcdn.com', 's3-media2.fl.yelpcdn.com', 'f2.shared.global.fastly.net', '151.101.46.2', 's3-media1.fl.yelpcdn.com', 's3-media3.fl.yelpcdn.com'}"
9,1541378320.16326,1541378320.366088,0.20282793045043945,192.168.1.67,58788,151.101.46.2,443,2617,889,0.006338372826576233,0.00028705596923828125,0.01155491249477957,33,"{'localhost', '192.168.1.67'}","{'s3-media4.fl.yelpcdn.com', 's3-media2.fl.yelpcdn.com', 'f2.shared.global.fastly.net', '151.101.46.2', 's3-media1.fl.yelpcdn.com', 's3-media3.fl.yelpcdn.com'}"
10,1541378320.164688,1541378320.338152,0.1734638214111328,192.168.1.67,58789,104.19.196.151,443,2002,738,0.005782127380371094,7.390975952148438e-05,0.011996882271435345,31,"{'localhost', '192.168.1.67'}","{'104.19.196.151', 'cdnjs.cloudflare.com'}"
11,1541378320.165053,1541378321.92116,1.7561070919036865,151.101.46.2,443,192.168.1.67,58784,63194,60586,0.03583892024293238,0.00041103363037109375,0.18718946266435912,50,"{'s3-media4.fl.yelpcdn.com', 's3-media2.fl.yelpcdn.com', 'f2.shared.global.fastly.net', '151.101.46.2', 's3-media1.fl.yelpcdn.com', 's3-media3.fl.yelpcdn.com'}","{'localhost', '192.168.1.67'}"
12,1541378320.165056,1541378320.783351,0.6182949542999268,151.101.46.2,443,192.168.1.67,58785,85995,82555,0.009512230066152719,0.0004181861877441406,0.03401498511363868,66,"{'s3-media4.fl.yelpcdn.com', 's3-media2.fl.yelpcdn.com', 'f2.shared.global.fastly.net', '151.101.46.2', 's3-media1.fl.yelpcdn.com', 's3-media3.fl.yelpcdn.com'}","{'localhost', '192.168.1.67'}"
13,1541378320.165865,1541378320.338661,0.17279601097106934,192.168.1.67,58790,104.19.196.151,443,3056,952,0.0033881570778641046,0.00020003318786621094,0.009656638188388009,52,"{'localhost', '192.168.1.67'}","{'104.19.196.151', 'cdnjs.cloudflare.com'}"
