"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","cacheControl","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","protocol","priority","contentType","is_base_page","contentEncoding","expires","jpeg_scan_count","score_progressive_jpeg",
"","634","","","-1","-1","Document","3","-1","-1","","1","","-1","-1","https://netflix.com/","-1","-1","301","-1","","931","","0","","no-cache, no-store","181105_TB_Q","-1","634","-1","-1","","0","0","-1","GET","0","","","0.2","-1","-1","netflix.com","-1","-1","","-1","0","/","-1","","","634","0","634","634","634","0","0","634","634","0","1","1","0","","","","","","","","",
"35.166.68.183","894","","","-1","-1","Document","3","-1","-1","0","1","","100","-1","https://www.netflix.com/","-1","-1","200","-1","","75710","","829","","no-cache, no-store, must-revalidate","181105_TB_Q","-1","253","-1","-1","","295673","634","-1","GET","72867","72867","","0.2.1","-1","-1","www.netflix.com","100","-1","","1","634","/","-1","","","1528","634","887","887","1528","641","634","1528","894","1","2","1","0","http/1.1","high","text/html; charset=utf-8","1","gzip","0","","",
"35.166.68.183","145","","","-1","-1","Stylesheet","3","1475","1657","","1","","-1","1567","https://www.netflix.com/ichnaea/cl2/freeform/WebsiteDetect?source=wwwhead&fetchType=css&modalView=nmLanding","4","1567","200","90","","1156","1","1225","","no-cache, no-store, no-transform, max-age=0","181105_TB_Q","1479","104","1479","-1","","0","1658","88","GET","0","","","0.5","-1","-1","www.netflix.com","100","-1","https://www.netflix.com/","2","1462","/ichnaea/cl2/freeform/WebsiteDetect?source=wwwhead&fetchType=css&modalView=nmLanding","-1","","","1803","1658","1762","1762","1803","41","1475","1803","327","2","3","1","0","http/1.1","high","text/plain","","","Sun, 04 Nov 2018 01:01:53 GMT","","",
"23.64.92.98","88","","","-1","-1","Script","3","1461","1736","0","1","","100","1589","https://codex.nflxext.com/%5E2.0.0/truthBundle/webui/0.0.1-shakti-js-mk-vc2328289/js/js/bootstrap.js,common%7Cbootstrap.js/2/4_044v4t4e4I094a4B4Z070u014-4A4y0e4R4P4N4j4C4r4F4l4k19034V/bck/true/none","84","1589","200","147","","4596","1","470","","private, max-age=16070400","181105_TB_Q","1545","57","1546","100","16070400","7716","1737","43","GET","2992","2992","","0.3","-1","-1","codex.nflxext.com","100","-1","https://www.netflix.com/","3","1460","/%5E2.0.0/truthBundle/webui/0.0.1-shakti-js-mk-vc2328289/js/js/bootstrap.js,common%7Cbootstrap.js/2/4_044v4t4e4I094a4B4Z070u014-4A4y0e4R4P4N4j4C4r4F4l4k19034V/bck/true/none","100","","Akamai","1825","1737","1794","1794","1825","31","1461","1825","362","3","4","1","0","http/1.1","high","application/javascript; charset=UTF-8","","gzip","Sun, 05 May 2019 20:35:02 GMT","","",
"23.64.92.98","1117","180650","","-1","62","Image","3","-1","-1","","1","","-1","-1","https://assets.nflxext.com/ffe/siteui/vlv3/9bfaf80d-e7f2-4a34-8b03-83e767b4babb/491149fe-cdf2-493d-b60a-d6ea904b4b02/US-en-20181029-popsignuptwoweeks-montage_500x800.jpg","-1","-1","200","-1","67526","180923","1","118","","public, max-age=45601087","181105_TB_Q","-1","206","-1","100","45601087","180650","1745","-1","GET","180650","","","0.10","-1","-1","assets.nflxext.com","100","-1","https://www.netflix.com/","5","1464","/ffe/siteui/vlv3/9bfaf80d-e7f2-4a34-8b03-83e767b4babb/491149fe-cdf2-493d-b60a-d6ea904b4b02/US-en-20181029-popsignuptwoweeks-montage_500x800.jpg","100","","Akamai","2862","1745","1951","1951","2862","911","1745","2862","1117","4","5","1","0","h2","low","image/jpeg","","","Wed, 15 Apr 2020 20:00:00 GMT","14","100",
"23.64.92.98","413","79259","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://assets.nflxext.com/ffe/siteui/acquisition/ourStory/v5/no-commitments.png","-1","-1","200","-1","0","79530","1","53","","public, max-age=45601087","181105_TB_Q","-1","178","-1","100","45601087","79259","1746","-1","GET","79259","","","0.9","-1","-1","assets.nflxext.com","100","-1","https://www.netflix.com/","5","1464","/ffe/siteui/acquisition/ourStory/v5/no-commitments.png","100","","Akamai","2159","1746","1924","1924","2159","235","1746","2159","413","5","6","1","0","h2","low","image/png","","","Wed, 15 Apr 2020 20:00:00 GMT","","",
"23.64.92.98","401","74802","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://assets.nflxext.com/ffe/siteui/acquisition/ourStory/v5/downloads.png","-1","-1","200","-1","0","75073","1","50","","public, max-age=45601087","181105_TB_Q","-1","105","-1","100","45601087","74802","1747","-1","GET","74802","","","0.8","-1","-1","assets.nflxext.com","100","-1","https://www.netflix.com/","5","1464","/ffe/siteui/acquisition/ourStory/v5/downloads.png","100","","Akamai","2148","1747","1852","1852","2148","296","1747","2148","401","6","7","1","0","h2","low","image/png","","","Wed, 15 Apr 2020 20:00:00 GMT","","",
"23.64.92.98","413","81205","","-1","100","Image","3","1472","1735","","1","","-1","1591","https://assets.nflxext.com/ffe/siteui/acquisition/ourStory/v5/devices.png","69","1591","200","144","0","81476","1","236","","public, max-age=45601087","181105_TB_Q","1541","53","1549","100","45601087","81205","1748","42","GET","81205","","","0.7","-1","-1","assets.nflxext.com","100","-1","https://www.netflix.com/","5","1464","/ffe/siteui/acquisition/ourStory/v5/devices.png","100","","Akamai","2161","1748","1801","1801","2161","360","1472","2161","668","7","8","1","0","h2","low","image/png","","","Wed, 15 Apr 2020 20:00:00 GMT","","",
"35.166.68.183","158","","","-1","-1","XHR","3","-1","-1","","1","","-1","-1","https://www.netflix.com/ichnaea/cl2/freeform/WebsiteDetect?source=wwwhead&fetchType=js&modalView=nmLanding","-1","-1","200","-1","","1155","1","1209","","no-cache, no-store, no-transform, max-age=0","181105_TB_Q","-1","127","-1","-1","","0","1817","-1","GET","0","","1452","0.11","-1","-1","www.netflix.com","100","-1","https://www.netflix.com/","1","1816","/ichnaea/cl2/freeform/WebsiteDetect?source=wwwhead&fetchType=js&modalView=nmLanding","-1","","","1975","1817","1944","1944","1975","31","1817","1975","158","8","9","1","0","http/1.1","medium","text/plain","","","Sun, 04 Nov 2018 01:01:53 GMT","","",
"35.166.68.183","157","","","-1","-1","XHR","3","-1","-1","","1","","-1","-1","https://www.netflix.com/ichnaea/cl2/freeform/WebsiteScreen?source=wwwhead&fetchType=js&winw=0&winh=0&screenw=375&screenh=603&ratio=2","-1","-1","200","-1","","1181","1","1235","","no-cache, no-store, no-transform, max-age=0","181105_TB_Q","-1","134","-1","-1","","0","1818","-1","GET","0","","1817","0.12","-1","-1","www.netflix.com","100","-1","https://www.netflix.com/","2","1816","/ichnaea/cl2/freeform/WebsiteScreen?source=wwwhead&fetchType=js&winw=0&winh=0&screenw=375&screenh=603&ratio=2","-1","","","1975","1818","1952","1952","1975","23","1818","1975","157","9","10","1","0","http/1.1","medium","text/plain","","","Sun, 04 Nov 2018 01:01:53 GMT","","",
