id,start_time,end_time,duration,src_ip,src_port,dst_ip,dst_port,total_bytes,total_message_bytes,avg_inter_arrival_time,median_inter_arrival_time,std_inter_arrival_time,num_packets,src_names,dst_names
0,1541379679.020854,1541379679.036073,0.015218973159790039,192.168.1.67,59660,34.203.129.205,443,156,0,0.0076094865798950195,0.0076094865798950195,0.007594466209411621,3,"{'localhost', '192.168.1.67'}",{'34.203.129.205'}
1,1541379679.035805,1541379679.035805,0.0,34.203.129.205,443,192.168.1.67,59660,1423,1371,nan,nan,nan,1,{'34.203.129.205'},"{'localhost', '192.168.1.67'}"
2,1541379679.139989,1541379681.871504,2.7315151691436768,192.168.1.67,59661,157.240.18.174,443,7164,1172,0.023960659378453306,2.5391578674316406e-05,0.15639960469001923,115,"{'localhost', '192.168.1.67'}","{'157.240.18.174', 'www.instagram.com', 'z-p42-instagram.c10r.facebook.com'}"
3,1541379679.170129,1541379681.871257,2.7011280059814453,157.240.18.174,443,192.168.1.67,59661,217273,208737,0.016571337460008866,0.00023317337036132812,0.13537144422890204,164,"{'157.240.18.174', 'www.instagram.com', 'z-p42-instagram.c10r.facebook.com'}","{'localhost', '192.168.1.67'}"
4,1541379679.410734,1541379679.410734,0.0,192.168.1.67,59658,104.244.42.194,443,40,0,nan,nan,nan,1,"{'localhost', '192.168.1.67'}",{'104.244.42.194'}
5,1541379679.491499,1541379679.858107,0.3666081428527832,192.168.1.67,59662,157.240.18.174,443,11293,1245,0.0019094174106915791,1.2636184692382812e-05,0.006467656290557266,193,"{'localhost', '192.168.1.67'}","{'157.240.18.174', 'www.instagram.com', 'z-p42-instagram.c10r.facebook.com'}"
6,1541379679.514047,1541379679.855535,0.3414881229400635,157.240.18.174,443,192.168.1.67,59662,408937,393537,0.001157586857423944,0.00014019012451171875,0.005464570684456386,296,"{'157.240.18.174', 'www.instagram.com', 'z-p42-instagram.c10r.facebook.com'}","{'localhost', '192.168.1.67'}"
7,1541379679.545875,1541379679.647738,0.10186290740966797,192.168.1.67,59663,157.240.2.52,443,794,366,0.014551843915666853,0.01582479476928711,0.013301276220387464,8,"{'localhost', '192.168.1.67'}","{'157.240.2.52', 'instagram.c10r.facebook.com', 'graph.instagram.com'}"
8,1541379679.57128,1541379679.644466,0.07318592071533203,157.240.2.52,443,192.168.1.67,59663,3962,3590,0.012197653452555338,0.0014244318008422852,0.016472731685050944,7,"{'157.240.2.52', 'instagram.c10r.facebook.com', 'graph.instagram.com'}","{'localhost', '192.168.1.67'}"
9,1541379680.663917,1541379680.922743,0.25882601737976074,192.168.1.67,59664,157.240.2.25,443,3151,799,0.005882409485903653,0.00017595291137695312,0.012567394726403473,45,"{'localhost', '192.168.1.67'}","{'157.240.2.25', 'scontent.xx.fbcdn.net'}"
10,1541379680.697972,1541379680.937028,0.23905587196350098,157.240.2.25,443,192.168.1.67,59664,68075,65207,0.004426960591916685,0.00019490718841552734,0.011494057650394943,55,"{'157.240.2.25', 'scontent.xx.fbcdn.net'}","{'localhost', '192.168.1.67'}"
11,1541379681.326608,1541379681.691155,0.3645470142364502,192.168.1.67,59665,157.240.2.25,443,2544,920,0.012151567141215007,0.00024390220642089844,0.02897338351627284,31,"{'localhost', '192.168.1.67'}","{'157.240.2.25', 'scontent.xx.fbcdn.net'}"
12,1541379681.347887,1541379681.69078,0.3428928852081299,157.240.2.25,443,192.168.1.67,59665,29885,28369,0.012246174471718925,0.0002734661102294922,0.03913639638116985,29,"{'157.240.2.25', 'scontent.xx.fbcdn.net'}","{'localhost', '192.168.1.67'}"
13,1541379681.399129,1541379681.594254,0.19512510299682617,192.168.1.67,59666,157.240.18.35,443,1957,1061,0.012195318937301636,0.0003510713577270508,0.015786923534315597,17,"{'localhost', '192.168.1.67'}","{'star-mini.c10r.facebook.com', '157.240.18.35'}"
14,1541379681.429673,1541379681.594106,0.16443300247192383,157.240.18.35,443,192.168.1.67,59666,4472,3892,0.016443300247192382,0.0008814334869384766,0.020977734291317853,11,"{'star-mini.c10r.facebook.com', '157.240.18.35'}","{'localhost', '192.168.1.67'}"
15,1541379682.146649,1541379682.375226,0.2285771369934082,192.168.1.67,59667,157.240.2.52,443,11458,10302,0.010884625571114677,0.0001499652862548828,0.02317833837436538,22,"{'localhost', '192.168.1.67'}","{'157.240.2.52', 'instagram.c10r.facebook.com', 'graph.instagram.com'}"
16,1541379682.170173,1541379682.374934,0.20476102828979492,157.240.2.52,443,192.168.1.67,59667,4778,4094,0.017063419024149578,0.005741477012634277,0.023060663642859202,13,"{'157.240.2.52', 'instagram.c10r.facebook.com', 'graph.instagram.com'}","{'localhost', '192.168.1.67'}"
