"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","contentType","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","cacheControl","expires","protocol","priority","is_base_page","contentEncoding","jpeg_scan_count","score_progressive_jpeg",
"","1661","","","-1","-1","Document","3","-1","-1","text/html; charset=UTF-8","","1","","-1","-1","https://samsung.com/","-1","-1","301","-1","","0","","0","","181105_V0_Y","-1","1661","-1","-1","","0","0","-1","GET","0","","","0.2","-1","-1","samsung.com","-1","-1","","-1","0","/","-1","","","1661","0","1661","1661","1661","0","0","1661","1661","0","1","1","0","","","","","","","","",
"","248","","","-1","-1","Document","3","-1","-1","","","0","","-1","-1","http://www.samsung.com/","-1","-1","301","-1","","312","","0","","181105_V0_Y","-1","248","-1","-1","","0","1661","-1","GET","0","","","0.2.1","-1","-1","www.samsung.com","-1","-1","","-1","1661","/","-1","","","1909","1661","1909","1909","1909","0","1661","1909","248","1","2","1","0","max-age=0, no-cache, no-store","Mon, 05 Nov 2018 01:09:26 GMT","","","","","","",
"","175","","","-1","-1","Document","3","-1","-1","","","1","","-1","-1","https://www.samsung.com/","-1","-1","301","-1","","318","","0","","181105_V0_Y","-1","175","-1","-1","","0","1909","-1","GET","0","","","0.2.2","-1","-1","www.samsung.com","-1","-1","","-1","1909","/","-1","","","2084","1909","2084","2084","2084","0","1909","2084","175","2","3","1","0","max-age=0, no-cache, no-store","Mon, 05 Nov 2018 01:09:26 GMT","","","","","","",
"104.78.227.242","232","","","-1","-1","Document","3","-1","-1","text/html; charset=UTF-8","0","1","","100","-1","https://www.samsung.com/us/","-1","-1","200","-1","","78545","","903","","181105_V0_Y","-1","136","-1","100","","518032","2084","-1","GET","77652","77856","","0.2.3","-1","-1","www.samsung.com","100","-1","","1","2084","/us/","-1","","Akamai","2316","2084","2220","2220","2316","96","2084","2316","232","3","4","1","0","private, max-age=3525","","h2","high","1","gzip","","",
"104.78.227.242","164","","","-1","-1","Stylesheet","3","-1","-1","text/css","0","1","","100","-1","https://www.samsung.com/us/smg/etc/designs/smg/global/gnb_clientlib.553b7ed629d762ded1bd0e23542687e7.css","-1","-1","200","-1","","41367","46","200","","181105_V0_Y","-1","94","-1","100","31536000","235852","2252","-1","GET","40963","40963","","0.3","-1","-1","www.samsung.com","100","-1","https://www.samsung.com/us/","1","2249","/us/smg/etc/designs/smg/global/gnb_clientlib.553b7ed629d762ded1bd0e23542687e7.css","100","","Akamai","2416","2252","2346","2346","2416","70","2252","2416","164","4","5","1","0","private, max-age=31536000","Tue, 05 Nov 2019 01:09:27 GMT","h2","high","","gzip","","",
"104.78.227.242","217","","","-1","-1","Script","3","-1","-1","text/javascript","0","1","","100","-1","https://www.samsung.com/us/smg/etc/designs/samsung/global/clientlibs_root.353528039b5ecda33222d9613dc1db30.js","-1","-1","200","-1","","68513","103","81","","181105_V0_Y","-1","79","-1","100","31536000","181844","2300","-1","GET","68101","68101","","0.4","-1","-1","www.samsung.com","100","-1","https://www.samsung.com/us/","1","2299","/us/smg/etc/designs/samsung/global/clientlibs_root.353528039b5ecda33222d9613dc1db30.js","100","","Akamai","2517","2300","2379","2379","2517","138","2300","2517","217","5","6","1","0","private, max-age=31536000","Tue, 05 Nov 2019 01:09:27 GMT","h2","high","","gzip","","",
"104.78.227.242","590","","","-1","-1","Script","3","-1","-1","text/javascript","0","1","","100","-1","https://www.samsung.com/us/smg/etc/designs/samsung/global/component/gnb.f080760227171a030a2305422a8adf0f.js","-1","-1","200","-1","","61265","103","75","","181105_V0_Y","-1","83","-1","100","31536000","193331","2359","-1","GET","60853","60853","","0.16","-1","-1","www.samsung.com","100","-1","https://www.samsung.com/us/","1","2319","/us/smg/etc/designs/samsung/global/component/gnb.f080760227171a030a2305422a8adf0f.js","100","","Akamai","2949","2359","2442","2442","2949","507","2359","2949","590","6","7","1","0","private, max-age=31536000","Tue, 05 Nov 2019 01:09:27 GMT","h2","high","","gzip","","",
"104.78.227.242","154","","","-1","-1","Script","3","-1","-1","text/javascript","0","1","","100","-1","https://www.samsung.com/us/smg/etc/designs/samsung/global/common/blurLoad.882dc5be22fdcf61c1cc9d411dfa7f83.js","-1","-1","200","-1","","1051","103","77","","181105_V0_Y","-1","104","-1","100","31536000","2210","2359","-1","GET","646","646","","0.18","-1","-1","www.samsung.com","100","-1","https://www.samsung.com/us/","1","2320","/us/smg/etc/designs/samsung/global/common/blurLoad.882dc5be22fdcf61c1cc9d411dfa7f83.js","100","","Akamai","2513","2359","2463","2463","2513","50","2359","2513","154","7","8","1","0","private, max-age=31536000","Tue, 05 Nov 2019 01:09:27 GMT","h2","high","","gzip","","",
"104.78.227.242","140","","","-1","-1","Script","3","-1","-1","text/javascript","0","1","","100","-1","https://www.samsung.com/us/smg/etc/designs/samsung/global/global_bottom_clientlib.3d20f608c033621391b049dfdedfba8a.js","-1","-1","200","-1","","20048","103","82","","181105_V0_Y","-1","61","-1","100","31536000","58826","2360","-1","GET","19639","19639","","0.15","-1","-1","www.samsung.com","100","-1","https://www.samsung.com/us/","1","2319","/us/smg/etc/designs/samsung/global/global_bottom_clientlib.3d20f608c033621391b049dfdedfba8a.js","100","","Akamai","2500","2360","2421","2421","2500","79","2360","2500","140","8","9","1","0","private, max-age=31536000","Tue, 05 Nov 2019 01:09:27 GMT","h2","high","","gzip","","",
"104.78.227.242","593","","","-1","-1","Script","3","-1","-1","text/javascript","0","1","","100","-1","https://www.samsung.com/us/smg/etc/designs/samsung/global/templates/homepage.0806baa014a810227c237c875619e994.js","-1","-1","200","-1","","89106","103","78","","181105_V0_Y","-1","109","-1","100","31536000","314043","2360","-1","GET","88695","88695","","0.17","-1","-1","www.samsung.com","100","-1","https://www.samsung.com/us/","1","2320","/us/smg/etc/designs/samsung/global/templates/homepage.0806baa014a810227c237c875619e994.js","100","","Akamai","2953","2360","2469","2469","2953","484","2360","2953","593","9","10","1","0","private, max-age=31536000","Tue, 05 Nov 2019 01:09:27 GMT","h2","high","","gzip","","",
