"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","protocol","priority","contentType","is_base_page","cacheControl","contentEncoding","expires",
"","459","","","-1","-1","Document","3","-1","-1","","1","","-1","-1","https://twitter.com/","-1","-1","302","-1","","445","","0","","181105_W2_N","-1","459","-1","-1","","0","0","-1","GET","0","","","0.2","-1","-1","twitter.com","-1","-1","","-1","0","/","-1","","","459","0","459","459","459","0","0","459","459","0","1","1","0","","","","","","","",
"199.16.156.43","500","","","-1","-1","Document","3","-1","-1","0","1","","100","-1","https://mobile.twitter.com/","-1","-1","200","-1","","9673","","421","","181105_W2_N","-1","467","-1","100","","22439","459","-1","GET","7472","7472","","0.2.1","-1","-1","mobile.twitter.com","100","-1","","1","459","/","-1","","Twitter","959","459","926","926","959","33","459","959","500","1","2","1","0","h2","high","text/html; charset=utf-8","1","no-cache, no-store, must-revalidate, pre-check=0, post-check=0","gzip","",
"72.21.91.70","72","","","-1","-1","Script","3","945","1172","0","1","","100","1054","https://abs.twimg.com/responsive-web/web/ltr/runtime.4c7df3087f314516.js","64","1054","200","118","","1363","17","219","","181105_W2_N","1009","29","1012","100","31536000","1548","1173","42","GET","862","862","","0.3","-1","-1","abs.twimg.com","100","-1","https://mobile.twitter.com/","2","934","/responsive-web/web/ltr/runtime.4c7df3087f314516.js","100","","Twitter","1245","1173","1202","1202","1245","43","945","1245","296","2","3","1","0","h2","high","application/javascript; charset=utf-8","","","gzip","Tue, 05 Nov 2019 01:00:03 GMT",
"72.21.91.70","197","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://abs.twimg.com/responsive-web/web/ltr/main.4d3490f7b2722dc2.js","-1","-1","200","-1","","171726","20","51","","181105_W2_N","-1","30","-1","100","31536000","580115","1173","-1","GET","171220","171220","","0.6","-1","-1","abs.twimg.com","100","-1","https://mobile.twitter.com/","2","935","/responsive-web/web/ltr/main.4d3490f7b2722dc2.js","100","","Twitter","1370","1173","1203","1203","1370","167","1173","1370","197","3","4","1","0","h2","high","application/javascript; charset=utf-8","","","gzip","Tue, 05 Nov 2019 01:00:03 GMT",
"72.21.91.70","120","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://abs.twimg.com/responsive-web/web/ltr/i18n/en.602dc3b303e11234.js","-1","-1","200","-1","","36985","19","53","","181105_W2_N","-1","73","-1","100","31536000","208601","1174","-1","GET","36480","36480","","0.5","-1","-1","abs.twimg.com","100","-1","https://mobile.twitter.com/","2","935","/responsive-web/web/ltr/i18n/en.602dc3b303e11234.js","100","","Twitter","1294","1174","1247","1247","1294","47","1174","1294","120","4","5","1","0","h2","high","application/javascript; charset=utf-8","","","gzip","Tue, 05 Nov 2019 01:00:03 GMT",
"72.21.91.70","252","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://abs.twimg.com/responsive-web/web/ltr/vendor.f8ff9ebb6b9f43e9.js","-1","-1","200","-1","","125882","18","53","","181105_W2_N","-1","78","-1","100","31536000","407482","1174","-1","GET","125376","125376","","0.4","-1","-1","abs.twimg.com","100","-1","https://mobile.twitter.com/","2","935","/responsive-web/web/ltr/vendor.f8ff9ebb6b9f43e9.js","100","","Twitter","1426","1174","1252","1252","1426","174","1174","1426","252","5","6","1","0","h2","high","application/javascript; charset=utf-8","","","gzip","Tue, 05 Nov 2019 01:00:03 GMT",
"72.21.91.70","229","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://abs.twimg.com/responsive-web/web/ltr/shared.45e7436d617efede.js","-1","-1","200","-1","","180068","1","191","","181105_W2_N","-1","33","-1","100","31536000","620875","2495","-1","GET","179562","179562","1035","0.7","-1","-1","abs.twimg.com","100","-1","https://abs.twimg.com/responsive-web/web/ltr/runtime.4c7df3087f314516.js","3","2494","/responsive-web/web/ltr/shared.45e7436d617efede.js","100","","Twitter","2724","2495","2528","2528","2724","196","2495","2724","229","6","7","1","0","h2","high","application/javascript; charset=utf-8","","","gzip","Tue, 05 Nov 2019 01:00:04 GMT",
"72.21.91.70","224","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://abs.twimg.com/responsive-web/web/ltr/loader.SearchBox.ce5fd3d61001c196.js","-1","-1","200","-1","","8310","1","61","","181105_W2_N","-1","29","-1","100","31536000","25656","2496","-1","GET","7807","7807","1035","0.8","-1","-1","abs.twimg.com","100","-1","https://abs.twimg.com/responsive-web/web/ltr/runtime.4c7df3087f314516.js","3","2495","/responsive-web/web/ltr/loader.SearchBox.ce5fd3d61001c196.js","100","","Twitter","2720","2496","2525","2525","2720","195","2496","2720","224","7","8","1","0","h2","high","application/javascript; charset=utf-8","","","gzip","Tue, 05 Nov 2019 01:00:04 GMT",
"72.21.91.70","118","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://abs.twimg.com/responsive-web/web/ltr/bundle.LoggedOutHomeV2.addf95655bc8a9e0.js","-1","-1","200","-1","","5983","1","63","","181105_W2_N","-1","69","-1","100","31536000","16838","2608","-1","GET","5480","5480","1035","0.9","-1","-1","abs.twimg.com","100","-1","https://abs.twimg.com/responsive-web/web/ltr/runtime.4c7df3087f314516.js","3","2606","/responsive-web/web/ltr/bundle.LoggedOutHomeV2.addf95655bc8a9e0.js","100","","Twitter","2726","2608","2677","2677","2726","49","2608","2726","118","8","9","1","0","h2","high","application/javascript; charset=utf-8","","","gzip","Tue, 05 Nov 2019 01:00:05 GMT",
"72.21.91.70","79","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://abs.twimg.com/responsive-web/web/ltr/loader.AppModules.93a46ffb4c5e0a93.js","-1","-1","200","-1","","14428","1","59","","181105_W2_N","-1","36","-1","100","31536000","42082","2648","-1","GET","13924","13924","1035","0.10","-1","-1","abs.twimg.com","100","-1","https://abs.twimg.com/responsive-web/web/ltr/runtime.4c7df3087f314516.js","3","2647","/responsive-web/web/ltr/loader.AppModules.93a46ffb4c5e0a93.js","100","","Twitter","2727","2648","2684","2684","2727","43","2648","2727","79","9","10","1","0","h2","high","application/javascript; charset=utf-8","","","gzip","Tue, 05 Nov 2019 01:00:05 GMT",
