"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","protocol","priority","contentType","is_base_page","cacheControl","contentEncoding","expires","jpeg_scan_count","score_progressive_jpeg",
"","340","","","-1","-1","Document","3","-1","-1","","1","","-1","-1","https://nytimes.com/","-1","-1","301","-1","","613","","0","","181105_XN_8","-1","340","-1","-1","","0","0","-1","GET","0","","","0.2","-1","-1","nytimes.com","-1","-1","","-1","0","/","-1","","","340","0","340","340","340","0","0","340","340","0","1","1","0","","","","","","","","","",
"151.101.185.164","431","","","-1","-1","Document","3","-1","-1","0","1","","100","-1","https://www.nytimes.com/","-1","-1","200","-1","","105484","","355","","181105_XN_8","-1","32","-1","100","","728004","340","-1","GET","104317","104317","","0.2.1","-1","-1","www.nytimes.com","100","-1","","1","340","/","-1","","Fastly","771","340","372","372","771","399","340","771","431","1","2","1","0","h2","high","text/html; charset=utf-8","1","no-cache","gzip","","","",
"","443","","","-1","-1","XHR","3","-1","-1","","1","","-1","-1","https://samizdat-graphql.nytimes.com/graphql/v2","-1","-1","200","-1","","705","16","0","","181105_XN_8","-1","443","-1","100","","0","701","-1","OPTIONS","0","","13","0.3","-1","-1","samizdat-graphql.nytimes.com","100","-1","https://www.nytimes.com/","-1","701","/graphql/v2","-1","","Fastly","1144","701","1144","1144","1144","0","701","1144","443","2","3","1","0","","","","","max-age=30","","","","",
"151.101.185.164","57","","","-1","-1","Stylesheet","3","-1","-1","0","1","","100","-1","https://www.nytimes.com/vi-assets/static-assets/global-a2de946a9a0e78407da4b3405271f391.css","-1","-1","200","-1","","3031","161","130","","181105_XN_8","-1","42","-1","100","28074894","4480","744","-1","GET","1748","1748","","0.8","-1","-1","www.nytimes.com","100","-1","https://www.nytimes.com/","1","743","/vi-assets/static-assets/global-a2de946a9a0e78407da4b3405271f391.css","100","","Fastly","801","744","786","786","801","15","744","801","57","3","4","1","0","h2","high","text/css; charset=utf-8","","public,max-age=31536000","gzip","Wed, 25 Sep 2019 23:14:12 GMT","","",
"151.101.185.164","72","","","-1","-1","Stylesheet","3","-1","-1","0","1","","100","-1","https://www.nytimes.com/vi-assets/static-assets/main-a8cd02b46656042b480a101c5452a199.css","-1","-1","200","-1","","22519","163","61","","181105_XN_8","-1","31","-1","100","31163843","140102","753","-1","GET","21234","21234","","0.9","-1","-1","www.nytimes.com","100","-1","https://www.nytimes.com/","1","752","/vi-assets/static-assets/main-a8cd02b46656042b480a101c5452a199.css","100","","Fastly","825","753","784","784","825","41","753","825","72","4","5","1","0","h2","high","text/css; charset=utf-8","","public,max-age=31536000","gzip","Thu, 31 Oct 2019 17:16:40 GMT","","",
"151.101.185.164","443","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://www.nytimes.com/vi-assets/static-assets/vendor-cebdd9c1401914f0fe38.js","-1","-1","200","-1","","229927","164","58","","181105_XN_8","-1","86","-1","100","30744654","717528","775","-1","GET","228663","228663","","0.12","-1","-1","www.nytimes.com","100","-1","https://www.nytimes.com/","1","771","/vi-assets/static-assets/vendor-cebdd9c1401914f0fe38.js","100","","Fastly","1218","775","861","861","1218","357","775","1218","443","5","6","1","0","h2","high","application/javascript","","public,max-age=31536000","gzip","Sat, 26 Oct 2019 20:50:12 GMT","","",
"151.101.185.164","367","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://www.nytimes.com/vi-assets/static-assets/main-dce342766c39a7838789.js","-1","-1","200","-1","","87800","164","53","","181105_XN_8","-1","59","-1","100","31266286","365038","776","-1","GET","86537","86537","","0.13","-1","-1","www.nytimes.com","100","-1","https://www.nytimes.com/","1","772","/vi-assets/static-assets/main-dce342766c39a7838789.js","100","","Fastly","1143","776","835","835","1143","308","776","1143","367","6","7","1","0","h2","high","application/javascript","","public,max-age=31536000","gzip","Fri, 01 Nov 2019 21:44:04 GMT","","",
"151.101.185.164","834","40598","","-1","89","Image","3","759","1224","","1","","-1","888","https://static01.nyt.com/images/2018/11/04/us/04tipsheet-marsha/04tipsheet-marsha-mediumThreeByTwo440-v2.jpg","86","888","200","336","4287","41397","164","260","","181105_XN_8","845","178","846","100","564143","40598","1226","42","GET","40598","","","0.10","-1","-1","static01.nyt.com","100","-1","https://www.nytimes.com/","2","755","/images/2018/11/04/us/04tipsheet-marsha/04tipsheet-marsha-mediumThreeByTwo440-v2.jpg","50","","Fastly","2060","1226","1404","1404","2060","656","759","2060","1298","7","8","1","0","h2","low","image/jpeg","","max-age=604800; stale-if-error=86400; stale-while-revalidate=30, public","","Sun, 04 Nov 2018 13:21:41 GMT","1","0",
"151.101.185.164","837","24029","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://static01.nyt.com/images/2018/09/25/multimedia/author-alexander-burns/author-alexander-burns-thumbLarge-v2.png","-1","-1","200","-1","0","24830","164","81","","181105_XN_8","-1","264","-1","100","303245","24029","1227","-1","GET","24029","","","0.11","-1","-1","static01.nyt.com","100","-1","https://www.nytimes.com/","2","756","/images/2018/09/25/multimedia/author-alexander-burns/author-alexander-burns-thumbLarge-v2.png","50","","Fastly","2064","1227","1491","1491","2064","573","1227","2064","837","8","9","1","0","h2","low","image/png","","max-age=604800; stale-if-error=86400; stale-while-revalidate=30, public","","Thu, 18 Oct 2018 12:53:12 GMT","","",
"52.222.219.35","745","","","-1","-1","Script","3","746","1320","0","1","","100","832","https://c.amazon-adsystem.com/aax2/apstag.js","38","832","200","488","","19020","143","317","","181105_XN_8","784","258","784","100","56863","64927","1321","48","GET","18550","18550","32","0.6","-1","-1","c.amazon-adsystem.com","100","-1","https://www.nytimes.com/","6","741","/aax2/apstag.js","50","","Amazon CloudFront","2066","1321","1579","1579","2066","487","746","2066","1319","9","10","1","0","http/1.1","high","application/javascript","","public, max-age=86400","gzip","","","",
