id,start_time,end_time,duration,src_ip,src_port,dst_ip,dst_port,total_bytes,total_message_bytes,avg_inter_arrival_time,median_inter_arrival_time,std_inter_arrival_time,num_packets,src_names,dst_names
0,1541378357.104777,1541378357.104777,0.0,151.101.129.164,443,192.168.1.67,58836,52,0,nan,nan,nan,1,{'151.101.129.164'},"{'localhost', '192.168.1.67'}"
1,1541378357.145747,1541378359.199997,2.0542500019073486,192.168.1.67,58837,151.101.185.164,443,21038,1630,0.00552217742448212,5.0067901611328125e-06,0.05419163637326943,373,"{'localhost', '192.168.1.67'}","{'www.prd.map.nytimes.com', 'www.nytimes.com', '151.101.185.164', 'nytimes.map.fastly.net'}"
2,1541378357.170343,1541378359.220614,2.0502710342407227,151.101.185.164,443,192.168.1.67,58837,1361179,1310679,0.0021136814785986833,0.00017905235290527344,0.034752838887036355,971,"{'www.prd.map.nytimes.com', 'www.nytimes.com', '151.101.185.164', 'nytimes.map.fastly.net'}","{'localhost', '192.168.1.67'}"
3,1541378357.42277,1541378357.42277,0.0,192.168.1.67,58827,172.217.195.157,443,40,0,nan,nan,nan,1,"{'localhost', '192.168.1.67'}",{'172.217.195.157'}
4,1541378357.422795,1541378357.422795,0.0,192.168.1.67,58816,52.222.215.9,443,40,0,nan,nan,nan,1,"{'localhost', '192.168.1.67'}",{'52.222.215.9'}
5,1541378357.422814,1541378357.422814,0.0,192.168.1.67,58817,52.84.141.176,443,40,0,nan,nan,nan,1,"{'localhost', '192.168.1.67'}",{'52.84.141.176'}
6,1541378357.422824,1541378357.422824,0.0,192.168.1.67,58822,52.222.222.119,443,40,0,nan,nan,nan,1,"{'localhost', '192.168.1.67'}",{'52.222.222.119'}
7,1541378357.422834,1541378357.422834,0.0,192.168.1.67,58833,107.178.246.49,443,40,0,nan,nan,nan,1,"{'localhost', '192.168.1.67'}",{'107.178.246.49'}
8,1541378357.422843,1541378357.422843,0.0,192.168.1.67,58819,108.177.103.149,443,40,0,nan,nan,nan,1,"{'localhost', '192.168.1.67'}",{'108.177.103.149'}
9,1541378357.422853,1541378357.422853,0.0,192.168.1.67,58834,34.225.120.66,443,40,0,nan,nan,nan,1,"{'localhost', '192.168.1.67'}",{'34.225.120.66'}
10,1541378357.422875,1541378357.422875,0.0,192.168.1.67,58823,172.217.195.157,443,40,0,nan,nan,nan,1,"{'localhost', '192.168.1.67'}",{'172.217.195.157'}
11,1541378357.422884,1541378357.422884,0.0,192.168.1.67,58831,52.87.38.224,443,40,0,nan,nan,nan,1,"{'localhost', '192.168.1.67'}",{'52.87.38.224'}
12,1541378357.422891,1541378357.422891,0.0,192.168.1.67,58832,35.162.41.9,443,40,0,nan,nan,nan,1,"{'localhost', '192.168.1.67'}",{'35.162.41.9'}
13,1541378357.422901,1541378357.422901,0.0,192.168.1.67,58828,54.165.189.120,443,40,0,nan,nan,nan,1,"{'localhost', '192.168.1.67'}",{'54.165.189.120'}
14,1541378357.42291,1541378357.42291,0.0,192.168.1.67,58818,52.73.31.254,443,40,0,nan,nan,nan,1,"{'localhost', '192.168.1.67'}",{'52.73.31.254'}
15,1541378357.422919,1541378357.422919,0.0,192.168.1.67,58825,35.186.226.184,443,40,0,nan,nan,nan,1,"{'localhost', '192.168.1.67'}",{'35.186.226.184'}
16,1541378357.422927,1541378357.422927,0.0,192.168.1.67,58821,108.177.104.139,443,40,0,nan,nan,nan,1,"{'localhost', '192.168.1.67'}",{'108.177.104.139'}
17,1541378357.422937,1541378357.422937,0.0,192.168.1.67,58815,151.101.44.116,443,40,0,nan,nan,nan,1,"{'localhost', '192.168.1.67'}",{'151.101.44.116'}
18,1541378357.422949,1541378357.422949,0.0,192.168.1.67,58826,64.233.169.156,443,40,0,nan,nan,nan,1,"{'localhost', '192.168.1.67'}",{'64.233.169.156'}
19,1541378357.422957,1541378357.422957,0.0,192.168.1.67,58829,34.205.34.236,443,40,0,nan,nan,nan,1,"{'localhost', '192.168.1.67'}",{'34.205.34.236'}
20,1541378357.484903,1541378357.751033,0.2661299705505371,192.168.1.67,58838,151.101.185.164,443,1869,857,0.014784998363918729,0.0008770227432250977,0.023637255041181363,19,"{'localhost', '192.168.1.67'}","{'www.nytimes.com', 'samizdat-graphql.nytimes.com', '151.101.185.164', 'nytimes.map.fastly.net', 'www.prd.map.nytimes.com'}"
