"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","contentType","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","protocol","priority","is_base_page","cacheControl","contentEncoding","expires","jpeg_scan_count","score_progressive_jpeg",
"","561","","","-1","-1","Document","3","-1","-1","text/html; charset=utf-8","","1","","-1","-1","https://office.com/","-1","-1","302","-1","","581","","0","","181105_XR_V","-1","561","-1","-1","","0","0","-1","GET","140","","","0.2","-1","-1","office.com","-1","-1","","-1","0","/","-1","","","561","0","561","561","561","0","0","561","561","0","1","1","0","","","","","","","","",
"13.107.7.190","488","","","-1","-1","Document","3","-1","-1","text/html; charset=utf-8","0","1","","100","-1","https://www.office.com/","-1","-1","200","-1","","21391","","414","","181105_XR_V","-1","485","-1","-1","","94147","561","-1","GET","20309","20449","","0.2.1","-1","-1","www.office.com","100","-1","","1","561","/","-1","","","1049","561","1046","1046","1049","3","561","1049","488","1","2","1","0","h2","high","1","private, no-store, must-revalidate, max-age=0","gzip","Mon, 05 Nov 2018 01:06:32 GMT","","",
"23.47.79.25","43","4054","","-1","100","Image","3","1069","1222","image/png","","1","","-1","1128","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1Mu3b?ver=5c31","34","1128","200","94","0","4682","50","249","","181105_XR_V","1103","27","1104","100","348151","4054","1223","24","GET","4054","","","0.7","-1","-1","img-prod-cms-rt-microsoft-com.akamaized.net","100","-1","https://www.office.com/","2","1064","/cms/api/am/imageFileData/RE1Mu3b?ver=5c31","50","","Akamai","1266","1223","1250","1250","1266","16","1069","1266","195","2","3","1","0","h2","low","","public, max-age=348151","","Fri, 09 Nov 2018 01:50:03 GMT","","",
"23.63.204.80","41","","","-1","-1","Script","3","1070","1252","application/javascript","0","1","","100","1137","https://mem.gfx.ms/meversion?partner=office&market=en-us&uhf=1","37","1137","200","115","","4684","50","334","","181105_XR_V","1107","28","1108","100","86400","11588","1253","29","GET","4240","4240","","0.14","-1","-1","mem.gfx.ms","100","-1","https://www.office.com/","3","1066","/meversion?partner=office&market=en-us&uhf=1","50","","Akamai","1294","1253","1281","1281","1294","13","1070","1294","222","3","4","1","0","http/1.1","high","","public, no-transform, max-age=86400","gzip","Mon, 05 Nov 2018 17:24:08 GMT","","",
"23.3.164.156","223","","","-1","-1","Image","3","-1","-1","image/svg+xml","0","1","","100","-1","https://ncuofficehome.msocdn.com/s/6575a610/Areas/Home/Content/images/app-store-icons/apple/app-store_en.svg","-1","-1","200","-1","","4678","50","68","","181105_XR_V","-1","209","-1","100","31536000","10850","1390","-1","GET","4088","4088","","0.9","-1","-1","ncuofficehome.msocdn.com","100","-1","https://www.office.com/","4","1065","/s/6575a610/Areas/Home/Content/images/app-store-icons/apple/app-store_en.svg","100","","Akamai","1613","1390","1599","1599","1613","14","1390","1613","223","4","5","1","0","h2","low","","public, max-age=31536000","gzip","Wed, 30 Oct 2019 14:20:05 GMT","","",
"23.3.164.156","220","51308","","-1","100","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://ncuofficehome.msocdn.com/s/bd34d329/images/hero-still-image-mobile.jpg","-1","-1","200","-1","0","51853","50","97","","181105_XR_V","-1","172","-1","100","31536000","51308","1390","-1","GET","51308","","","0.8","-1","-1","ncuofficehome.msocdn.com","100","-1","https://www.office.com/","4","1064","/s/bd34d329/images/hero-still-image-mobile.jpg","100","","Akamai","1610","1390","1562","1562","1610","48","1390","1610","220","5","6","1","0","h2","low","","public, max-age=31536000","","Tue, 29 Oct 2019 03:36:12 GMT","10","100",
"23.3.164.156","197","","","-1","-1","Script","3","-1","-1","application/x-javascript","0","1","","100","-1","https://ncuofficehome.msocdn.com/s/94637484/ClientApp/build/bundles/sharedScripts.js","-1","-1","200","-1","","14734","50","53","","181105_XR_V","-1","164","-1","100","31536000","49600","1390","-1","GET","14147","14147","","0.11","-1","-1","ncuofficehome.msocdn.com","100","-1","https://www.office.com/","4","1065","/s/94637484/ClientApp/build/bundles/sharedScripts.js","100","","Akamai","1587","1390","1554","1554","1587","33","1390","1587","197","6","7","1","0","h2","high","","public, max-age=31536000","gzip","Sat, 02 Nov 2019 20:41:09 GMT","","",
"23.3.164.156","213","","","-1","-1","Script","3","-1","-1","application/x-javascript","0","1","","100","-1","https://ncuofficehome.msocdn.com/s/900105fe/ClientApp/build/bundles/unauth-vendor.js","-1","-1","200","-1","","34411","50","57","","181105_XR_V","-1","151","-1","100","31536000","103566","1390","-1","GET","33809","33809","","0.10","-1","-1","ncuofficehome.msocdn.com","100","-1","https://www.office.com/","4","1065","/s/900105fe/ClientApp/build/bundles/unauth-vendor.js","100","","Akamai","1603","1390","1541","1541","1603","62","1390","1603","213","7","8","1","0","h2","high","","public, max-age=31536000","gzip","Wed, 30 Oct 2019 14:13:58 GMT","","",
"23.3.164.156","207","","","-1","-1","Stylesheet","3","-1","-1","text/css","0","1","","100","-1","https://ncuofficehome.msocdn.com/s/45aa9c62/ClientApp/build/bundles/sharedFontStyles.css","-1","-1","200","-1","","59670","23","55","","181105_XR_V","-1","101","-1","100","31536000","80753","1392","-1","GET","59054","59054","","0.4","-1","-1","ncuofficehome.msocdn.com","100","-1","https://www.office.com/","4","1060","/s/45aa9c62/ClientApp/build/bundles/sharedFontStyles.css","100","","Akamai","1599","1392","1493","1493","1599","106","1392","1599","207","8","9","1","0","h2","high","","public, max-age=31536000","gzip","Wed, 30 Oct 2019 14:13:42 GMT","","",
"23.3.164.156","125","","","-1","-1","Stylesheet","3","1061","1392","text/css","0","1","","100","1199","https://ncuofficehome.msocdn.com/s/40958a37/ClientApp/build/bundles/unauth.css","90","1199","200","193","","24068","22","204","","181105_XR_V","1151","57","1152","100","31536000","42624","1394","47","GET","23482","23482","","0.3","-1","-1","ncuofficehome.msocdn.com","100","-1","https://www.office.com/","4","1059","/s/40958a37/ClientApp/build/bundles/unauth.css","100","","Akamai","1519","1394","1451","1451","1519","68","1061","1519","455","9","10","1","0","h2","high","","public, max-age=31536000","gzip","Wed, 30 Oct 2019 14:13:21 GMT","","",
"23.3.164.156","189","","","-1","-1","Script","3","-1","-1","application/x-javascript","0","1","","100","-1","https://ncuofficehome.msocdn.com/s/ee5e8701/ClientApp/build/bundles/unauth.js","-1","-1","200","-1","","17923","50","48","","181105_XR_V","-1","160","-1","100","31536000","54661","1400","-1","GET","17206","17206","","0.12","-1","-1","ncuofficehome.msocdn.com","100","-1","https://www.office.com/","4","1066","/s/ee5e8701/ClientApp/build/bundles/unauth.js","100","","Akamai","1589","1400","1560","1560","1589","29","1400","1589","189","10","11","1","0","h2","high","","public, max-age=31536000","gzip","Thu, 24 Oct 2019 18:12:00 GMT","","",
"23.47.79.51","61","","","-1","-1","Stylesheet","3","1064","2469","text/css; charset=utf-8","0","1","","100","1149","https://statics-uhf-eus.akamaized.net/west-european/shell/_scrf/css/themes=default.device=uplevel_web_pc/a0-34304a/7a-d0ce12/21-57e7a9/29-0e7f07/db-7e4d40/b1-0a231a/ae-91966e/50-84b307?ver=2.0","63","1149","200","1320","","22295","28","479","","181105_XR_V","1127","41","1129","100","30507086","163216","2470","20","GET","21470","21470","","0.5","-1","-1","statics-uhf-eus.akamaized.net","100","-1","https://www.office.com/","5","1060","/west-european/shell/_scrf/css/themes=default.device=uplevel_web_pc/a0-34304a/7a-d0ce12/21-57e7a9/29-0e7f07/db-7e4d40/b1-0a231a/ae-91966e/50-84b307?ver=2.0","100","","Akamai","2531","2470","2511","2511","2531","20","1064","2531","1464","11","12","1","0","http/1.1","high","","public, max-age=30507086","gzip","Thu, 24 Oct 2019 03:18:59 GMT","","",
"23.47.79.51","253","","","-1","-1","Stylesheet","3","2473","2550","text/css","","1","","-1","2497","https://statics-uhf-eus.akamaized.net/statics/override.css?c=4","3","2497","200","53","","822","28","349","","181105_XR_V","2476","239","2477","100","0","476","2551","20","GET","476","","","0.6","-1","-1","statics-uhf-eus.akamaized.net","100","-1","https://www.office.com/","6","1061","/statics/override.css?c=4","0","","Akamai","2804","2551","2790","2790","2804","14","2473","2804","329","12","13","1","0","http/1.1","high","","","","","","",
