timestamp,inter_arrival_time,seq,ack,flag_CWR,flag_ECE,flag_URG,flag_ACK,flag_PSH,flag_RST,flag_SYN,flag_FIN,window_size,urgent_pointer,tcp_header_size,tcp_payload_size,ip_header_size,ip_id,ip_tos,ip_df,ip_mf,ip_offset
1541380052.478354,nan,2744921804,3766166629,0,0,0,1,0,0,1,0,28960,0,40,0,5,0,32,1,0,0
1541380052.495844,0.017489910125732422,2744921805,3766167146,0,0,0,1,0,0,0,0,939,0,32,0,5,64891,32,1,0,0
1541380052.512552,0.0167081356048584,2744921805,3766167146,0,0,0,1,0,0,0,0,939,0,32,1448,5,64892,32,1,0,0
1541380052.512865,0.00031304359436035156,2744923253,3766167146,0,0,0,1,0,0,0,0,939,0,32,1448,5,64893,32,1,0,0
1541380052.513264,0.00039887428283691406,2744924701,3766167146,0,0,0,1,1,0,0,0,939,0,32,920,5,64894,32,1,0,0
1541380052.572198,0.05893397331237793,2744925621,3766167272,0,0,0,1,1,0,0,0,939,0,32,51,5,64895,32,1,0,0
1541380052.596883,0.024685144424438477,2744925672,3766167704,0,0,0,1,0,0,0,0,972,0,32,0,5,64896,32,1,0,0
1541380052.596885,1.9073486328125e-06,2744925672,3766167704,0,0,0,1,1,0,0,0,972,0,32,68,5,64897,32,1,0,0
1541380052.596887,2.1457672119140625e-06,2744925740,3766167704,0,0,0,1,1,0,0,0,972,0,32,38,5,64898,32,1,0,0
1541380052.5969,1.2874603271484375e-05,2744925778,3766167704,0,0,0,1,1,0,0,0,972,0,32,453,5,64899,32,1,0,0
1541380052.597166,0.00026607513427734375,2744926231,3766167704,0,0,0,1,0,0,0,0,972,0,32,1448,5,64900,32,1,0,0
1541380052.597168,1.9073486328125e-06,2744927679,3766167704,0,0,0,1,1,0,0,0,972,0,32,620,5,64901,32,1,0,0
1541380052.597308,0.0001399517059326172,2744928299,3766167704,0,0,0,1,0,0,0,0,972,0,32,1448,5,64902,32,1,0,0
1541380052.597418,0.00011014938354492188,2744929747,3766167704,0,0,0,1,1,0,0,0,972,0,32,652,5,64903,32,1,0,0
1541380052.659647,0.06222891807556152,2744930399,3766167742,0,0,0,1,0,0,0,0,972,0,32,0,5,64904,32,1,0,0
