"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","protocol","priority","contentType","is_base_page","cacheControl","contentEncoding","expires",
"","260","","","-1","-1","Document","3","-1","-1","","1","","-1","-1","https://linkedin.com/","-1","-1","301","-1","","106","","0","","181105_YN_S","-1","260","-1","-1","","0","0","-1","GET","0","","","0.2","-1","-1","linkedin.com","-1","-1","","-1","0","/","-1","","","260","0","260","260","260","0","0","260","260","0","1","1","0","","","","","","","",
"108.174.11.17","625","","","-1","-1","Document","3","-1","-1","0","1","","100","-1","https://www.linkedin.com/","-1","-1","200","-1","","7251","","357","","181105_YN_S","-1","281","-1","-1","","26008","260","-1","GET","5695","5695","","0.2.1","-1","-1","www.linkedin.com","100","-1","","1","260","/","-1","","","885","260","541","541","885","344","260","885","625","1","2","1","0","h2","high","text/html; charset=utf-8","1","no-cache, no-store","gzip","Thu, 01 Jan 1970 00:00:00 GMT",
"23.195.249.218","72","","","-1","-1","Script","3","897","1232","0","1","","100","1082","https://static.licdn.com/scds/concat/common/js?h=7ndrn0f9fw0hum7uoqcjcnzne-95d8d303rtd0n9wj4dcjbnh2c","126","1082","200","150","","1489","228","374","","181105_YN_S","1023","49","1024","100","31536000","2068","1233","58","GET","903","903","","0.3","-1","-1","static.licdn.com","100","-1","https://www.linkedin.com/","2","896","/scds/concat/common/js?h=7ndrn0f9fw0hum7uoqcjcnzne-95d8d303rtd0n9wj4dcjbnh2c","100","","Cedexis","1305","1233","1282","1282","1305","23","897","1305","406","2","3","1","0","http/1.1","high","text/javascript","","max-age=31536000, immutable","gzip","Mon, 15 Apr 2019 18:59:55 GMT",
"23.195.249.218","90","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://static.licdn.com/sc/h/amcqj2dkvh3gabfiv8a9lht4t,edz16jejjqcx42fe0m2ca4nx9","-1","-1","200","-1","","8862","228","355","","181105_YN_S","-1","58","-1","100","31536000","25655","1273","-1","GET","8275","8275","","0.7","-1","-1","static.licdn.com","100","-1","https://www.linkedin.com/","2","898","/sc/h/amcqj2dkvh3gabfiv8a9lht4t,edz16jejjqcx42fe0m2ca4nx9","100","","Cedexis","1363","1273","1331","1331","1363","32","1273","1363","90","3","4","1","0","http/1.1","high","text/javascript","","max-age=31536000, immutable","gzip","Fri, 17 May 2019 01:56:04 GMT",
"23.195.249.218","91","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://static.licdn.com/scds/concat/common/js?h=82i5b2jv41vqmfkb5brdajvv-e7xlsv13j9f9fgq7i82f6mifw","-1","-1","200","-1","","4054","228","373","","181105_YN_S","-1","59","-1","100","31536000","10674","1332","-1","GET","3467","3467","","0.8","-1","-1","static.licdn.com","100","-1","https://www.linkedin.com/","2","899","/scds/concat/common/js?h=82i5b2jv41vqmfkb5brdajvv-e7xlsv13j9f9fgq7i82f6mifw","100","","Cedexis","1423","1332","1391","1391","1423","32","1332","1423","91","4","5","1","0","http/1.1","high","text/javascript","","max-age=31536000, immutable","gzip","Fri, 20 Sep 2019 21:57:41 GMT",
"23.195.249.218","115","","","-1","-1","Script","3","1229","1336","0","1","","100","1278","https://static.licdn.com/scds/concat/common/js?h=7dt162oar7uci911egb332w3g-44hhbxag3hinac547ym9vby09-5jratctnqzzuc1057yivxswgf-9zz2lhu3eq1epk7sq1t8cdb5s-eound1d1xhqm86h7g2p57b94l-edgsl2z4e4gk56cy2m5kbpp1q-acgipb6zomeaovod456pb7yjs-bctwwqj7p01tcj2smshz2bboe-88ec8b078z4fzj5q3z4qowg63-bftaa82sjwcbrohoe28skni7b-58m2n4boqb1vxfd6hgd34auwd-dksuef1kjeuyovuvqowr79mf0-cfabcg4u1cj0em4yissh5mfxu","3","1278","200","58","","14828","228","660","","181105_YN_S","1232","74","1233","100","31536000","46242","1336","45","GET","14240","14240","","0.6","-1","-1","static.licdn.com","100","-1","https://www.linkedin.com/","3","898","/scds/concat/common/js?h=7dt162oar7uci911egb332w3g-44hhbxag3hinac547ym9vby09-5jratctnqzzuc1057yivxswgf-9zz2lhu3eq1epk7sq1t8cdb5s-eound1d1xhqm86h7g2p57b94l-edgsl2z4e4gk56cy2m5kbpp1q-acgipb6zomeaovod456pb7yjs-bctwwqj7p01tcj2smshz2bboe-88ec8b078z4fzj5q3z4qowg63-bftaa82sjwcbrohoe28skni7b-58m2n4boqb1vxfd6hgd34auwd-dksuef1kjeuyovuvqowr79mf0-cfabcg4u1cj0em4yissh5mfxu","100","","Cedexis","1451","1336","1410","1410","1451","41","1229","1451","221","5","6","1","0","http/1.1","high","text/javascript","","max-age=31536000, immutable","gzip","Sat, 17 Aug 2019 00:31:49 GMT",
"23.195.249.218","121","","","-1","-1","Stylesheet","3","1230","1338","0","1","","100","1280","https://static.licdn.com/sc/h/8z5xqy266agx6fxeb5g3gpxy3,5cdk5yolnznb660lw7tiysqae","3","1280","200","58","","5125","228","370","","181105_YN_S","1233","77","1235","100","31536000","22623","1339","45","GET","4545","4545","","0.5","-1","-1","static.licdn.com","100","-1","https://www.linkedin.com/","5","898","/sc/h/8z5xqy266agx6fxeb5g3gpxy3,5cdk5yolnznb660lw7tiysqae","100","","Cedexis","1460","1339","1416","1416","1460","44","1230","1460","227","6","7","1","0","http/1.1","high","text/css","","max-age=31536000, immutable","gzip","Fri, 11 Oct 2019 23:13:48 GMT",
"23.195.249.218","106","","","-1","-1","Script","3","1234","1344","0","1","","100","1286","https://static.licdn.com/scds/concat/common/js?h=e2lgukqldpqool72t8g7tysag-3nuvxgwg15rbghxm1gpzfbya2-1nm61x5u7981e88m10hpaekkm-mv3v66b8q0h1hvgvd3yfjv5f-14k913qahq3mh0ac0lh0twk9v","4","1286","200","58","","2039","228","451","","181105_YN_S","1238","75","1239","100","31536000","3336","1345","47","GET","1439","1439","","0.4","-1","-1","static.licdn.com","100","-1","https://www.linkedin.com/","4","897","/scds/concat/common/js?h=e2lgukqldpqool72t8g7tysag-3nuvxgwg15rbghxm1gpzfbya2-1nm61x5u7981e88m10hpaekkm-mv3v66b8q0h1hvgvd3yfjv5f-14k913qahq3mh0ac0lh0twk9v","100","","Cedexis","1451","1345","1420","1420","1451","31","1234","1451","215","7","8","1","0","http/1.1","high","text/javascript","","max-age=31536000, immutable","gzip","Tue, 25 Dec 2018 23:44:35 GMT",
"23.195.249.218","127","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://static.licdn.com/scds/concat/common/js?h=69w33ou4umkyupw2uqgn7za7w","-1","-1","200","-1","","970","228","348","","181105_YN_S","-1","56","-1","100","31536000","604","1392","-1","GET","384","384","","0.9","-1","-1","static.licdn.com","100","-1","https://www.linkedin.com/","2","899","/scds/concat/common/js?h=69w33ou4umkyupw2uqgn7za7w","100","","Cedexis","1519","1392","1448","1448","1519","71","1392","1519","127","8","9","1","0","http/1.1","high","text/javascript","","max-age=31536000, immutable","gzip","Fri, 12 Apr 2019 03:58:20 GMT",
"108.174.11.17","100","","","-1","-1","XHR","3","-1","-1","0","1","","100","-1","https://www.linkedin.com/li/track","-1","-1","200","-1","","1555","30","1254","","181105_YN_S","-1","93","-1","-1","","20","1633","-1","POST","20","20","259","0.11","-1","-1","www.linkedin.com","100","-1","https://static.licdn.com/sc/h/amcqj2dkvh3gabfiv8a9lht4t,edz16jejjqcx42fe0m2ca4nx9","1","1632","/li/track","-1","","","1733","1633","1726","1726","1733","7","1633","1733","100","9","10","1","0","h2","medium","text/plain; charset=utf-8","","no-cache, no-store","gzip","Thu, 01 Jan 1970 00:00:00 GMT",
"104.110.167.215","85","","","-1","-1","Script","3","1552","1929","0","1","","100","1742","https://platform.linkedin.com/js/analytics.js","112","1742","200","187","","11280","1044","489","","181105_YN_S","1664","68","1667","100","0","26335","1929","75","GET","10984","10984","508","0.10","-1","-1","platform.linkedin.com","100","-1","https://www.linkedin.com/","6","1550","/js/analytics.js","0","","Cedexis","2014","1929","1997","1997","2014","17","1552","2014","459","10","11","1","0","http/1.1","high","text/javascript;charset=UTF-8","","","gzip","",
"23.195.249.218","84","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://static.licdn.com/scds/concat/common/js?h=ebbt2vixcc5qz0otts5io08xv","-1","-1","200","-1","","1278","2","348","","181105_YN_S","-1","37","-1","100","31536000","1353","2027","-1","GET","679","679","423","0.12","-1","-1","static.licdn.com","100","-1","https://static.licdn.com/scds/concat/common/js?h=e2lgukqldpqool72t8g7tysag-3nuvxgwg15rbghxm1gpzfbya2-1nm61x5u7981e88m10hpaekkm-mv3v66b8q0h1hvgvd3yfjv5f-14k913qahq3mh0ac0lh0twk9v","2","2026","/scds/concat/common/js?h=ebbt2vixcc5qz0otts5io08xv","100","","Cedexis","2111","2027","2064","2064","2111","47","2027","2111","84","11","12","1","0","http/1.1","high","text/javascript","","max-age=31536000, immutable","gzip","Tue, 12 Mar 2019 11:25:31 GMT",
"","360","","","-1","-1","Image","3","-1","-1","","1","","-1","-1","https://www.google-analytics.com/r/collect?v=1&_v=j39&a=985295991&t=pageview&_s=1&dl=https%3A%2F%2Fwww.linkedin.com%2Funo-reg-guest-home-mobile&dr=&dp=uno-reg-guest-home-mobile&ul=en-us&de=UTF-8&dt=LinkedIn&sd=32-bit&sr=375x667&vp=375x603&je=0&_u=SEAAAAABM~&jid=1276003007&cid=8430750.1541379975&tid=UA-62256447-1&_r=1&z=1217170709","-1","-1","302","-1","","846","2","0","","181105_YN_S","-1","360","-1","-1","","0","2107","-1","GET","366","","986","0.13","-1","-1","www.google-analytics.com","-1","-1","https://platform.linkedin.com/js/analytics.js","-1","2107","/r/collect?v=1&_v=j39&a=985295991&t=pageview&_s=1&dl=https%3A%2F%2Fwww.linkedin.com%2Funo-reg-guest-home-mobile&dr=&dp=uno-reg-guest-home-mobile&ul=en-us&de=UTF-8&dt=LinkedIn&sd=32-bit&sr=375x667&vp=375x603&je=0&_u=SEAAAAABM~&jid=1276003007&cid=8430750.1541379975&tid=UA-62256447-1&_r=1&z=1217170709","-1","","","2467","2107","2467","2467","2467","0","2107","2467","360","12","13","1","0","","","text/html; charset=UTF-8","","no-cache, no-store, must-revalidate","","Fri, 01 Jan 1990 00:00:00 GMT",
"23.195.249.218","56","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://static.licdn.com/sc/h/5esw1kd3ei3m9esz22djaftd2,aralaiuwc8xlyi8rrb1ysx1xb","-1","-1","200","-1","","22062","2","355","","181105_YN_S","-1","43","-1","100","31536000","64220","2110","-1","GET","21474","21474","210","0.14","-1","-1","static.licdn.com","100","-1","https://static.licdn.com/sc/h/amcqj2dkvh3gabfiv8a9lht4t,edz16jejjqcx42fe0m2ca4nx9","2","2109","/sc/h/5esw1kd3ei3m9esz22djaftd2,aralaiuwc8xlyi8rrb1ysx1xb","100","","Cedexis","2166","2110","2153","2153","2166","13","2110","2166","56","13","14","1","0","http/1.1","high","text/javascript","","max-age=31536000, immutable","gzip","Thu, 27 Jun 2019 19:23:52 GMT",
"104.110.167.215","95","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://platform.linkedin.com/js/px.js?ch=1","-1","-1","200","-1","","414","1","525","","181105_YN_S","-1","78","-1","100","86400","35","2111","-1","GET","55","55","143","0.15","-1","-1","platform.linkedin.com","100","-1","https://static.licdn.com/scds/concat/common/js?h=69w33ou4umkyupw2uqgn7za7w","6","2110","/js/px.js?ch=1","50","","Cedexis","2206","2111","2189","2189","2206","17","2111","2206","95","14","15","1","0","http/1.1","high","text/javascript;charset=UTF-8","","max-age=86400","gzip","Mon, 05 Nov 2018 20:43:32 GMT",
"108.174.11.17","114","","","-1","-1","XHR","3","-1","-1","0","1","","100","-1","https://www.linkedin.com/platform-telemetry/platform","-1","-1","200","-1","","1489","18","416","","181105_YN_S","-1","97","-1","-1","","20","2138","-1","POST","20","20","5624","0.16","-1","-1","www.linkedin.com","100","-1","https://static.licdn.com/scds/concat/common/js?h=7dt162oar7uci911egb332w3g-44hhbxag3hinac547ym9vby09-5jratctnqzzuc1057yivxswgf-9zz2lhu3eq1epk7sq1t8cdb5s-eound1d1xhqm86h7g2p57b94l-edgsl2z4e4gk56cy2m5kbpp1q-acgipb6zomeaovod456pb7yjs-bctwwqj7p01tcj2smshz2bboe-88ec8b078z4fzj5q3z4qowg63-bftaa82sjwcbrohoe28skni7b-58m2n4boqb1vxfd6hgd34auwd-dksuef1kjeuyovuvqowr79mf0-cfabcg4u1cj0em4yissh5mfxu","1","2137","/platform-telemetry/platform","-1","","","2252","2138","2235","2235","2252","17","2138","2252","114","15","16","1","0","h2","medium","","","no-cache, no-store","gzip","Thu, 01 Jan 1970 00:00:00 GMT",
"23.195.249.218","116","1604","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://static.licdn.com/sc/h/3ubxfas73i6u9fn5k8w6hdxq4","-1","-1","200","-1","0","2163","107","387","","181105_YN_S","-1","100","-1","100","31536000","1604","2183","-1","GET","1604","","85","0.17","-1","-1","static.licdn.com","100","-1","https://static.licdn.com/sc/h/5esw1kd3ei3m9esz22djaftd2,aralaiuwc8xlyi8rrb1ysx1xb","2","2181","/sc/h/3ubxfas73i6u9fn5k8w6hdxq4","100","","Cedexis","2299","2183","2283","2283","2299","16","2183","2299","116","16","17","1","0","http/1.1","low","image/png","","max-age=31536000, immutable","","Tue, 05 Nov 2019 00:52:42 GMT",
"23.195.249.218","87","","","-1","-1","Image","3","-1","-1","0","1","","100","-1","https://static.licdn.com/sc/h/5ndxqp5qfiw8dfhnuwft3nunh","-1","-1","200","-1","","1168","106","387","","181105_YN_S","-1","38","-1","100","31536000","1591","2184","-1","GET","584","584","418","0.18","-1","-1","static.licdn.com","100","-1","https://static.licdn.com/sc/h/5esw1kd3ei3m9esz22djaftd2,aralaiuwc8xlyi8rrb1ysx1xb","5","2183","/sc/h/5ndxqp5qfiw8dfhnuwft3nunh","100","","Cedexis","2271","2184","2222","2222","2271","49","2184","2271","87","17","18","1","0","http/1.1","low","image/svg+xml","","max-age=31536000, immutable","gzip","Sat, 13 Apr 2019 21:12:46 GMT",
"104.110.167.215","77","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://platform.linkedin.com/js/px.js?ch=2","-1","-1","200","-1","","414","1","525","","181105_YN_S","-1","69","-1","100","86400","35","2209","-1","GET","55","55","143","0.19","-1","-1","platform.linkedin.com","100","-1","https://static.licdn.com/scds/concat/common/js?h=69w33ou4umkyupw2uqgn7za7w","6","2208","/js/px.js?ch=2","50","","Cedexis","2286","2209","2278","2278","2286","8","2209","2286","77","18","19","1","0","http/1.1","high","text/javascript;charset=UTF-8","","max-age=86400","gzip","Mon, 05 Nov 2018 13:44:00 GMT",
"","302","","","-1","-1","","3","-1","-1","","1","","-1","-1","https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-62256447-1&cid=8430750.1541379975&jid=1276003007&_v=j39&z=1217170709","-1","-1","302","-1","","913","","0","","181105_YN_S","-1","302","-1","-1","","0","2467","-1","GET","364","","","0.13.1","-1","-1","stats.g.doubleclick.net","-1","-1","","-1","2467","/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-62256447-1&cid=8430750.1541379975&jid=1276003007&_v=j39&z=1217170709","-1","","","2769","2467","2769","2769","2769","0","2467","2769","302","19","20","1","0","","","text/html; charset=UTF-8","","no-cache, no-store, must-revalidate","","Fri, 01 Jan 1990 00:00:00 GMT",
"108.174.11.17","103","","","-1","-1","XHR","3","-1","-1","0","1","","100","-1","https://www.linkedin.com/li/track","-1","-1","200","-1","","1555","1","1836","","181105_YN_S","-1","97","-1","-1","","20","2615","-1","POST","20","20","8336","0.20","-1","-1","www.linkedin.com","100","-1","https://static.licdn.com/scds/concat/common/js?h=82i5b2jv41vqmfkb5brdajvv-e7xlsv13j9f9fgq7i82f6mifw","1","2614","/li/track","-1","","","2718","2615","2712","2712","2718","6","2615","2718","103","20","21","1","0","h2","medium","text/plain; charset=utf-8","","no-cache, no-store","gzip","Thu, 01 Jan 1970 00:00:00 GMT",
"108.177.112.147","182","42","","-1","100","","3","-1","-1","","1","","-1","-1","https://www.google.com/ads/ga-audiences?v=1&aip=1&t=sr&_r=4&tid=UA-62256447-1&cid=8430750.1541379975&jid=1276003007&_v=j39&z=1217170709","-1","-1","200","-1","0","471","","1003","","181105_YN_S","-1","180","-1","100","","772","2768","-1","GET","42","","","0.13.2","-1","-1","www.google.com","100","-1","","7","2768","/ads/ga-audiences?v=1&aip=1&t=sr&_r=4&tid=UA-62256447-1&cid=8430750.1541379975&jid=1276003007&_v=j39&z=1217170709","-1","","Google","2950","2768","2948","2948","2950","2","2768","2950","182","21","22","1","0","h2","low","image/gif","","no-cache, must-revalidate","","Fri, 01 Jan 1990 00:00:00 GMT",
"108.174.11.17","655","","","-1","-1","Document","3","-1","-1","0","1","","100","-1","https://www.linkedin.com/","-1","-1","200","-1","","6878","","391","","181105_YN_S","-1","510","-1","-1","","26008","34","-1","GET","5698","5698","","0.2.1","-1","-1","www.linkedin.com","100","-1","","1","34","/","-1","","","689","34","544","544","689","145","34","689","655","0","1","1","1","h2","high","text/html; charset=utf-8","1","no-cache, no-store","gzip","Thu, 01 Jan 1970 00:00:00 GMT",
"108.174.11.17","120","","","-1","-1","XHR","3","-1","-1","0","1","","100","-1","https://www.linkedin.com/li/track","-1","-1","200","-1","","1555","30","1282","","181105_YN_S","-1","96","-1","-1","","20","918","-1","POST","20","20","259","0.11","-1","-1","www.linkedin.com","100","-1","https://static.licdn.com/sc/h/amcqj2dkvh3gabfiv8a9lht4t,edz16jejjqcx42fe0m2ca4nx9","1","917","/li/track","-1","","","1038","918","1014","1014","1038","24","918","1038","120","1","2","1","1","h2","medium","text/plain; charset=utf-8","","no-cache, no-store","gzip","Thu, 01 Jan 1970 00:00:00 GMT",
"104.110.167.215","96","","","-1","-1","Script","3","786","1108","0","1","","100","932","https://platform.linkedin.com/js/analytics.js","75","932","200","176","","11280","1044","527","","181105_YN_S","861","77","862","100","0","26335","1109","70","GET","10984","10984","508","0.10","-1","-1","platform.linkedin.com","100","-1","https://www.linkedin.com/","2","779","/js/analytics.js","0","","Cedexis","1205","1109","1186","1186","1205","19","786","1205","417","2","3","1","1","http/1.1","high","text/javascript;charset=UTF-8","","","gzip","",
