"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","contentType","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","protocol","priority","is_base_page","cacheControl","contentEncoding","expires","jpeg_scan_count","score_progressive_jpeg",
"","565","","","-1","-1","Document","3","-1","-1","text/html","","1","","-1","-1","https://apple.com/","-1","-1","301","-1","","0","","0","","181105_YT_H","-1","565","-1","-1","","0","0","-1","GET","0","","","0.2","-1","-1","apple.com","-1","-1","","-1","0","/","-1","","","565","0","565","565","565","0","0","565","565","0","1","1","0","","","","","","","","",
"23.35.28.177","393","","","-1","-1","Document","3","-1","-1","text/html; charset=UTF-8","0","1","","100","-1","https://www.apple.com/","-1","-1","200","-1","","7504","","636","","181105_YT_H","-1","387","-1","100","","47957","565","-1","GET","7059","7059","","0.2.1","-1","-1","www.apple.com","100","-1","","1","565","/","-1","","Akamai","958","565","952","952","958","6","565","958","393","1","2","1","0","http/1.1","high","1","max-age=0","gzip","Mon, 05 Nov 2018 00:55:09 GMT","","",
"23.35.28.177","87","","","-1","-1","Stylesheet","3","-1","-1","text/css","0","1","","100","-1","https://www.apple.com/ac/globalnav/4/en_US/styles/ac-globalnav.built.css","-1","-1","200","-1","","10835","83","424","","181105_YT_H","-1","54","-1","100","","94293","963","-1","GET","10585","10585","","0.3","-1","-1","www.apple.com","100","-1","https://www.apple.com/","1","962","/ac/globalnav/4/en_US/styles/ac-globalnav.built.css","-1","","Akamai","1050","963","1017","1017","1050","33","963","1050","87","2","3","1","0","http/1.1","high","","max-age=0","gzip","Mon, 05 Nov 2018 00:55:09 GMT","","",
"23.35.28.177","81","","","-1","-1","Stylesheet","3","-1","-1","text/css","0","1","","100","-1","https://www.apple.com/wss/fonts?families=SF+Pro,v2|SF+Pro+Icons,v1","-1","-1","200","-1","","1309","90","418","","181105_YT_H","-1","52","-1","100","","19035","1020","-1","GET","1034","1034","","0.7","-1","-1","www.apple.com","100","-1","https://www.apple.com/","1","972","/wss/fonts?families=SF+Pro,v2|SF+Pro+Icons,v1","-1","","Akamai","1101","1020","1072","1072","1101","29","1020","1101","81","3","4","1","0","http/1.1","high","","max-age=0, no-cache","gzip","Mon, 05 Nov 2018 00:55:09 GMT","","",
"23.35.28.177","146","","","-1","-1","Stylesheet","3","-1","-1","text/css","0","1","","100","-1","https://www.apple.com/v/home/dy/built/styles/main.built.css","-1","-1","200","-1","","36327","90","411","","181105_YT_H","-1","90","-1","100","","722738","1074","-1","GET","36077","36077","","0.8","-1","-1","www.apple.com","100","-1","https://www.apple.com/","1","973","/v/home/dy/built/styles/main.built.css","-1","","Akamai","1220","1074","1164","1164","1220","56","1074","1220","146","4","5","1","0","http/1.1","high","","max-age=0","gzip","Mon, 05 Nov 2018 00:55:09 GMT","","",
"23.35.28.177","145","","","-1","-1","Stylesheet","3","987","1108","text/css","0","1","","100","1038","https://www.apple.com/ac/globalfooter/3/en_US/styles/ac-globalfooter.built.css","6","1038","200","70","","5527","85","430","","181105_YT_H","993","58","994","100","130","44788","1108","44","GET","5255","5255","","0.5","-1","-1","www.apple.com","100","-1","https://www.apple.com/","3","963","/ac/globalfooter/3/en_US/styles/ac-globalfooter.built.css","0","","Akamai","1253","1108","1166","1166","1253","87","987","1253","265","5","6","1","0","http/1.1","high","","max-age=130","gzip","Mon, 05 Nov 2018 00:57:19 GMT","","",
"23.35.28.177","148","","","-1","-1","Stylesheet","3","965","1111","text/css","0","1","","100","1040","https://www.apple.com/ac/localnav/4/styles/ac-localnav.built.css","27","1040","200","71","","7565","84","416","","181105_YT_H","992","65","993","100","","92507","1112","47","GET","7249","7249","","0.4","-1","-1","www.apple.com","100","-1","https://www.apple.com/","4","963","/ac/localnav/4/styles/ac-localnav.built.css","-1","","Akamai","1260","1112","1177","1177","1260","83","965","1260","293","6","7","1","0","http/1.1","high","","max-age=0","gzip","Mon, 05 Nov 2018 00:55:09 GMT","","",
"23.35.28.177","99","","","-1","-1","Script","3","995","1113","application/x-javascript","0","1","","100","1051","https://www.apple.com/metrics/ac-analytics/2.2/scripts/gpu.js","4","1051","200","62","","2963","90","398","","181105_YT_H","999","55","1001","100","","8689","1114","50","GET","2698","2698","","0.6","-1","-1","www.apple.com","100","-1","https://www.apple.com/","2","971","/metrics/ac-analytics/2.2/scripts/gpu.js","-1","","Akamai","1213","1114","1169","1169","1213","44","995","1213","215","7","8","1","0","http/1.1","high","","max-age=0","gzip","Mon, 05 Nov 2018 00:55:09 GMT","","",
"23.35.28.177","267","","","-1","-1","Script","3","-1","-1","application/x-javascript","0","1","","100","-1","https://www.apple.com/v/home/dy/built/scripts/head.built.js","-1","-1","200","-1","","17529","90","396","","181105_YT_H","-1","69","-1","100","","66487","1171","-1","GET","17263","17263","","0.9","-1","-1","www.apple.com","100","-1","https://www.apple.com/","2","973","/v/home/dy/built/scripts/head.built.js","-1","","Akamai","1438","1171","1240","1240","1438","198","1171","1438","267","8","9","1","0","http/1.1","high","","max-age=0","gzip","Mon, 05 Nov 2018 00:55:09 GMT","","",
"23.35.28.177","314","","","-1","-1","Script","3","-1","-1","application/x-javascript","0","1","","100","-1","https://www.apple.com/metrics/ac-analytics/2.5/scripts/ac-analytics.js","-1","-1","200","-1","","69076","90","407","","181105_YT_H","-1","82","-1","100","","306812","1172","-1","GET","68734","68734","","0.11","-1","-1","www.apple.com","100","-1","https://www.apple.com/","1","973","/metrics/ac-analytics/2.5/scripts/ac-analytics.js","-1","","Akamai","1486","1172","1254","1254","1486","232","1172","1486","314","9","10","1","0","http/1.1","high","","max-age=0","gzip","Mon, 05 Nov 2018 00:55:09 GMT","","",
