id,start_time,end_time,duration,src_ip,src_port,dst_ip,dst_port,total_bytes,total_message_bytes,avg_inter_arrival_time,median_inter_arrival_time,std_inter_arrival_time,num_packets,src_names,dst_names
0,1541379308.704298,1541379308.762079,0.05778098106384277,72.21.91.29,80,192.168.1.67,51332,1127,807,0.011556196212768554,0.00020503997802734375,0.014523560073914553,6,{'72.21.91.29'},"{'localhost', '192.168.1.67'}"
1,1541379308.704303,1541379308.768834,0.06453108787536621,72.21.91.29,80,192.168.1.67,51333,1074,806,0.016132771968841553,0.015016555786132812,0.01611166150724224,5,{'72.21.91.29'},"{'localhost', '192.168.1.67'}"
2,1541379308.704417,1541379308.740469,0.03605198860168457,192.168.1.67,51332,72.21.91.29,80,518,258,0.009012997150421143,0.0047740936279296875,0.010545070368904228,5,"{'localhost', '192.168.1.67'}",{'72.21.91.29'}
3,1541379308.704453,1541379308.74751,0.04305696487426758,192.168.1.67,51333,72.21.91.29,80,518,258,0.010764241218566895,0.008045554161071777,0.009878693584650922,5,"{'localhost', '192.168.1.67'}",{'72.21.91.29'}
4,1541379308.756207,1541379308.939006,0.1827991008758545,192.168.1.67,59544,17.142.160.59,443,782,502,0.030466516812642414,0.002067089080810547,0.041664677122036024,7,"{'localhost', '192.168.1.67'}",{'17.142.160.59'}
5,1541379308.832893,1541379309.012908,0.18001508712768555,17.142.160.59,443,192.168.1.67,59544,557,277,0.030002514521280926,0.009585142135620117,0.03623638994486256,7,{'17.142.160.59'},"{'localhost', '192.168.1.67'}"
6,1541379308.994821,1541379311.857901,2.8630800247192383,192.168.1.67,59546,23.35.28.177,443,18867,8403,0.014315400123596191,0.0003485679626464844,0.036709394340633084,201,"{'localhost', '192.168.1.67'}","{'www.apple.com.edgekey.net.globalredir.akadns.net', 'www.apple.com', 'e6858.dsce9.akamaiedge.net', 'www.apple.com.edgekey.net', '23.35.28.177'}"
7,1541379309.040874,1541379311.857738,2.816864013671875,23.35.28.177,443,192.168.1.67,59546,386741,372693,0.010471613433724443,0.0002598762512207031,0.037381656230658644,270,"{'www.apple.com.edgekey.net.globalredir.akadns.net', 'www.apple.com', 'e6858.dsce9.akamaiedge.net', 'www.apple.com.edgekey.net', '23.35.28.177'}","{'localhost', '192.168.1.67'}"
8,1541379309.416894,1541379310.881635,1.4647409915924072,192.168.1.67,59547,23.35.28.177,443,9363,4931,0.017437392757052465,0.00033545494079589844,0.04242986136014432,85,"{'localhost', '192.168.1.67'}","{'www.apple.com.edgekey.net.globalredir.akadns.net', 'www.apple.com', 'e6858.dsce9.akamaiedge.net', 'www.apple.com.edgekey.net', '23.35.28.177'}"
9,1541379309.42008,1541379311.863169,2.443089008331299,192.168.1.67,59548,23.35.28.177,443,14005,5829,0.015660826976482686,6.902217864990234e-05,0.06941400384861474,157,"{'localhost', '192.168.1.67'}","{'www.apple.com.edgekey.net.globalredir.akadns.net', 'www.apple.com', 'e6858.dsce9.akamaiedge.net', 'www.apple.com.edgekey.net', '23.35.28.177'}"
10,1541379309.421055,1541379311.74397,2.3229148387908936,192.168.1.67,59549,23.35.28.177,443,14618,5234,0.012977177870340188,0.00022912025451660156,0.05543075160032393,180,"{'localhost', '192.168.1.67'}","{'www.apple.com.edgekey.net.globalredir.akadns.net', 'www.apple.com', 'e6858.dsce9.akamaiedge.net', 'www.apple.com.edgekey.net', '23.35.28.177'}"
11,1541379309.460375,1541379310.859387,1.3990118503570557,23.35.28.177,443,192.168.1.67,59547,149813,144189,0.013074877106140708,0.0002701282501220703,0.04620030706110608,108,"{'www.apple.com.edgekey.net.globalredir.akadns.net', 'www.apple.com', 'e6858.dsce9.akamaiedge.net', 'www.apple.com.edgekey.net', '23.35.28.177'}","{'localhost', '192.168.1.67'}"
12,1541379309.464631,1541379311.863074,2.3984429836273193,23.35.28.177,443,192.168.1.67,59548,342533,330201,0.010162893998420845,0.00035309791564941406,0.0625445247806102,237,"{'www.apple.com.edgekey.net.globalredir.akadns.net', 'www.apple.com', 'e6858.dsce9.akamaiedge.net', 'www.apple.com.edgekey.net', '23.35.28.177'}","{'localhost', '192.168.1.67'}"
13,1541379309.470301,1541379311.743225,2.2729241847991943,23.35.28.177,443,192.168.1.67,59549,359625,346617,0.009128209577506805,0.00034689903259277344,0.05282988446649114,250,"{'www.apple.com.edgekey.net.globalredir.akadns.net', 'www.apple.com', 'e6858.dsce9.akamaiedge.net', 'www.apple.com.edgekey.net', '23.35.28.177'}","{'localhost', '192.168.1.67'}"
14,1541379309.54149,1541379309.736517,0.19502687454223633,192.168.1.67,59550,23.35.28.177,443,1055,599,0.02437835931777954,0.00964808464050293,0.027870601302170932,9,"{'localhost', '192.168.1.67'}","{'www.apple.com.edgekey.net.globalredir.akadns.net', 'www.apple.com', 'e6858.dsce9.akamaiedge.net', 'www.apple.com.edgekey.net', '23.35.28.177'}"
15,1541379309.589572,1541379309.735713,0.14614105224609375,23.35.28.177,443,192.168.1.67,59550,496,176,0.02922821044921875,0.0006220340728759766,0.038319541176083466,6,"{'www.apple.com.edgekey.net.globalredir.akadns.net', 'www.apple.com', 'e6858.dsce9.akamaiedge.net', 'www.apple.com.edgekey.net', '23.35.28.177'}","{'localhost', '192.168.1.67'}"
16,1541379310.509783,1541379310.990258,0.48047494888305664,192.168.1.67,59551,23.45.230.36,443,1371,839,0.05338610543145074,0.03622794151306152,0.0541338590481343,10,"{'localhost', '192.168.1.67'}","{'images.apple.com.edgekey.net', '23.45.230.36', 'images.apple.com', 'images.apple.com.akadns.net', 'images.apple.com.edgekey.net.globalredir.akadns.net', 'e6858.dscd.akamaiedge.net'}"
17,1541379310.594886,1541379310.979338,0.38445186614990234,23.45.230.36,443,192.168.1.67,59551,5532,5160,0.06407531102498372,0.04830193519592285,0.06718057368862135,7,"{'images.apple.com.edgekey.net', '23.45.230.36', 'images.apple.com', 'images.apple.com.akadns.net', 'images.apple.com.edgekey.net.globalredir.akadns.net', 'e6858.dscd.akamaiedge.net'}","{'localhost', '192.168.1.67'}"
18,1541379311.032432,1541379311.511335,0.47890281677246094,192.168.1.67,59552,34.198.77.46,443,3577,2993,0.04789028167724609,0.05145752429962158,0.04495973862012721,11,"{'localhost', '192.168.1.67'}","{'appleglobal.adbedc.net', 'securemetrics.apple.com', '34.198.77.46', 'va6-elb-tf-7-170327138.us-east-1.elb.amazonaws.com', 'appleglobal.102.112.2o7.net'}"
19,1541379311.087387,1541379311.511182,0.4237949848175049,34.198.77.46,443,192.168.1.67,59552,5908,5484,0.060542140688214986,0.05504798889160156,0.06228621059503196,8,"{'appleglobal.adbedc.net', 'securemetrics.apple.com', '34.198.77.46', 'va6-elb-tf-7-170327138.us-east-1.elb.amazonaws.com', 'appleglobal.102.112.2o7.net'}","{'localhost', '192.168.1.67'}"
20,1541379311.155514,1541379311.220409,0.0648949146270752,192.168.1.67,51335,72.21.91.29,80,582,258,0.01297898292541504,0.008252859115600586,0.012523006296391009,6,"{'localhost', '192.168.1.67'}",{'72.21.91.29'}
21,1541379311.178726,1541379311.24284,0.06411409378051758,72.21.91.29,80,192.168.1.67,51335,1075,807,0.016028523445129395,0.015414953231811523,0.01602693671193244,5,{'72.21.91.29'},"{'localhost', '192.168.1.67'}"
