"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","contentType","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","protocol","priority","is_base_page","cacheControl","contentEncoding","expires","jpeg_scan_count","score_progressive_jpeg",
"","449","","","-1","-1","Document","3","-1","-1","text/html; charset=utf-8","","1","","-1","-1","https://walmart.com/","-1","-1","301","-1","","344","","0","","181105_Z9_4","-1","449","-1","-1","","0","0","-1","GET","54","","","0.2","-1","-1","walmart.com","-1","-1","","-1","0","/","-1","","","449","0","449","449","449","0","0","449","449","0","1","1","0","","","","","","","","",
"104.78.224.165","1725","","","-1","-1","Document","3","-1","-1","text/html; charset=utf-8","0","1","","100","-1","https://www.walmart.com/","-1","-1","200","-1","","80613","","498","","181105_Z9_4","-1","514","-1","100","","415570","449","-1","GET","78341","78341","","0.2.1","-1","-1","www.walmart.com","100","-1","","1","449","/","-1","","Akamai","2174","449","963","963","2174","1211","449","2174","1725","1","2","1","0","h2","high","1","max-age=0, no-cache, no-store","gzip","Mon, 05 Nov 2018 00:35:07 GMT","","",
"104.78.232.207","138","","","-1","-1","Script","3","-1","-1","text/javascript","0","1","","100","-1","https://i5.walmartimages.com/dfw/63fd9f59-c534/7237d572-0c98-4eab-974b-3b694e72f5ba/v1/ft.js","-1","-1","200","-1","","403","1","62","","181105_Z9_4","-1","53","-1","100","322696","16","3486","-1","GET","53","53","","0.6","-1","-1","i5.walmartimages.com","100","-1","https://www.walmart.com/","2","2169","/dfw/63fd9f59-c534/7237d572-0c98-4eab-974b-3b694e72f5ba/v1/ft.js","50","","Akamai","3624","3486","3539","3539","3624","85","3486","3624","138","2","3","1","0","h2","high","","public, max-age=322696","gzip","Thu, 08 Nov 2018 18:13:25 GMT","","",
"104.78.232.207","96","","","-1","-1","Stylesheet","3","-1","-1","text/css","0","1","","100","-1","https://i5.walmartimages.com/dfw/63fd9f59-2b35/4c35827b-b333-4a54-be47-112923c100d3/v1/homepage_styles.style.58e9b98eb93fcbaa6920.css","-1","-1","200","-1","","34756","1","90","","181105_Z9_4","-1","25","-1","100","2346042","180253","3488","-1","GET","34416","34416","","0.5","-1","-1","i5.walmartimages.com","100","-1","https://www.walmart.com/","2","2168","/dfw/63fd9f59-2b35/4c35827b-b333-4a54-be47-112923c100d3/v1/homepage_styles.style.58e9b98eb93fcbaa6920.css","100","","Akamai","3584","3488","3513","3513","3584","71","3488","3584","96","3","4","1","0","h2","high","","public, max-age=2346042","gzip","Sun, 02 Dec 2018 04:15:51 GMT","","",
"104.78.232.207","297","","","-1","-1","Script","3","-1","-1","text/javascript; charset=UTF-8","0","1","","100","-1","https://i5.walmartimages.com/beacon/beacon.js?bh=beacon.walmart.com","-1","-1","200","-1","","2687","1","47","","181105_Z9_4","-1","210","-1","100","","4468","3488","-1","GET","1954","1954","","0.4","-1","-1","i5.walmartimages.com","100","-1","https://www.walmart.com/","2","2167","/beacon/beacon.js?bh=beacon.walmart.com","-1","","Akamai","3785","3488","3698","3698","3785","87","3488","3785","297","4","5","1","0","h2","high","","max-age=0, no-cache, no-store","gzip","Mon, 05 Nov 2018 00:35:09 GMT","","",
"104.78.232.207","220","","","-1","-1","Script","3","-1","-1","application/javascript","0","1","","100","-1","https://i5.walmartimages.com/a14/cdn-perf.min.js","-1","-1","200","-1","","1690","1","30","","181105_Z9_4","-1","147","-1","100","0","3416","3489","-1","GET","1472","1472","","0.17","-1","-1","i5.walmartimages.com","100","-1","https://www.walmart.com/","2","2177","/a14/cdn-perf.min.js","0","","Akamai","3709","3489","3636","3636","3709","73","3489","3709","220","5","6","1","0","h2","high","","","gzip","","","",
"104.78.232.207","221","","","-1","-1","Script","3","-1","-1","text/javascript","0","1","","100","-1","https://i5.walmartimages.com/dfw/63fd9f59-3fd3/bb578002-e6b5-4280-8f58-4cc7b4c7a1a2/v1/tealeaf.min.js","-1","-1","200","-1","","39109","1","68","","181105_Z9_4","-1","53","-1","100","1205436","113346","3489","-1","GET","38751","38751","","0.16","-1","-1","i5.walmartimages.com","100","-1","https://www.walmart.com/","2","2177","/dfw/63fd9f59-3fd3/bb578002-e6b5-4280-8f58-4cc7b4c7a1a2/v1/tealeaf.min.js","100","","Akamai","3710","3489","3542","3542","3710","168","3489","3710","221","6","7","1","0","h2","high","","public, max-age=1205436","gzip","Sun, 18 Nov 2018 23:25:45 GMT","","",
"104.78.232.207","134","","","-1","-1","Script","3","-1","-1","application/javascript","0","1","","100","-1","https://i5.walmartimages.com/a14/capabilities.min.js","-1","-1","200","-1","","1085","1","32","","181105_Z9_4","-1","53","-1","100","13049","1467","3489","-1","GET","778","778","","0.7","-1","-1","i5.walmartimages.com","100","-1","https://www.walmart.com/","2","2173","/a14/capabilities.min.js","50","","Akamai","3623","3489","3542","3542","3623","81","3489","3623","134","7","8","1","0","h2","high","","public, max-age=13049, s-maxage=43200","gzip","Mon, 05 Nov 2018 04:12:38 GMT","","",
"104.78.232.207","500","54221","","-1","67","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://i5.walmartimages.com/dfw/4ff9c6c9-2e36/k2-_3dfe8f29-868d-4d12-b6c5-27bf23fb2a04.v1.jpg?odnWidth=767&odnHeight=338&odnBg=ffffff","-1","-1","200","-1","17493","54483","1","143","","181105_Z9_4","-1","150","-1","100","2403420","54221","3490","-1","GET","54221","","","0.8","-1","-1","i5.walmartimages.com","100","-1","https://www.walmart.com/","2","2175","/dfw/4ff9c6c9-2e36/k2-_3dfe8f29-868d-4d12-b6c5-27bf23fb2a04.v1.jpg?odnWidth=767&odnHeight=338&odnBg=ffffff","100","","Akamai","3990","3490","3640","3640","3990","350","3490","3990","500","8","9","1","0","h2","low","","public, max-age=2403420","","Sun, 02 Dec 2018 20:12:09 GMT","14","100",
"104.78.232.207","510","","","-1","-1","Script","3","-1","-1","text/javascript","0","1","","100","-1","https://i5.walmartimages.com/dfw/63fd9f59-2b35/4c35827b-b333-4a54-be47-112923c100d3/v1/hp.bundle.58e9b98eb93fcbaa6920.js","-1","-1","200","-1","","287642","1","82","","181105_Z9_4","-1","148","-1","100","2322981","914776","3490","-1","GET","285970","285970","","0.15","-1","-1","i5.walmartimages.com","100","-1","https://www.walmart.com/","2","2177","/dfw/63fd9f59-2b35/4c35827b-b333-4a54-be47-112923c100d3/v1/hp.bundle.58e9b98eb93fcbaa6920.js","100","","Akamai","4000","3490","3638","3638","4000","362","3490","4000","510","9","10","1","0","h2","high","","public, max-age=2322981","gzip","Sat, 01 Dec 2018 21:51:30 GMT","","",
